General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Alexander Robertson,AUS,MF,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Aymeric Laporte,ESP,DF,28,1994,12,993,83,29.0,11.0,11,89,10,1,16,15,2.33,21,10,11,1.0,-0.86,20.5,12.4,8.1,0.73,-0.69
Ben Knight,ENG,MF,20,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Bernardo Silva,POR,"MF,FW",27,1994,34,2205,65,64.5,24.5,24,85,16,10,16,4,2.35,61,24,37,1.51,-0.27,48.0,22.9,25.1,1.02,-0.56
Claudio Gomes,FRA,MF,22,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
Cole Palmer,ENG,"MF,FW",20,2002,14,370,26,10.8,4.1,2,90,2,12,16,17,2.64,3,4,-1,-0.24,-2.07,5.3,7.9,-2.6,-0.62,-2.07
Ederson,BRA,GK,28,1993,35,3150,90,92.1,35.0,35,90,35,0,,3,2.34,89,32,57,1.63,0.3,73.3,28.3,45.1,1.29,0.81
Erling Haaland,NOR,FW,22,2000,35,2769,79,81.0,30.8,33,83,21,2,22,1,2.37,84,26,58,1.89,1.47,66.9,24.3,42.6,1.38,0.84
Jack Grealish,ENG,FW,26,1995,28,2055,73,60.1,22.8,23,83,11,5,31,5,2.64,63,16,47,2.06,1.14,50.6,14.0,36.6,1.6,0.95
John Stones,ENG,"DF,MF",28,1994,23,1846,80,54.0,20.5,21,85,16,2,31,6,2.52,52,17,35,1.71,0.22,44.9,13.3,31.6,1.54,0.69
Josh Wilson-Esbrand,ENG,DF,19,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,
João Cancelo,POR,DF,28,1994,17,1274,75,37.3,14.2,16,78,10,1,23,3,2.24,36,15,21,1.48,-0.19,24.7,11.4,13.4,0.94,-0.45
Julián Álvarez,ARG,"FW,MF",22,2000,31,1465,47,42.8,16.3,13,85,8,18,20,6,2.42,37,16,21,1.29,-0.55,32.3,17.3,15.0,0.92,-0.53
Kalvin Phillips,ENG,MF,26,1995,12,300,25,8.8,3.3,2,90,2,10,12,15,2.58,1,3,-2,-0.6,-2.42,4.1,5.8,-1.7,-0.52,-1.91
Kevin De Bruyne,BEL,MF,31,1991,32,2417,76,70.7,26.9,28,84,16,4,20,3,2.31,69,23,46,1.71,0.37,58.7,19.4,39.2,1.46,0.81
Kyle Walker,ENG,DF,32,1990,27,1958,73,57.3,21.8,22,85,18,5,19,5,2.37,54,20,34,1.56,-0.1,44.9,20.4,24.4,1.12,-0.24
Liam Delap,ENG,FW,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Luke Mbete-Tatu,ENG,DF,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Manuel Akanji,SUI,DF,27,1995,29,2287,79,66.9,25.4,24,88,22,5,36,1,2.52,63,23,40,1.57,-0.09,51.6,21.1,30.6,1.2,-0.06
Máximo Perrone,ARG,MF,19,2003,1,19,19,0.6,0.2,0,,0,1,19,4,3.0,0,1,-1,-4.74,-6.38,0.3,0.2,0.1,0.7,-0.53
Nathan Aké,NED,DF,27,1995,26,1873,72,54.8,20.8,22,82,16,4,16,4,2.23,53,15,38,1.83,0.49,44.8,16.2,28.5,1.37,0.32
Nico O’Reilly,ENG,FW,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Phil Foden,ENG,FW,22,2000,32,1842,58,53.9,20.5,22,77,11,10,15,1,2.31,49,16,33,1.61,0.02,39.6,17.7,21.9,1.07,-0.33
Rico Lewis,ENG,"DF,MF",17,2004,14,903,65,26.4,10.0,10,82,6,4,21,23,2.29,18,8,10,1.0,-0.83,20.8,8.9,11.9,1.19,-0.05
Riyad Mahrez,ALG,"FW,MF",31,1991,30,1920,64,56.1,21.3,22,80,11,8,20,8,2.5,51,23,28,1.31,-0.67,44.1,18.9,25.2,1.18,-0.1
Rodri,ESP,MF,26,1996,36,2911,81,85.1,32.3,34,85,23,2,7,1,2.39,83,26,57,1.76,1.06,67.4,24.4,43.0,1.33,0.71
Rúben Dias,POR,DF,25,1997,26,1998,77,58.4,22.2,22,87,19,4,23,6,2.65,65,16,49,2.21,1.45,47.0,17.0,30.0,1.35,0.31
Scott Carson,ENG,GK,36,1985,0,,,,,0,,0,0,,5,,,,,,,,,,,
Sergio Gómez,ESP,"DF,MF",21,2000,12,349,29,10.2,3.9,2,84,1,10,18,20,2.58,5,6,-1,-0.26,-2.07,6.1,6.7,-0.6,-0.14,-1.52
Shea Charles,NIR,DF,18,2003,1,28,28,0.8,0.3,0,,0,1,28,1,0.0,0,1,-1,-3.21,-4.86,0.8,0.7,0.1,0.38,-0.85
Stefan Ortega,GER,GK,29,1992,3,270,90,7.9,3.0,3,90,3,0,,35,2.33,5,1,4,1.33,-0.3,5.3,3.9,1.4,0.48,-0.81
İlkay Gündoğan,GER,MF,31,1990,31,2353,76,68.8,26.1,27,85,17,4,15,7,2.39,71,20,51,1.95,1.11,61.3,19.4,41.9,1.6,1.21
