General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Alexander Isak,SWE,FW,22,1999,22,1522,69,44.5,16.9,17,83,7,5,23,0,1.68,29,20,9,0.53,-0.7,37.5,17.9,19.6,1.16,0.56
Allan Saint-Maximin,FRA,FW,25,1997,25,1120,45,32.7,12.4,12,75,2,13,17,1,1.76,19,14,5,0.4,-0.77,22.7,13.0,9.7,0.78,-0.1
Anthony Gordon,ENG,"FW,MF",21,2001,16,487,30,14.2,5.4,4,57,0,12,22,0,1.63,7,5,2,0.37,-0.64,9.3,7.1,2.2,0.41,-0.52
Bruno Guimarães,BRA,MF,24,1997,32,2726,85,79.7,30.3,32,85,23,0,,0,2.09,61,25,36,1.19,1.32,59.2,29.8,29.4,0.97,0.59
Callum Wilson,ENG,FW,30,1992,31,1877,61,54.9,20.9,21,76,2,10,28,1,1.97,44,16,28,1.34,0.93,40.9,22.0,19.0,0.91,0.13
Chris Wood,NZL,FW,30,1991,18,446,25,13.0,5.0,4,72,0,14,11,1,1.94,8,3,5,1.01,0.1,6.8,4.1,2.6,0.53,-0.37
Dan Burn,ENG,DF,30,1992,38,3111,82,91.0,34.6,35,87,27,3,17,0,1.87,64,30,34,0.98,0.69,66.0,35.1,30.9,0.89,0.48
Elliot Anderson,SCO,"MF,FW",19,2002,22,410,19,12.0,4.6,3,58,0,19,12,12,1.82,8,7,1,0.22,-0.8,11.7,5.5,6.2,1.37,0.59
Emil Krafth,SWE,DF,27,1994,1,1,1,0.0,0.0,0,,0,1,1,0,1.0,0,0,0,0.0,-0.92,0.0,0.1,-0.1,-8.84,-9.7
Fabian Schär,SUI,DF,30,1991,36,3206,89,93.7,35.6,36,89,32,0,,1,1.97,67,28,39,1.09,2.78,69.7,35.6,34.1,0.96,1.7
Harrison Ashby,SCO,DF,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Jacob Murphy,ENG,FW,27,1995,36,1251,35,36.6,13.9,14,67,1,22,14,1,1.86,29,12,17,1.22,0.48,28.4,16.1,12.2,0.88,0.04
Jamaal Lascelles,ENG,DF,28,1993,7,218,31,6.4,2.4,2,90,2,5,8,21,1.89,2,5,-3,-1.24,-2.31,2.6,4.3,-1.7,-0.69,-1.65
Jamal Lewis,NIR,"DF,FW",24,1998,2,11,6,0.3,0.1,0,,0,2,6,20,2.0,0,1,-1,-8.18,-9.13,0.1,1.0,-1.0,-7.94,-8.82
Javier Manquillo,ESP,DF,28,1994,4,37,9,1.1,0.4,0,,0,4,9,24,3.0,2,1,1,2.43,1.53,1.0,0.9,0.1,0.18,-0.68
Joe Willock,ENG,MF,22,1999,35,2558,73,74.8,28.4,31,79,8,4,28,0,1.97,56,26,30,1.06,0.53,53.3,29.1,24.2,0.85,0.01
Joelinton,BRA,"MF,FW",25,1996,32,2661,83,77.8,29.6,30,87,25,2,24,1,1.78,51,26,25,0.85,-0.34,55.1,31.6,23.5,0.8,-0.25
Jonjo Shelvey,ENG,MF,30,1992,3,37,12,1.1,0.4,0,,0,3,12,3,3.0,1,1,0,0.0,-0.93,0.5,0.6,-0.1,-0.28,-1.14
Karl Darlow,ENG,GK,31,1990,0,,,,,0,,0,0,,7,,,,,,,,,,,
Kieran Trippier,ENG,DF,31,1990,38,3341,88,97.7,37.1,38,88,31,0,,0,1.87,65,31,34,0.92,-0.22,70.4,37.6,32.8,0.88,1.37
