General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Alexander Isak,SWE,FW,22,1999,16.9,583,11,34,202,358,98,581,72,32,44.4,30,41.7,371,2548,1300,41,36,22,39,25,431,122
Allan Saint-Maximin,FRA,FW,25,1997,12.4,598,5,69,198,348,77,598,99,57,57.6,33,33.3,435,4137,2512,93,51,41,31,30,456,111
Anthony Gordon,ENG,"FW,MF",21,2001,5.4,275,5,30,112,135,27,275,21,7,33.3,13,61.9,169,1192,516,20,13,11,19,5,196,45
Bruno Guimarães,BRA,MF,24,1997,30.3,2014,59,392,1076,575,50,2014,92,45,48.9,26,28.3,1321,7248,2911,41,47,5,46,60,1503,42
Callum Wilson,ENG,FW,30,1992,20.9,482,8,25,179,281,124,479,36,12,33.3,19,52.8,304,1484,673,27,14,16,72,36,360,118
Chris Wood,NZL,FW,30,1991,5.0,149,8,19,70,60,16,148,2,1,50.0,0,0.0,52,159,62,1,1,0,12,5,101,23
Dan Burn,ENG,DF,30,1992,34.6,2073,158,786,940,358,62,2073,25,11,44.0,12,48.0,926,4329,2196,29,22,5,34,9,1116,46
Elliot Anderson,SCO,"MF,FW",19,2002,4.6,286,7,44,99,151,39,286,29,10,34.5,13,44.8,160,970,522,23,15,12,9,10,182,35
Emil Krafth,SWE,DF,27,1994,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Fabian Schär,SUI,DF,30,1991,35.6,2235,248,1101,938,213,73,2235,13,4,30.8,7,53.8,1214,6337,4115,27,26,3,20,7,1341,32
Jacob Murphy,ENG,FW,27,1995,13.9,590,11,58,214,329,75,590,44,15,34.1,21,47.7,365,2498,1516,67,32,30,17,23,421,141
Jamaal Lascelles,ENG,DF,28,1993,2.4,118,27,68,47,4,4,118,0,0,,0,,64,269,103,0,0,0,0,0,75,0
Jamal Lewis,NIR,"DF,FW",24,1998,0.1,15,0,6,4,5,2,15,0,0,,0,,10,40,10,0,1,0,0,0,13,1
Javier Manquillo,ESP,DF,28,1994,0.4,36,2,11,16,9,1,36,0,0,,0,,20,82,38,2,0,0,0,0,20,1
Joe Willock,ENG,MF,22,1999,28.4,1324,37,202,586,556,114,1324,93,37,39.8,43,46.2,784,5213,2866,97,62,33,65,27,896,152
Joelinton,BRA,"MF,FW",25,1996,29.6,1703,71,312,852,562,96,1703,111,53,47.7,42,37.8,897,4853,2286,64,45,13,72,51,1115,150
Jonjo Shelvey,ENG,MF,30,1992,0.4,28,0,8,18,2,0,28,0,0,,0,,10,63,19,0,0,0,0,0,17,0
Kieran Trippier,ENG,DF,31,1990,37.1,3102,124,774,1282,1066,26,3102,35,19,54.3,12,34.3,1300,4599,2393,45,46,1,27,9,1593,151
Lewis Miley,ENG,MF,16,2006,0.2,9,1,3,4,2,0,9,0,0,,0,,3,15,1,0,0,0,0,0,3,0
Martin Dúbravka,SVK,GK,33,1989,1.7,59,55,59,0,0,0,59,0,0,,0,,38,190,103,0,0,0,0,0,23,0
Matt Ritchie,SCO,"FW,MF",32,1989,0.4,35,1,8,12,16,1,35,1,1,100.0,0,0.0,23,101,48,1,3,0,1,0,27,9
Matt Targett,ENG,DF,26,1995,6.8,463,20,149,186,131,0,463,2,2,100.0,0,0.0,197,673,409,3,5,0,5,6,241,13
Miguel Almirón,PAR,FW,28,1994,27.7,1300,25,147,417,760,138,1300,79,34,43.0,33,41.8,841,5389,2341,77,46,25,51,28,924,264
Nick Pope,ENG,GK,30,1992,36.2,974,821,967,7,0,0,974,0,0,,0,,502,2949,1724,0,0,0,2,0,344,0
Ryan Fraser,SCO,FW,28,1994,3.5,147,1,18,51,80,9,147,2,1,50.0,0,0.0,94,600,322,8,7,1,7,1,107,23
Sean Longstaff,ENG,MF,24,1997,28.0,1433,45,278,742,420,76,1433,27,8,29.6,18,66.7,752,2989,1191,21,16,8,37,29,951,115
Sven Botman,NED,DF,22,2000,34.7,2074,338,1188,801,95,53,2074,1,1,100.0,0,0.0,1171,5259,2810,8,5,2,10,2,1347,5
