General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Alexander Isak,SWE,FW,22,1999,16.9,10,49,23,46.9,2.9,1.36,0.16,0.35,15.0,0,2,2,8.2,6.7,0.14,1.8,1.3
Allan Saint-Maximin,FRA,FW,25,1997,12.4,1,28,11,39.3,2.25,0.88,0.04,0.09,17.6,0,0,0,1.6,1.6,0.06,-0.6,-0.6
Anthony Gordon,ENG,"FW,MF",21,2001,5.4,1,8,2,25.0,1.48,0.37,0.13,0.5,14.0,0,0,0,1.7,1.7,0.21,-0.7,-0.7
Bruno Guimarães,BRA,MF,24,1997,30.3,4,28,8,28.6,0.92,0.26,0.14,0.5,19.7,0,0,0,2.8,2.8,0.1,1.2,1.2
Callum Wilson,ENG,FW,30,1992,20.9,18,70,31,44.3,3.36,1.49,0.21,0.48,12.4,0,3,3,17.4,15.1,0.22,0.6,-0.1
Chris Wood,NZL,FW,30,1991,5.0,2,8,3,37.5,1.61,0.61,0.13,0.33,14.7,0,1,1,1.8,1.0,0.13,0.2,0.0
Dan Burn,ENG,DF,30,1992,34.6,1,21,4,19.0,0.61,0.12,0.05,0.25,12.2,0,0,0,2.1,2.1,0.1,-1.1,-1.1
Elliot Anderson,SCO,"MF,FW",19,2002,4.6,0,11,4,36.4,2.41,0.88,0.0,0.0,16.0,0,0,0,1.0,1.0,0.09,-1.0,-1.0
Emil Krafth,SWE,DF,27,1994,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Fabian Schär,SUI,DF,30,1991,35.6,1,56,14,25.0,1.57,0.39,0.02,0.07,14.4,3,0,0,4.9,4.9,0.09,-3.9,-3.9
Jacob Murphy,ENG,FW,27,1995,13.9,4,29,10,34.5,2.09,0.72,0.14,0.4,18.6,0,0,0,3.3,3.3,0.11,0.7,0.7
Jamaal Lascelles,ENG,DF,28,1993,2.4,0,2,0,0.0,0.83,0.0,0.0,,9.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Jamal Lewis,NIR,"DF,FW",24,1998,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Javier Manquillo,ESP,DF,28,1994,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Joe Willock,ENG,MF,22,1999,28.4,3,58,16,27.6,2.04,0.56,0.05,0.19,16.9,0,0,0,7.0,7.0,0.12,-4.0,-4.0
Joelinton,BRA,"MF,FW",25,1996,29.6,6,51,19,37.3,1.72,0.64,0.12,0.32,14.6,0,0,0,7.1,7.1,0.14,-1.1,-1.1
Jonjo Shelvey,ENG,MF,30,1992,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Kieran Trippier,ENG,DF,31,1990,37.1,1,14,4,28.6,0.38,0.11,0.07,0.25,27.1,12,0,0,0.9,0.9,0.06,0.1,0.1
Lewis Miley,ENG,MF,16,2006,0.2,0,1,0,0.0,6.0,0.0,0.0,,20.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Martin Dúbravka,SVK,GK,33,1989,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Matt Ritchie,SCO,"FW,MF",32,1989,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Matt Targett,ENG,DF,26,1995,6.8,0,1,0,0.0,0.15,0.0,0.0,,25.8,0,0,0,0.0,0.0,0.01,0.0,0.0
Miguel Almirón,PAR,FW,28,1994,27.7,11,69,20,29.0,2.49,0.72,0.16,0.55,16.4,0,0,0,8.0,8.0,0.12,3.0,3.0
Nick Pope,ENG,GK,30,1992,36.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ryan Fraser,SCO,FW,28,1994,3.5,0,6,1,16.7,1.73,0.29,0.0,0.0,16.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Sean Longstaff,ENG,MF,24,1997,28.0,1,33,7,21.2,1.18,0.25,0.03,0.14,16.0,0,0,0,3.6,3.6,0.11,-2.6,-2.6
Sven Botman,NED,DF,22,2000,34.7,0,22,7,31.8,0.63,0.2,0.0,0.0,10.2,0,0,0,2.5,2.5,0.11,-2.5,-2.5
