General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Alex Mighten,ENG,FW,20,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
André Ayew,GHA,"FW,MF",32,1989,3.5,5,3,0,4,1,2,4,50.0,2,6,1,5,0,5,7,0
Brennan Johnson,WAL,"FW,MF",21,2001,32.6,34,20,18,8,8,8,29,27.6,21,30,1,29,5,39,7,1
Cafú,POR,MF,29,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Cheikhou Kouyaté,SEN,MF,32,1989,9.8,29,21,18,8,3,9,13,69.2,4,14,2,12,10,39,24,0
Chris Wood,NZL,FW,30,1991,4.1,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,2,0
Danilo,BRA,MF,21,2001,10.8,18,7,7,9,2,6,25,24.0,19,26,6,20,9,27,19,0
Dean Henderson,ENG,GK,25,1997,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,1
Emmanuel Dennis,NGA,"FW,MF",24,1997,8.0,17,11,5,5,7,8,18,44.4,10,13,1,12,2,19,6,0
Felipe,BRA,DF,33,1989,15.8,42,23,29,13,0,24,41,58.5,17,34,13,21,36,78,90,0
Giulian Biancone,FRA,DF,22,2000,0.2,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0
Gustavo Scarpa,BRA,"MF,FW",28,1994,2.0,5,2,3,1,1,2,5,40.0,3,4,0,4,0,5,3,0
Harry Toffolo,ENG,DF,26,1995,10.4,17,8,10,4,3,10,14,71.4,4,16,8,8,10,27,33,0
Jack Colback,ENG,MF,32,1989,5.5,18,13,12,6,0,5,8,62.5,3,3,0,3,3,21,9,0
Jesse Lingard,ENG,"FW,MF",29,1992,10.3,4,4,2,2,0,1,7,14.3,6,11,0,11,5,9,4,0
Joe Worrall,ENG,DF,25,1997,24.7,53,25,39,12,2,25,35,71.4,10,33,23,10,26,79,111,1
Jonjo Shelvey,ENG,MF,30,1992,6.0,2,1,0,1,1,1,9,11.1,8,7,2,5,5,7,10,1
Keylor Navas,CRC,GK,35,1986,17.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,2
Lewis O'Brien,ENG,MF,23,1998,6.5,16,9,4,11,1,6,12,50.0,6,13,2,11,5,21,9,0
Morgan Gibbs-White,ENG,"MF,FW",22,2000,33.0,26,14,7,7,12,11,33,33.3,22,23,4,19,14,40,15,0
Moussa Niakhate,SEN,DF,26,1996,12.9,18,9,15,3,0,11,22,50.0,11,18,8,10,19,37,60,0
Neco Williams,WAL,DF,21,2001,20.9,72,47,49,17,6,38,71,53.5,33,33,8,25,33,105,48,0
Orel Mangala,BEL,MF,24,1998,17.2,28,20,16,10,2,12,29,41.4,17,21,7,14,23,51,15,0
Remo Freuler,SUI,MF,30,1992,24.0,43,23,23,15,5,19,43,44.2,24,36,9,27,29,72,45,0
Renan Lodi,BRA,DF,24,1998,24.6,52,39,38,8,6,33,66,50.0,33,25,6,19,33,85,74,0
Ryan Yates,ENG,MF,24,1997,20.4,38,19,19,16,3,14,22,63.6,8,26,8,18,10,48,44,0
Sam Surridge,ENG,FW,24,1998,3.6,5,0,1,3,1,1,4,25.0,3,5,2,3,0,5,7,0
Scott McKenna,SCO,DF,25,1996,17.5,12,7,7,3,2,6,10,60.0,4,20,14,6,12,24,85,1
Serge Aurier,CIV,DF,29,1992,21.6,64,41,41,18,5,23,33,69.7,10,34,11,23,29,93,75,0
Steve Cook,ENG,DF,31,1991,10.6,8,4,4,4,0,5,7,71.4,2,16,11,5,12,20,51,0
Taiwo Awoniyi,NGA,FW,24,1997,15.6,17,10,2,10,5,6,12,50.0,6,18,4,14,4,21,20,0
Wayne Hennessey,WAL,GK,35,1987,3.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
Willy Boly,CIV,DF,31,1991,7.6,13,6,8,3,2,8,13,61.5,5,13,4,9,12,25,45,0
