General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Adam Armstrong,ENG,"FW,MF",25,1997,30,14,1335,14.8,2,1,3,2,0,0,2,0,2.1,2.1,1.3,3.3,39,16,70,0.13,0.07,0.2,0.13,0.2,0.14,0.09,0.23,0.14,0.23
Ainsley Maitland-Niles,ENG,"DF,MF",24,1997,22,13,1407,15.6,0,0,0,0,0,0,3,0,0.0,0.0,0.7,0.7,15,57,35,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
Alex McCarthy,ENG,GK,32,1989,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armel Bella Kotchap,GER,DF,20,2001,24,24,1879,20.9,0,2,2,0,0,0,4,0,1.0,1.0,1.0,2.1,9,39,2,0.0,0.1,0.1,0.0,0.1,0.05,0.05,0.1,0.05,0.1
Carlos Alcaraz,ARG,"MF,FW",19,2002,18,13,1029,11.4,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,28,32,0.35,0.17,0.52,0.35,0.52,0.17,0.06,0.23,0.17,0.23
Che Adams,SCO,FW,26,1996,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.7,6.7,2.8,9.5,17,34,115,0.23,0.14,0.36,0.23,0.36,0.3,0.13,0.43,0.3,0.43
Dominic Ballard,ENG,"FW,MF",17,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duje Ćaleta-Car,CRO,DF,25,1996,13,9,946,10.5,1,0,1,1,0,0,2,0,0.8,0.8,0.0,0.8,5,33,0,0.1,0.0,0.1,0.1,0.1,0.08,0.0,0.08,0.08,0.08
Gavin Bazunu,IRL,GK,20,2002,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahima Diallo,FRA,MF,23,1999,18,11,819,9.1,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,9,28,6,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Jack Stephens,ENG,DF,28,1994,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Bree,ENG,DF,24,1997,5,4,367,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,4,5,12,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
James Ward-Prowse,ENG,MF,27,1994,38,38,3371,37.5,9,4,13,7,2,4,6,0,5.7,2.5,6.2,8.7,19,189,58,0.24,0.11,0.35,0.19,0.29,0.15,0.17,0.32,0.07,0.23
Jan Bednarek,POL,DF,26,1996,20,20,1672,18.6,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.5,8,45,2,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
