General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Arnaut Danjuma,NED,"FW,MF",25,1997,1.9,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,33.3
Ben Davies,WAL,DF,29,1993,25.4,4,0,0,30,17,1,35,18,11,0,0,0,84,70,53,56.9
Bryan Gil,ESP,"MF,FW",21,2001,1.6,1,0,0,2,2,1,2,1,1,0,0,0,3,0,2,0.0
Clément Lenglet,FRA,DF,27,1995,22.4,4,0,0,23,17,0,16,18,23,0,0,0,119,43,28,60.6
Cristian Romero,ARG,DF,24,1998,26.3,11,1,1,42,12,0,0,44,36,1,1,0,173,57,26,68.7
Davinson Sánchez,COL,DF,26,1996,9.5,1,0,0,7,4,1,2,12,11,0,1,0,45,28,16,63.6
Dejan Kulusevski,SWE,"MF,FW",22,2000,23.0,2,0,0,36,25,3,62,13,15,0,1,0,145,3,7,30.0
Djed Spence,ENG,"FW,DF",21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Emerson,BRA,DF,23,1999,19.3,2,1,0,21,33,0,46,18,33,0,0,0,102,28,27,50.9
Eric Dier,ENG,DF,28,1994,31.3,3,0,0,25,10,1,11,35,19,0,0,0,140,80,35,69.6
Fraser Forster,ENG,GK,34,1988,13.5,1,0,0,0,2,0,0,0,0,0,0,0,15,2,0,100.0
George Abbott,ENG,MF,16,2005,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Harry Kane,ENG,FW,29,1993,37.8,6,0,0,31,56,16,37,2,12,2,0,0,96,66,81,44.9
Harvey White,ENG,MF,20,2001,0.1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,100.0
Hugo Lloris,FRA,GK,35,1986,24.5,0,0,0,0,2,0,0,1,1,0,0,1,30,9,3,75.0
Ivan Perišić,CRO,"DF,MF",33,1989,23.4,6,0,0,30,8,6,196,22,24,0,0,0,117,33,32,50.8
Japhet Tanganga,ENG,DF,23,1999,1.6,0,0,0,3,3,0,1,2,2,0,0,0,8,6,2,75.0
Lucas Moura,BRA,"MF,DF",29,1992,1.7,0,1,0,3,3,0,9,2,5,0,0,0,9,5,4,55.6
Matt Doherty,IRL,"DF,MF",30,1992,7.4,0,0,0,11,4,0,18,8,10,0,0,0,31,20,13,60.6
Matthew Craig,SCO,MF,19,2003,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Oliver Skipp,ENG,MF,21,2000,16.6,7,0,0,23,17,0,10,17,17,0,0,0,107,7,25,21.9
Pape Matar Sarr,SEN,"MF,FW",19,2002,2.4,1,0,0,4,3,0,0,6,6,0,1,0,22,3,5,37.5
Pedro Porro,ESP,"DF,MF",22,1999,12.6,0,0,0,12,16,1,77,15,16,0,0,0,85,1,11,8.3
Pierre Højbjerg,DEN,MF,26,1995,34.8,5,0,0,38,36,1,15,49,30,0,0,0,245,27,7,79.4
Richarlison,BRA,"MF,FW",25,1997,11.2,3,0,0,14,22,9,16,5,16,2,0,0,52,18,29,38.3
Rodrigo Bentancur,URU,MF,25,1997,16.7,8,0,0,24,8,0,16,20,28,0,0,0,128,15,16,48.4
Ryan Sessegnon,ENG,DF,22,2000,9.0,4,0,0,15,6,7,30,6,11,0,0,0,49,10,10,50.0
Son Heung-min,KOR,"MF,FW",30,1992,32.1,2,0,0,13,36,18,113,13,12,0,0,0,109,9,28,24.3
Yves Bissouma,MLI,MF,25,1996,11.2,6,0,0,17,10,1,2,12,13,0,0,0,68,6,12,33.3
