General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Aaron Cresswell,ENG,DF,32,1989,24.8,3,0,0,9,9,2,133,27,11,0,0,0,120,28,27,50.9
Alphonse Areola,FRA,GK,29,1993,3.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
Angelo Ogbonna,ITA,DF,34,1988,13.7,0,0,0,2,4,0,0,17,4,0,0,0,61,35,20,63.6
Ben Johnson,ENG,DF,22,2000,9.6,0,0,0,3,5,1,16,9,14,0,0,0,67,16,9,64.0
Conor Coventry,IRL,"MF,FW",22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Craig Dawson,ENG,DF,32,1990,8.0,2,0,0,6,3,0,2,6,7,1,1,0,45,14,7,66.7
Danny Ings,ENG,FW,30,1992,8.6,1,0,0,8,9,5,0,3,8,0,0,0,27,9,25,26.5
Declan Rice,ENG,MF,23,1999,36.4,5,0,0,23,11,1,44,63,38,0,0,0,334,37,26,58.7
Divin Mubama,ENG,FW,17,2004,0.4,0,0,0,3,1,0,0,0,1,0,0,0,1,2,2,50.0
Emerson Palmieri,ITA,DF,27,1994,14.7,2,0,0,13,15,0,47,15,14,0,0,0,66,18,9,66.7
Flynn Downes,ENG,MF,23,1999,8.5,2,0,0,8,12,0,3,7,9,0,0,0,44,9,12,42.9
Gianluca Scamacca,ITA,FW,23,1999,10.3,3,0,0,16,10,6,1,4,5,0,0,0,23,17,21,44.7
Jarrod Bowen,ENG,"FW,MF",25,1996,35.9,2,0,0,26,69,10,159,36,16,3,1,0,152,34,68,33.3
Kurt Zouma,FRA,DF,27,1994,22.1,0,0,0,14,7,0,0,30,4,0,0,0,84,55,13,80.9
Lucas Paquetá,BRA,MF,24,1997,23.9,5,0,0,50,30,1,22,16,53,2,0,0,144,36,32,52.9
Manuel Lanzini,ARG,"MF,FW",29,1993,2.8,0,0,0,1,2,2,2,2,2,0,0,0,21,1,2,33.3
Maxwel Cornet,CIV,FW,25,1996,2.7,0,0,0,2,2,9,6,2,3,0,0,0,15,6,11,35.3
Michail Antonio,JAM,FW,32,1990,20.3,2,0,0,28,44,12,35,5,7,0,1,0,43,50,88,36.2
Nayef Aguerd,MAR,DF,26,1996,17.7,4,0,0,8,8,2,0,18,18,0,1,0,105,32,31,50.8
Pablo Fornals,ESP,"FW,MF",26,1996,16.7,0,0,0,14,7,1,59,14,15,0,0,0,130,11,25,30.6
Saïd Benrahma,ALG,"FW,MF",26,1995,23.0,0,0,0,16,15,7,83,9,15,0,0,0,113,5,11,31.3
Thilo Kehrer,GER,DF,25,1996,24.8,4,0,0,31,12,0,23,34,24,0,1,1,117,36,33,52.2
Tomáš Souček,CZE,MF,27,1995,31.3,3,0,0,50,16,2,20,53,37,0,0,0,143,114,92,55.3
Vladimír Coufal,CZE,DF,29,1992,23.7,5,0,0,30,21,1,113,38,31,0,0,0,150,40,22,64.5
Łukasz Fabiański,POL,GK,37,1985,34.6,1,0,0,0,4,0,0,0,0,0,0,0,17,15,1,93.8
