General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Adri Embarba,ESP,"FW,MF",30,1992,29,1472,51,43.0,16.4,18,68,1,11,22,5,1.14,23,27,-4,-0.24,0.31,22.0,22.4,-0.4,-0.03,0.74
Alejandro Pozo Pozo,ESP,DF,23,1999,30,1880,63,55.0,20.9,20,83,14,10,22,3,1.33,27,26,1,0.05,1.04,27.1,30.4,-3.3,-0.16,0.65
Arnau Puigmal,ESP,"MF,FW",21,2001,22,763,35,22.3,8.5,7,63,0,15,21,16,0.64,11,18,-7,-0.83,-0.52,9.4,15.8,-6.5,-0.76,-0.4
Arvin Appiah,ENG,"FW,MF",21,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Carlos Rojas,ESP,FW,20,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
Curro,ESP,MF,26,1996,2,43,22,1.3,0.5,0,,0,2,22,1,1.5,0,2,-2,-4.19,-3.81,0.4,0.6,-0.3,-0.58,-0.13
César de la Hoz,ESP,MF,30,1992,25,1673,67,48.9,18.6,18,84,12,7,23,8,1.48,25,30,-5,-0.27,0.3,24.5,27.3,-2.7,-0.15,0.59
Diego Fuoli,ESP,GK,24,1997,0,,,,,0,,0,0,,15,,,,,,,,,,,
Diego Mariño,ESP,GK,32,1990,1,45,45,1.3,0.5,0,,0,1,45,17,0.0,0,2,-2,-4.0,-3.63,0.3,1.2,-0.9,-1.87,-1.44
Dyego Sousa,POR,FW,32,1989,20,527,26,15.4,5.9,3,65,0,17,20,14,0.7,4,6,-2,-0.34,0.09,7.7,9.6,-1.9,-0.33,0.14
El Bilal Touré,MLI,FW,20,2001,21,1264,60,37.0,14.0,15,73,1,6,27,3,1.1,23,23,0,0.0,0.67,17.3,18.6,-1.4,-0.1,0.56
Fernando,ESP,GK,32,1990,37,3285,89,96.1,36.5,37,89,36,0,,1,1.11,48,61,-13,-0.36,1.64,44.2,60.3,-16.1,-0.44,0.18
Fernando Pacheco,ESP,GK,30,1992,1,90,90,2.6,1.0,1,90,1,0,,10,0.0,1,2,-1,-1.0,-0.59,1.0,1.0,0.0,0.0,0.46
Francisco Portillo,ESP,"MF,FW",32,1990,27,722,27,21.1,8.0,4,69,1,23,19,11,0.85,10,16,-6,-0.75,-0.41,10.8,15.6,-4.8,-0.59,-0.18
Gonzalo Melero,ESP,MF,28,1994,27,1855,69,54.2,20.6,24,74,1,3,30,2,1.26,34,28,6,0.29,1.56,26.6,29.5,-2.9,-0.14,0.68
Gui Guedes,POR,MF,20,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,
Houboulang Mendes,GNB,DF,24,1998,14,886,63,25.9,9.8,11,74,4,3,25,20,1.0,12,28,-16,-1.63,-1.63,10.8,21.9,-11.1,-1.13,-0.92
José Carlos Lazo,ESP,"MF,FW",26,1996,1,20,20,0.6,0.2,0,,0,1,20,1,0.0,0,1,-1,-4.5,-4.1,0.4,0.1,0.3,1.19,1.64
Juan Brandáriz,ESP,DF,23,1999,21,1489,71,43.5,16.5,15,89,13,6,27,9,1.1,20,30,-10,-0.6,-0.32,20.3,31.7,-11.4,-0.69,-0.43
Kaiky,BRA,DF,18,2004,13,581,45,17.0,6.5,7,79,3,6,5,13,1.31,6,13,-7,-1.08,-0.8,6.7,13.5,-6.8,-1.06,-0.73
Largie Ramazani,BEL,"FW,MF",21,2001,33,1403,43,41.0,15.6,13,74,2,20,22,4,1.03,14,31,-17,-1.09,-1.14,18.8,31.3,-12.5,-0.8,-0.6
Lucas Robertone,ARG,MF,25,1997,37,2843,77,83.1,31.6,34,81,12,3,33,0,1.11,44,47,-3,-0.09,1.93,37.3,47.7,-10.3,-0.33,0.72
Luis Javier Suárez,COL,FW,24,1997,21,1490,71,43.6,16.6,18,79,8,3,22,0,1.05,22,28,-6,-0.36,0.1,19.7,28.3,-8.6,-0.52,-0.13
Lázaro,BRA,"FW,MF",20,2002,19,716,38,20.9,8.0,7,70,2,12,19,16,0.53,13,13,0,0.0,0.53,11.9,12.1,-0.3,-0.04,0.52
Léo Baptistão,BRA,"FW,MF",29,1992,28,1726,62,50.5,19.2,24,69,1,4,19,1,1.29,28,30,-2,-0.1,0.64,20.6,28.7,-8.2,-0.43,0.05
Marciano Tchami,GNB,FW,18,2004,0,,,,,0,,0,0,,9,,,,,,,,,,,
Marcos Peña,ESP,MF,17,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,
Marko Milovanović,SRB,FW,18,2003,2,15,8,0.4,0.2,0,,0,2,8,3,0.0,0,1,-1,-6.0,-5.6,0.3,0.7,-0.4,-2.34,-1.9
Martin Šviderský,SVK,MF,19,2002,0,,,,,0,,0,0,,15,,,,,,,,,,,
Rodrigo Ely,BRA,DF,28,1993,36,3155,88,92.3,35.1,36,88,33,0,,0,1.03,45,61,-16,-0.46,-0.46,38.8,57.8,-18.9,-0.54,-1.18
Samu Costa,POR,MF,21,2000,32,1989,62,58.2,22.1,22,83,15,10,16,6,1.16,23,47,-24,-1.09,-1.59,23.8,41.5,-17.7,-0.8,-0.84
Sergio Akieme,ESP,DF,24,1997,29,2297,79,67.2,25.5,27,84,23,2,9,4,0.93,31,45,-14,-0.55,-0.39,29.6,42.8,-13.3,-0.52,-0.22
Srđan Babić,SRB,DF,26,1996,34,2998,88,87.7,33.3,33,89,32,1,45,3,1.15,42,56,-14,-0.42,0.01,39.5,51.7,-12.2,-0.37,0.67
Umar Sadiq,NGA,FW,25,1997,3,240,80,7.0,2.7,3,80,1,0,,0,1.33,4,3,1,0.37,0.86,3.3,4.0,-0.7,-0.25,0.22
Álex Centelles,ESP,DF,24,1997,15,1123,75,32.8,12.5,11,88,9,4,38,12,1.06,19,21,-2,-0.16,0.39,15.9,19.7,-3.8,-0.3,0.22
Íñigo Eguaras,ESP,MF,30,1992,25,967,39,28.3,10.7,10,73,4,15,16,11,1.4,11,19,-8,-0.74,-0.45,11.1,19.8,-8.6,-0.8,-0.49
