General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Antoine Griezmann,FRA,"FW,MF",31,1991,31.8,15,111,44,39.6,3.49,1.39,0.14,0.34,17.6,5,0,0,12.3,12.3,0.11,2.7,2.7
Antonio Gomis,ESP,GK,19,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Axel Witsel,BEL,"DF,MF",33,1989,25.1,0,9,0,0.0,0.36,0.0,0.0,,15.0,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Carlos Martín,ESP,"FW,MF",20,2002,0.3,0,1,1,100.0,3.21,3.21,0.0,0.0,16.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Felipe,BRA,DF,33,1989,2.2,0,1,0,0.0,0.46,0.0,0.0,,10.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Geoffrey Kondogbia,CTA,MF,29,1993,11.2,0,11,0,0.0,0.98,0.0,0.0,,19.7,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Ivo Grbić,CRO,GK,26,1996,10.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jan Oblak,SVN,GK,29,1993,27.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
José María Giménez,URU,DF,27,1995,26.9,2,22,8,36.4,0.82,0.3,0.09,0.25,14.1,0,0,0,2.0,2.0,0.09,0.0,0.0
João Félix,POR,"FW,MF",22,1999,7.2,4,26,12,46.2,3.6,1.66,0.15,0.33,18.9,1,0,0,2.6,2.6,0.1,1.4,1.4
Koke,ESP,MF,30,1992,28.3,0,16,1,6.3,0.57,0.04,0.0,0.0,22.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Marcos Llorente,ESP,"MF,DF",27,1995,18.9,1,24,9,37.5,1.27,0.48,0.04,0.11,17.9,0,0,0,2.1,2.1,0.09,-1.1,-1.1
Mario Hermoso,ESP,DF,27,1995,23.4,3,15,5,33.3,0.64,0.21,0.2,0.6,16.1,0,0,0,2.1,2.1,0.15,0.9,0.9
Matheus Cunha,BRA,"FW,MF",23,1999,4.2,0,12,8,66.7,2.86,1.91,0.0,0.0,16.1,0,0,0,1.4,1.4,0.12,-1.4,-1.4
Matt Doherty,IRL,DF,30,1992,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Memphis,NED,FW,28,1994,3.0,4,11,5,45.5,3.67,1.67,0.36,0.8,11.8,0,0,0,3.0,3.0,0.27,1.0,1.0
Nahuel Molina,ARG,DF,24,1998,31.9,4,21,6,28.6,0.66,0.19,0.19,0.67,17.0,0,0,0,2.6,2.6,0.13,1.4,1.4
Pablo Barrios,ESP,MF,19,2003,8.0,0,12,3,25.0,1.49,0.37,0.0,0.0,21.7,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Reinildo Mandava,MOZ,DF,28,1994,20.6,0,6,0,0.0,0.29,0.0,0.0,,22.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Rodrigo De Paul,ARG,MF,28,1994,21.4,2,21,5,23.8,0.98,0.23,0.1,0.4,24.5,1,0,0,1.6,1.6,0.07,0.4,0.4
Saúl Ñíguez,ESP,"MF,DF",27,1994,12.2,3,21,9,42.9,1.72,0.74,0.14,0.33,17.2,0,0,0,2.4,2.4,0.11,0.6,0.6
Sergio Reguilón,ESP,DF,25,1996,3.4,0,3,1,33.3,0.87,0.29,0.0,0.0,17.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Stefan Savić,MNE,DF,31,1991,21.6,0,2,1,50.0,0.09,0.05,0.0,0.0,13.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Thomas Lemar,FRA,MF,26,1995,13.9,1,13,6,46.2,0.93,0.43,0.08,0.17,21.1,0,0,0,0.9,0.9,0.07,0.1,0.1
Yannick Carrasco,BEL,"DF,MF",28,1993,25.7,7,66,21,31.8,2.56,0.82,0.09,0.29,17.2,2,1,1,8.0,7.2,0.11,-1.0,-1.2
Álvaro Morata,ESP,FW,29,1992,21.1,13,71,32,45.1,3.36,1.52,0.18,0.41,12.2,0,0,0,11.9,11.9,0.17,1.1,1.1
Ángel Correa,ARG,"FW,MF",27,1995,16.2,9,43,18,41.9,2.66,1.11,0.21,0.5,15.3,0,0,0,7.1,7.1,0.17,1.9,1.9
