General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Aleix Garrido,ESP,FW,18,2004,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alejandro Balde,ESP,DF,18,2003,27.5,66,2.4,50,0,8,2,5,1,8,0.29,8,0,0,0,0,0
Andreas Christensen,DEN,DF,26,1996,19.6,15,0.77,15,0,0,0,0,0,2,0.1,2,0,0,0,0,0
Ansu Fati,ESP,FW,19,2002,15.5,50,3.23,35,1,8,5,0,1,7,0.45,4,0,1,2,0,0
Chadi Riad,MAR,MF,19,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Eric García,ESP,"DF,MF",21,2001,15.7,10,0.63,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ferrán Torres,ESP,"FW,MF",22,2000,15.5,50,3.23,32,6,7,3,1,1,3,0.19,3,0,0,0,0,0
Franck Kessié,CIV,MF,25,1996,11.0,21,1.91,15,0,2,4,0,0,2,0.18,1,0,0,1,0,0
Frenkie de Jong,NED,MF,25,1997,28.2,110,3.91,94,5,6,2,1,2,11,0.39,10,1,0,0,0,0
Gavi,ESP,"MF,FW",17,2004,28.1,72,2.56,59,0,3,4,3,3,7,0.25,6,0,1,0,0,0
Gerard Piqué,ESP,DF,35,1987,4.3,5,1.17,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Héctor Bellerín,ESP,DF,27,1995,1.6,5,3.15,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Iñaki Peña,ESP,GK,23,1999,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jordi Alba,ESP,DF,33,1989,15.8,59,3.74,52,5,1,1,0,0,6,0.38,5,1,0,0,0,0
Jules Koundé,FRA,DF,23,1998,27.0,41,1.52,39,1,0,1,0,0,7,0.26,7,0,0,0,0,0
Lamine Yamal,ESP,FW,15,2007,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marc-André ter Stegen,GER,GK,30,1992,37.2,12,0.32,11,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Marcos Alonso,ESP,DF,31,1990,13.0,14,1.08,13,0,0,1,0,0,1,0.08,1,0,0,0,0,0
Memphis,NED,FW,28,1994,1.3,8,6.32,5,2,1,0,0,0,0,0.0,0,0,0,0,0,0
Ousmane Dembélé,FRA,FW,25,1997,15.7,86,5.48,52,13,15,3,3,0,12,0.76,9,0,2,1,0,0
Pablo Torre,ESP,"FW,MF",19,2003,1.6,8,5.03,6,2,0,0,0,0,1,0.63,1,0,0,0,0,0
Pedri,ESP,MF,19,2002,22.0,87,3.96,74,6,1,2,3,1,11,0.5,11,0,0,0,0,0
Pierre-Emerick Aubameyang,GAB,FW,33,1989,0.1,1,10.0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Raphinha,BRA,FW,25,1996,23.0,117,5.08,77,22,4,9,4,1,15,0.65,13,0,1,1,0,0
Robert Lewandowski,POL,FW,33,1988,31.6,91,2.88,68,1,6,12,4,0,16,0.51,10,0,1,5,0,0
Ronald Araújo,URU,DF,23,1999,20.0,18,0.9,15,0,0,3,0,0,6,0.3,5,0,0,1,0,0
Sergi Roberto,ESP,"DF,MF",30,1992,14.5,29,2.0,24,0,0,4,1,0,3,0.21,3,0,0,0,0,0
Sergio Busquets,ESP,MF,34,1988,26.0,74,2.85,68,0,0,1,4,1,6,0.23,6,0,0,0,0,0
Ángel Alarcón,ESP,FW,18,2004,0.3,,,,,,,,,,,,,,,,
