General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Aleix Garrido,ESP,FW,18,2004,1,7,7,0.2,0.1,0,,0,1,7,2,3.0,0,0,0,0.0,-1.32,0.1,0.5,-0.4,-5.0,-6.13
Alejandro Balde,ESP,DF,18,2003,33,2471,75,72.3,27.5,30,81,21,3,9,4,2.45,48,15,33,1.2,-0.41,53.8,25.9,27.9,1.02,-0.35
Ander Astralaga,ESP,GK,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Andreas Christensen,DEN,DF,26,1996,23,1760,77,51.5,19.6,22,80,15,1,6,4,2.3,33,13,20,1.02,-0.6,34.9,19.5,15.4,0.79,-0.67
Ansu Fati,ESP,FW,19,2002,36,1393,39,40.7,15.5,12,71,1,24,22,1,2.36,36,5,31,2.0,1.16,31.8,13.1,18.7,1.21,0.16
Arnau Tenas,ESP,GK,21,2001,0,,,0.0,0.0,0,,0,0,,35,1.0,1,1,0,,,,,,,
Chadi Riad,MAR,MF,19,2003,1,2,2,0.1,0.0,0,,0,1,2,3,3.0,0,0,0,0.0,-1.32,0.0,0.1,0.0,-1.53,-2.65
Daniel Rodriguez,ESP,MF,16,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Eric García,ESP,"DF,MF",21,2001,24,1417,59,41.4,15.7,15,79,10,9,25,14,2.0,30,10,20,1.27,-0.08,30.6,14.0,16.7,1.06,-0.09
Estanis,ESP,FW,18,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ferrán Torres,ESP,"FW,MF",22,2000,33,1392,42,40.7,15.5,14,72,5,19,20,3,2.27,25,11,14,0.91,-0.69,28.4,15.5,12.8,0.83,-0.48
Franck Kessié,CIV,MF,25,1996,28,990,35,28.9,11.0,7,66,1,21,25,7,2.14,16,7,9,0.82,-0.7,18.3,12.1,6.2,0.57,-0.77
Frenkie de Jong,NED,MF,25,1997,33,2534,77,74.1,28.2,29,83,20,4,29,1,2.33,56,20,36,1.28,-0.14,58.4,24.3,34.2,1.21,0.39
Gavi,ESP,"MF,FW",17,2004,36,2531,70,74.0,28.1,30,78,13,6,33,0,2.36,52,11,41,1.46,0.55,53.9,21.9,32.0,1.14,0.1
Gerard Piqué,ESP,DF,35,1987,6,384,64,11.2,4.3,4,89,3,2,15,7,3.0,9,1,8,1.87,0.63,11.4,3.7,7.8,1.83,0.8
Héctor Bellerín,ESP,DF,27,1995,3,143,48,4.2,1.6,1,90,1,2,27,8,3.0,4,0,4,2.52,1.25,5.4,0.6,4.7,2.98,1.95
Iñaki Peña,ESP,GK,23,1999,2,73,37,2.1,0.8,0,,0,2,37,36,0.0,2,2,0,0.0,-1.34,1.2,1.4,-0.2,-0.29,-1.43
Jordi Alba,ESP,DF,33,1989,24,1419,59,41.5,15.8,14,83,6,10,26,12,2.17,27,8,19,1.21,-0.19,30.7,13.3,17.5,1.11,-0.01
Jules Koundé,FRA,DF,23,1998,29,2426,84,70.9,27.0,28,86,24,1,9,2,2.38,51,12,39,1.45,0.45,53.0,21.6,31.4,1.16,0.17
Lamine Yamal,ESP,FW,15,2007,1,8,8,0.2,0.1,0,,0,1,8,3,3.0,0,0,0,0.0,-1.32,0.5,0.0,0.5,5.65,4.55
Marc Casado,ESP,MF,18,2003,0,,,,,0,,0,0,,8,,,,,,,,,,,
Marc Guiu,ESP,FW,16,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
Marc-André ter Stegen,GER,GK,30,1992,38,3347,88,97.9,37.2,38,88,36,0,,0,2.32,68,18,50,1.34,1.34,74.3,31.7,42.5,1.14,1.43
Marcos Alonso,ESP,DF,31,1990,24,1172,49,34.3,13.0,11,80,8,13,22,10,2.29,22,11,11,0.84,-0.72,23.2,14.0,9.2,0.71,-0.62
Memphis,NED,FW,28,1994,2,114,57,3.3,1.3,2,57,0,0,,6,3.0,4,0,4,3.16,1.91,3.8,0.4,3.4,2.72,1.67
Miralem Pjanić,BIH,MF,32,1990,0,,,,,0,,0,0,,4,,,,,,,,,,,
Ousmane Dembélé,FRA,FW,25,1997,25,1410,56,41.2,15.7,16,73,3,9,28,0,2.36,32,11,21,1.34,0.04,32.1,15.5,16.6,1.06,-0.1
Pablo Torre,ESP,"FW,MF",19,2003,8,144,18,4.2,1.6,1,62,0,7,12,23,0.88,3,2,1,0.62,-0.72,3.3,2.7,0.6,0.38,-0.77
Pau Prim,ESP,MF,16,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
Pedri,ESP,MF,19,2002,26,1976,76,57.8,22.0,22,83,12,4,38,0,2.62,47,9,38,1.73,0.98,48.6,17.6,31.0,1.41,0.7
Pierre-Emerick Aubameyang,GAB,FW,33,1989,1,9,9,0.3,0.1,0,,0,1,9,2,1.0,0,0,0,0.0,-1.32,0.4,0.1,0.3,2.87,1.76
Raphinha,BRA,FW,25,1996,36,2072,58,60.6,23.0,25,72,2,11,24,1,2.28,34,9,25,1.09,-0.58,44.9,18.1,26.8,1.16,0.13
Robert Lewandowski,POL,FW,33,1988,34,2847,84,83.2,31.6,33,85,27,1,34,0,2.24,62,20,42,1.33,0.07,66.5,26.1,40.3,1.28,0.96
Ronald Araújo,URU,DF,23,1999,22,1800,82,52.6,20.0,21,85,16,1,24,2,2.45,42,5,37,1.85,1.13,44.4,14.0,30.4,1.52,0.86
Sergi Roberto,ESP,"DF,MF",30,1992,23,1308,57,38.2,14.5,15,73,5,8,27,6,2.13,24,10,14,0.96,-0.57,25.0,11.8,13.2,0.91,-0.32
Sergio Busquets,ESP,MF,34,1988,30,2339,78,68.4,26.0,28,81,17,2,30,4,2.43,41,11,30,1.15,-0.51,49.4,22.6,26.8,1.03,-0.25
Unai Hernandez,ESP,MF,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ángel Alarcón,ESP,FW,18,2004,4,25,6,0.7,0.3,0,,0,4,6,10,2.25,0,0,0,0.0,-1.33,,,,,
