General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Aleix Garrido,ESP,FW,18,2004,0.1,7,0,4,0,3,1,7,1,0,0.0,1,100.0,4,30,18,0,0,0,0,0,3,0
Alejandro Balde,ESP,DF,18,2003,27.5,1939,40,419,874,672,78,1939,96,50,52.1,36,37.5,1270,7276,4100,96,69,35,41,24,1348,234
Andreas Christensen,DEN,DF,26,1996,19.6,1652,127,645,962,50,13,1652,2,0,0.0,2,100.0,1170,5841,3232,18,15,0,10,1,1257,5
Ansu Fati,ESP,FW,19,2002,15.5,805,10,64,278,469,128,805,47,23,48.9,21,44.7,556,2983,1399,47,28,31,35,30,639,178
Chadi Riad,MAR,MF,19,2003,0.0,1,0,1,0,0,0,1,0,0,,0,,1,8,0,0,0,0,0,0,1,0
Eric García,ESP,"DF,MF",21,2001,15.7,1397,97,538,781,84,5,1397,4,2,50.0,2,50.0,918,4539,2686,25,22,0,10,2,1049,6
Ferrán Torres,ESP,"FW,MF",22,2000,15.5,756,10,67,256,441,87,755,68,30,44.1,26,38.2,489,2748,1199,43,34,23,48,23,598,180
Franck Kessié,CIV,MF,25,1996,11.0,575,25,110,336,133,25,575,18,9,50.0,6,33.3,349,1732,674,14,11,2,23,10,426,43
Frenkie de Jong,NED,MF,25,1997,28.2,2526,45,391,1553,607,47,2526,60,35,58.3,20,33.3,1797,11018,6412,92,95,9,24,22,2036,83
Gavi,ESP,"MF,FW",17,2004,28.1,1509,27,148,797,578,71,1509,63,27,42.9,26,41.3,1002,5348,2505,49,68,8,56,33,1133,153
Gerard Piqué,ESP,DF,35,1987,4.3,424,38,126,290,9,5,424,1,1,100.0,0,0.0,284,1789,1197,3,2,0,2,1,320,1
Héctor Bellerín,ESP,DF,27,1995,1.6,107,1,17,50,41,5,107,4,3,75.0,1,25.0,54,271,159,2,3,1,1,0,66,6
Iñaki Peña,ESP,GK,23,1999,0.8,27,21,27,0,0,0,27,0,0,,0,,19,93,35,0,0,0,0,0,14,0
Jordi Alba,ESP,DF,33,1989,15.8,1558,34,299,765,506,39,1558,8,4,50.0,4,50.0,957,3881,2079,42,27,6,7,7,1121,157
Jules Koundé,FRA,DF,23,1998,27.0,2234,117,675,1215,362,45,2234,28,15,53.6,9,32.1,1477,7400,4587,58,52,5,23,18,1611,61
Lamine Yamal,ESP,FW,15,2007,0.1,12,0,0,1,11,1,12,2,0,0.0,2,100.0,9,23,9,0,1,0,0,0,10,2
Marc-André ter Stegen,GER,GK,30,1992,37.2,1457,1076,1436,22,0,0,1457,0,0,,0,,963,4887,3425,0,0,0,1,1,851,0
Marcos Alonso,ESP,DF,31,1990,13.0,1114,98,402,624,94,11,1114,2,2,100.0,0,0.0,727,4516,2674,26,11,0,8,1,816,12
Memphis,NED,FW,28,1994,1.3,84,0,5,25,55,13,84,7,3,42.9,3,42.9,50,233,91,2,2,3,7,4,69,19
Ousmane Dembélé,FRA,FW,25,1997,15.7,1041,2,30,311,719,103,1041,114,52,45.6,50,43.9,755,6024,3328,124,75,56,27,18,841,209
Pablo Torre,ESP,"FW,MF",19,2003,1.6,114,3,12,49,55,1,114,7,3,42.9,2,28.6,69,313,162,4,6,0,5,4,87,16
Pedri,ESP,MF,19,2002,22.0,1652,13,161,954,556,58,1652,61,36,59.0,22,36.1,1202,6987,3387,67,81,14,32,31,1334,99
Pierre-Emerick Aubameyang,GAB,FW,33,1989,0.1,4,0,1,2,1,1,4,0,0,,0,,2,8,1,0,0,0,0,0,2,0
Raphinha,BRA,FW,25,1996,23.0,1596,17,84,547,979,131,1596,106,45,42.5,52,49.1,999,5616,2794,97,67,53,55,24,1148,339
Robert Lewandowski,POL,FW,33,1988,31.6,1155,17,41,432,694,210,1154,59,30,50.8,26,44.1,781,3757,1361,52,38,25,94,50,998,248
Ronald Araújo,URU,DF,23,1999,20.0,1437,109,487,882,77,29,1437,14,10,71.4,3,21.4,957,5938,3727,29,13,1,9,6,1022,11
Sergi Roberto,ESP,"DF,MF",30,1992,14.5,1051,30,179,565,312,31,1051,13,5,38.5,4,30.8,658,2976,1773,47,32,6,9,3,781,72
Sergio Busquets,ESP,MF,34,1988,26.0,2172,62,387,1427,373,14,2172,16,11,68.8,3,18.8,1279,5074,2594,26,32,1,19,12,1551,32
Ángel Alarcón,ESP,FW,18,2004,0.3,,,,,,,,,,,,,,,,,,,,,,
