General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Abner,BRA,DF,22,2000,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0
Aitor Ruibal,ESP,"DF,FW",26,1996,16.2,4,1,0,22,18,3,31,24,29,0,0,0,102,14,18,43.8
Andrés Guardado,MEX,MF,35,1986,15.3,7,0,0,16,10,0,9,23,25,0,0,0,121,17,29,37.0
Ayoze Pérez,ESP,"FW,MF",29,1993,15.4,3,0,0,32,29,2,7,13,15,2,0,0,67,8,24,25.0
Borja Iglesias,ESP,FW,29,1993,26.3,2,1,0,40,52,22,0,1,4,0,0,0,46,24,44,35.3
Claudio Bravo,CHI,GK,39,1983,12.0,2,0,0,0,0,0,0,2,0,0,0,0,14,3,0,100.0
Felix Garreta,ESP,DF,18,2004,1.0,0,0,0,2,1,0,0,1,0,0,0,0,3,1,1,50.0
Fran Delgado,ESP,DF,21,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Germán Pezzella,ARG,DF,31,1991,27.9,4,3,0,27,17,1,2,50,28,0,0,0,108,73,31,70.2
Guido Rodríguez,ARG,MF,28,1994,31.9,8,0,0,45,64,1,9,42,75,0,0,1,213,44,46,48.9
Joaquín,ESP,"MF,FW",41,1981,5.5,2,0,0,1,8,1,31,4,3,0,0,0,25,1,5,16.7
Juan Cruz,ESP,FW,22,2000,2.0,1,0,0,4,2,1,6,0,0,0,0,0,8,1,2,33.3
Juan Miranda,ESP,DF,22,2000,16.4,1,1,0,15,20,1,73,20,16,0,1,0,78,21,17,55.3
Juanmi,ESP,FW,29,1993,10.3,3,0,0,15,22,15,0,4,10,0,0,0,45,9,16,36.0
Loren Morón,ESP,FW,28,1993,0.2,1,0,0,2,0,0,0,0,2,0,0,0,1,0,2,0.0
Luiz Felipe,ITA,DF,25,1997,19.6,3,3,0,10,10,0,2,28,23,0,0,0,80,31,36,46.3
Luiz Henrique,BRA,FW,21,2001,20.1,6,0,0,25,41,5,31,14,34,0,0,0,127,27,41,39.7
Martín Montoya,ESP,DF,31,1991,5.0,1,0,0,4,6,0,10,9,8,0,0,0,24,8,3,72.7
Nabil Fekir,FRA,MF,29,1993,10.7,4,1,0,21,39,7,48,1,5,1,0,0,31,8,11,42.1
Paul Akouokou,CIV,"MF,DF",24,1997,5.0,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.2
Roberto González,ESP,"FW,MF",21,2001,0.6,1,0,0,1,4,0,5,1,0,0,0,0,0,0,0,
Rodri,ESP,"FW,MF",22,2000,17.8,0,0,0,6,39,2,47,13,11,1,0,0,102,2,12,14.3
Rui Silva,POR,GK,28,1994,26.0,2,0,0,0,2,0,0,0,1,0,0,0,43,6,1,85.7
Sergio Canales,ESP,"FW,MF",31,1991,26.7,4,2,1,9,32,4,135,14,14,0,0,0,121,13,24,35.1
Víctor Ruiz,ESP,DF,33,1989,6.2,0,0,0,4,2,1,0,6,3,0,0,0,29,17,7,70.8
William Carvalho,POR,MF,30,1992,27.1,6,1,0,29,40,2,5,16,27,0,0,0,159,32,27,54.2
Willian José,BRA,FW,30,1991,8.1,1,0,0,9,6,3,4,1,6,0,0,0,31,16,20,44.4
Youssouf Sabaly,SEN,DF,29,1993,18.7,2,0,0,20,33,2,17,19,23,0,0,0,109,5,11,31.3
Álex Moreno,ESP,DF,29,1993,15.0,1,0,0,17,19,1,28,17,22,0,1,0,78,9,18,33.3
Édgar González,ESP,DF,25,1997,19.7,8,2,2,23,13,0,0,21,19,0,0,0,83,48,33,59.3
