General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Agustín Marchesín,ARG,GK,34,1988,19.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0
Augusto Solari,ARG,MF,30,1992,2.9,10,6,6,3,1,3,11,27.3,8,5,0,5,4,14,3,0
Carles Pérez,ESP,"MF,FW",24,1998,23.8,39,23,12,17,10,22,66,33.3,44,29,3,26,6,45,9,0
Carlos Dominguez,ESP,DF,21,2001,1.2,1,1,0,1,0,1,2,50.0,1,1,1,0,0,1,7,0
Fernando Medrano,ESP,DF,22,2000,0.1,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,1,0
Fran Beltrán,ESP,MF,23,1999,31.7,34,22,15,14,5,14,55,25.5,41,29,5,24,53,87,35,2
Franco Cervi,ARG,"MF,DF",28,1994,21.0,76,46,29,36,11,33,66,50.0,33,33,1,32,36,112,16,0
Gabriel Veiga,ESP,MF,20,2002,25.5,43,19,14,25,4,16,52,30.8,36,30,3,27,21,64,6,0
Gonçalo Paciência,POR,"FW,MF",27,1994,7.4,8,5,0,5,3,2,7,28.6,5,9,1,8,0,8,4,0
Haris Seferović,SUI,FW,30,1992,9.9,6,3,1,4,1,3,8,37.5,5,7,1,6,1,7,6,1
Hugo Mallo,ESP,DF,31,1991,24.0,53,29,34,14,5,28,42,66.7,14,28,7,21,24,77,73,0
Hugo Sotelo,ESP,MF,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Iago Aspas,ESP,FW,34,1987,31.9,8,4,0,4,4,3,22,13.6,19,10,1,9,7,15,23,0
Iván Villar,ESP,GK,25,1997,19.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0
Javi Galán,ESP,DF,27,1994,35.1,104,72,60,40,4,48,98,49.0,50,54,5,49,41,145,63,1
Joseph Aidoo,GHA,DF,26,1995,34.7,51,36,33,17,1,16,28,57.1,12,26,14,12,31,82,150,0
Jørgen Strand Larsen,NOR,FW,22,2000,18.9,15,7,3,5,7,7,30,23.3,23,14,5,9,3,18,24,0
Kevin Vázquez,ESP,"DF,MF",29,1993,4.9,13,8,5,7,1,8,12,66.7,4,4,1,3,2,15,8,0
Luca de la Torre,USA,MF,24,1998,16.5,28,19,11,14,3,12,32,37.5,20,22,1,21,9,37,6,0
Miguel Rodríguez,ESP,"MF,FW",19,2003,2.8,7,5,4,3,0,4,11,36.4,7,6,0,6,1,8,3,0
Pablo Durán,ESP,"MF,DF",21,2001,0.4,0,0,0,0,0,0,0,,0,2,1,1,1,1,2,0
Renato Tapia,PER,"MF,DF",27,1995,16.1,47,25,21,21,5,18,37,48.6,19,29,11,18,19,66,37,0
Unai Núñez,ESP,DF,25,1997,35.0,47,35,29,15,3,18,34,52.9,16,27,17,10,72,119,135,1
Williot Swedberg,SWE,MF,18,2004,0.6,3,1,1,0,2,0,0,,0,2,0,2,0,3,1,0
Óscar Mingueza,ESP,DF,23,1999,14.3,37,21,27,9,1,25,32,78.1,7,10,4,6,12,49,25,0
Óscar Rodríguez Arnaiz,ESP,MF,24,1998,19.7,32,25,12,15,5,13,28,46.4,15,16,2,14,24,56,15,0
