General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Alberto Perea,ESP,MF,31,1990,0.5,12,12,0,0,0,0,1,0,0,0,0,0,10,0,0
Alfonso Espino,URU,DF,30,1992,34.7,1542,1206,328,40,4,15,110,280,8,1,5,0,989,8,53
Anthony Lozano,HON,FW,29,1993,16.0,293,283,9,0,1,1,7,1,0,0,0,0,198,1,13
Antonio Blanco,ESP,MF,22,2000,1.8,61,61,0,0,0,1,0,0,0,0,0,0,57,0,0
Awer Mabil,AUS,"MF,FW",26,1995,1.8,54,48,6,3,0,0,9,1,2,1,1,0,34,0,4
Brian Ocampo,URU,"MF,FW",23,1999,12.4,369,338,27,5,0,3,34,5,17,11,3,1,274,4,11
Cala,ESP,DF,32,1989,1.5,38,33,5,5,0,2,0,0,0,0,0,0,30,0,0
Carlos García,ESP,DF,22,2000,0.3,24,23,1,1,0,0,0,0,0,0,0,0,20,0,0
Chris Ramos,ESP,FW,25,1997,7.9,149,141,4,0,0,0,6,0,0,0,0,0,79,4,5
David Gil,ESP,GK,28,1994,4.0,129,75,54,18,0,1,0,0,0,0,0,0,66,0,0
Fali,ESP,"DF,MF",28,1993,19.0,593,567,25,25,2,13,2,0,0,0,0,0,455,1,4
Fede San Emeterio,ESP,MF,25,1997,20.5,657,640,12,12,2,4,4,0,0,0,0,0,518,5,12
Francisco Mwepu,ZAM,FW,22,2000,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Gonzalo Escalante,ARG,MF,29,1993,12.5,433,419,11,6,2,4,4,0,0,0,0,0,325,3,4
Isaac Carcelen,ESP,DF,29,1993,24.4,961,755,204,37,0,7,73,143,24,5,15,0,747,2,17
Iván Alejo,ESP,"MF,FW",27,1995,14.6,392,365,25,5,1,0,108,13,7,2,4,0,219,2,26
Jeremías Ledesma,ARG,GK,29,1993,34.0,1114,674,435,150,0,3,0,0,0,0,0,0,585,5,0
Jorge Meré,ESP,DF,25,1997,6.7,215,207,8,8,0,1,0,0,0,0,0,0,179,0,1
Joseba Zaldúa,ESP,DF,30,1992,7.1,277,222,53,4,0,1,12,49,0,0,0,0,190,2,8
José Antonio,ESP,"MF,DF",18,2004,0.5,10,9,1,1,0,0,1,0,0,0,0,0,8,0,1
José Mari,ESP,MF,34,1987,4.4,203,188,14,14,0,8,1,0,0,0,0,0,168,1,2
Lucas Pérez,ESP,FW,33,1988,7.0,236,184,49,10,0,2,40,1,23,15,6,0,169,3,4
Luis Hernández,ESP,DF,33,1989,35.0,1488,1232,250,65,0,25,18,184,0,0,0,0,1078,6,14
Mamadou Mbaye,SEN,DF,24,1998,8.4,294,286,5,5,0,2,0,0,0,0,0,0,219,3,6
Mamady Diarra,MLI,"MF,DF",22,2000,0.7,9,9,0,0,0,0,0,0,0,0,0,0,8,0,1
Raúl Parra,ESP,DF,22,1999,3.4,114,84,30,2,0,0,6,28,0,0,0,0,74,0,6
Roger Martí,ESP,FW,31,1991,7.1,129,116,10,0,1,0,0,0,0,0,0,0,92,3,4
Rubén Alcaraz,ESP,MF,31,1991,22.7,1046,978,63,44,6,27,44,0,15,9,2,2,827,5,17
Rubén Sobrino,ESP,"MF,FW",30,1992,27.4,618,603,10,1,1,3,12,7,0,0,0,0,444,5,21
Santiago Arzamendia,PAR,"DF,MF",24,1998,5.4,226,188,35,7,0,3,14,26,2,1,1,0,150,3,16
Sergi Guardiola,ESP,FW,31,1991,12.9,294,278,15,0,0,0,14,0,0,0,0,0,203,1,12
Theo Bongonda,COD,"MF,FW",26,1995,21.5,489,437,48,17,2,2,68,7,24,11,3,0,329,4,18
Tomás Alarcón,CHI,MF,23,1999,2.5,95,88,7,5,1,3,6,0,2,1,1,0,78,0,0
Víctor Chust,ESP,DF,22,2000,10.7,440,412,25,23,0,5,0,2,0,0,0,0,364,3,5
Youba Diarra,MLI,MF,24,1998,1.1,49,49,0,0,1,0,0,0,0,0,0,0,40,0,1
Álex Fernández,ESP,"MF,FW",29,1992,17.5,720,656,63,34,2,10,37,1,21,8,6,0,602,1,7
Álvaro Giménez,ESP,FW,31,1991,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Álvaro Negredo,ESP,FW,36,1985,8.4,173,153,20,1,3,4,2,0,0,0,0,0,106,0,4
