General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Aleix García,ESP,MF,25,1997,26.0,1867,68,386,1003,490,23,1867,26,13,50.0,9,34.6,1041,4868,2266,41,35,7,19,12,1302,76
Alexander Callens,PER,DF,30,1992,1.3,111,11,53,53,5,0,111,0,0,,0,,76,361,213,5,3,0,2,1,72,1
Arnau Martinez,ESP,DF,19,2003,30.4,1902,98,631,861,427,53,1902,48,24,50.0,19,39.6,967,5242,3015,64,31,9,36,17,1116,98
Bernardo Espinosa,COL,DF,33,1989,13.6,1047,164,530,496,29,17,1047,4,3,75.0,1,25.0,636,3354,1885,8,3,1,4,4,720,3
Borja García,ESP,"MF,FW",31,1990,7.5,347,8,69,186,92,10,347,14,6,42.9,5,35.7,227,1030,394,7,9,0,6,11,253,32
Cristhian Stuani,URU,FW,35,1986,12.1,281,5,28,133,121,56,275,4,0,0.0,3,75.0,137,406,145,2,1,1,23,6,193,26
David López,ESP,DF,32,1989,18.4,1379,207,795,553,37,16,1379,6,6,100.0,0,0.0,823,4281,2574,18,5,0,8,1,959,4
Iván Martín,ESP,MF,23,1999,17.6,822,23,132,425,274,36,822,48,26,54.2,18,37.5,540,3377,1213,30,19,6,32,37,631,82
Javi Hernández,ESP,DF,24,1998,12.4,870,54,289,432,157,13,870,16,11,68.8,5,31.3,501,2907,1841,41,24,1,7,8,555,25
Joel Roca,ESP,"MF,FW",17,2005,0.9,69,2,12,24,34,5,69,14,5,35.7,8,57.1,46,248,102,3,2,2,4,2,47,14
Juan Carlos,ESP,GK,34,1988,10.0,356,324,355,1,0,0,356,0,0,,0,,212,903,476,0,0,0,0,0,188,0
Juanpe,ESP,DF,31,1991,15.8,992,169,573,395,31,16,992,1,1,100.0,0,0.0,595,3035,1700,8,2,0,0,2,693,3
Manu Vallejo,ESP,"FW,MF",25,1997,2.3,110,1,12,45,54,8,110,4,1,25.0,3,75.0,67,341,209,7,4,2,3,4,85,25
Miguel Gutiérrez,ESP,DF,21,2001,26.6,1628,66,466,697,482,39,1628,75,35,46.7,32,42.7,959,5765,2803,81,43,17,36,25,1037,148
Oriol Romeu,ESP,MF,30,1991,32.8,1952,109,589,1119,259,28,1952,24,20,83.3,1,4.2,1148,4448,2067,15,29,1,26,28,1318,16
Oscar Ureña,DOM,MF,19,2003,1.1,41,0,7,14,22,4,41,5,4,80.0,0,0.0,28,150,45,1,0,1,4,4,29,10
Paulo Gazzaniga,ARG,GK,30,1992,28.0,1140,981,1133,7,0,0,1140,1,1,100.0,0,0.0,667,3263,1663,0,0,0,3,2,504,0
Ramón Terrats,ESP,MF,21,2000,2.4,129,8,38,70,23,2,129,5,2,40.0,3,60.0,73,414,191,4,4,0,2,5,87,4
Reinier,BRA,"MF,FW",20,2002,7.2,329,6,46,157,128,20,329,17,9,52.9,8,47.1,210,1139,490,13,18,1,19,19,258,27
Ricard Artero,ESP,"MF,FW",19,2003,1.5,68,2,14,36,20,6,68,4,3,75.0,0,0.0,45,217,106,4,4,0,4,3,54,9
Rodrigo Riquelme,ESP,"MF,FW",22,2000,24.2,1021,14,136,379,528,89,1021,143,57,39.9,71,49.7,717,6218,3354,116,97,42,62,30,764,171
Samuel Sáiz,ESP,MF,31,1991,2.7,192,0,21,98,75,7,190,10,4,40.0,6,60.0,131,713,244,5,5,2,10,4,154,18
Santiago Bueno,URU,DF,23,1998,33.4,2098,194,1016,1038,54,17,2098,4,2,50.0,0,0.0,1305,7395,4721,30,13,0,6,1,1447,4
Toni Villa,ESP,"MF,FW",27,1995,9.9,486,3,60,167,271,44,486,71,24,33.8,43,60.6,323,2281,1208,37,28,20,20,22,347,91
Valentín Castellanos,ARG,FW,23,1998,28.9,672,28,65,278,343,123,671,43,14,32.6,21,48.8,361,1903,923,30,27,11,46,22,478,128
Valery Fernández,ESP,"MF,DF",22,1999,10.7,461,20,86,179,199,28,461,27,13,48.1,10,37.0,274,1617,637,18,7,9,18,10,305,84
Viktor Tsyhankov,UKR,MF,24,1997,16.5,737,17,110,311,331,49,737,31,17,54.8,10,32.3,463,3132,1672,63,39,19,16,15,525,120
Yan Couto,BRA,"DF,MF",20,2002,12.9,734,20,184,295,266,20,734,60,28,46.7,27,45.0,447,3355,1826,56,31,12,26,13,482,89
Yangel Herrera,VEN,"MF,FW",24,1998,10.7,556,17,82,301,180,32,556,23,12,52.2,8,34.8,346,1611,686,18,14,3,25,22,417,56
