General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Aleix García,ESP,MF,25,1997,30,26,2337,26.0,1,5,6,1,0,0,1,0,1.8,1.8,6.2,8.0,41,156,76,0.04,0.19,0.23,0.04,0.23,0.07,0.24,0.31,0.07,0.31
Alexander Callens,PER,DF,30,1992,6,0,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnau Martinez,ESP,DF,19,2003,33,32,2732,30.4,3,4,7,3,0,0,11,0,1.9,1.9,4.3,6.3,64,113,98,0.1,0.13,0.23,0.1,0.23,0.06,0.14,0.21,0.06,0.21
Bernardo Espinosa,COL,DF,33,1989,20,14,1225,13.6,1,1,2,1,0,0,5,0,1.2,1.2,0.0,1.2,8,36,3,0.07,0.07,0.15,0.07,0.15,0.09,0.0,0.09,0.09,0.09
Borja García,ESP,"MF,FW",31,1990,11,10,679,7.5,1,0,1,1,0,0,1,0,0.7,0.7,0.6,1.3,7,39,32,0.13,0.0,0.13,0.13,0.13,0.09,0.08,0.17,0.09,0.17
Cristhian Stuani,URU,FW,35,1986,32,8,1090,12.1,9,0,9,4,5,6,8,0,9.7,5.0,1.3,6.2,2,10,26,0.74,0.0,0.74,0.33,0.33,0.8,0.1,0.9,0.41,0.51
David López,ESP,DF,32,1989,20,19,1652,18.4,3,1,4,3,0,0,5,0,1.5,1.5,0.6,2.1,18,54,4,0.16,0.05,0.22,0.16,0.22,0.08,0.03,0.12,0.08,0.12
Iván Martín,ESP,MF,23,1999,24,18,1586,17.6,3,3,6,3,0,0,2,0,2.4,2.4,2.2,4.7,30,56,82,0.17,0.17,0.34,0.17,0.34,0.14,0.13,0.27,0.14,0.27
Javi Hernández,ESP,DF,24,1998,25,13,1116,12.4,1,2,3,1,0,0,3,0,1.3,1.3,0.9,2.2,41,78,25,0.08,0.16,0.24,0.08,0.24,0.1,0.07,0.18,0.1,0.18
Joel Roca,ESP,"MF,FW",17,2005,5,0,84,0.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,0,14,0.0,0.0,0.0,0.0,0.0,0.27,0.04,0.31,0.27,0.31
Juan Carlos,ESP,GK,34,1988,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juanpe,ESP,DF,31,1991,19,17,1426,15.8,1,0,1,1,0,0,3,0,0.5,0.5,0.3,0.8,8,38,3,0.06,0.0,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05
Manu Vallejo,ESP,"FW,MF",25,1997,7,2,206,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,7,10,25,0.0,0.44,0.44,0.0,0.44,0.02,0.12,0.14,0.02,0.14
Miguel Gutiérrez,ESP,DF,21,2001,34,27,2390,26.6,2,3,5,2,0,0,6,0,0.8,0.8,3.3,4.1,81,125,148,0.08,0.11,0.19,0.08,0.19,0.03,0.12,0.15,0.03,0.15
Oriol Romeu,ESP,MF,30,1991,33,33,2950,32.8,2,0,2,2,0,0,10,1,1.6,1.6,0.9,2.5,15,133,16,0.06,0.0,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08
Oscar Ureña,DOM,MF,19,2003,3,1,100,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,10,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16
Paulo Gazzaniga,ARG,GK,30,1992,28,28,2520,28.0,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Ramón Terrats,ESP,MF,21,2000,8,2,212,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,6,4,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1
Reinier,BRA,"MF,FW",20,2002,18,5,647,7.2,2,1,3,2,0,0,1,1,1.5,1.5,0.6,2.0,13,25,27,0.28,0.14,0.42,0.28,0.42,0.2,0.08,0.28,0.2,0.28
Ricard Artero,ESP,"MF,FW",19,2003,7,0,133,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,4,3,9,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35
Rodrigo Riquelme,ESP,"MF,FW",22,2000,34,25,2179,24.2,4,4,8,4,0,0,1,0,4.0,4.0,3.7,7.7,116,85,171,0.17,0.17,0.33,0.17,0.33,0.17,0.15,0.32,0.17,0.32
Samuel Sáiz,ESP,MF,31,1991,8,1,240,2.7,2,0,2,0,2,2,1,0,1.7,0.1,0.2,0.4,5,17,18,0.75,0.0,0.75,0.0,0.0,0.62,0.09,0.72,0.04,0.13
Santiago Bueno,URU,DF,23,1998,34,34,3010,33.4,0,1,1,0,0,0,7,1,1.3,1.3,1.0,2.3,30,148,4,0.0,0.03,0.03,0.0,0.03,0.04,0.03,0.07,0.04,0.07
Toni Villa,ESP,"MF,FW",27,1995,24,12,895,9.9,1,3,4,1,0,0,2,0,1.0,1.0,1.6,2.6,37,38,91,0.1,0.3,0.4,0.1,0.4,0.11,0.16,0.26,0.11,0.26
Valentín Castellanos,ARG,FW,23,1998,35,33,2597,28.9,13,0,13,12,1,1,11,0,11.2,10.4,1.7,12.1,30,34,128,0.45,0.0,0.45,0.42,0.42,0.39,0.06,0.45,0.36,0.42
Valery Fernández,ESP,"MF,DF",22,1999,25,7,967,10.7,0,2,2,0,0,0,1,0,0.7,0.7,1.2,1.9,18,20,84,0.0,0.19,0.19,0.0,0.19,0.07,0.11,0.18,0.07,0.18
Viktor Tsyhankov,UKR,MF,24,1997,19,17,1489,16.5,3,6,9,3,0,0,0,0,2.8,2.8,2.9,5.7,63,46,120,0.18,0.36,0.54,0.18,0.54,0.17,0.17,0.34,0.17,0.34
Yan Couto,BRA,"DF,MF",20,2002,25,12,1158,12.9,1,2,3,1,0,0,3,0,0.5,0.5,2.5,3.0,56,55,89,0.08,0.16,0.23,0.08,0.23,0.04,0.19,0.23,0.04,0.23
Yangel Herrera,VEN,"MF,FW",24,1998,20,12,963,10.7,2,2,4,2,0,0,4,0,2.3,2.3,1.0,3.3,18,46,56,0.19,0.19,0.37,0.19,0.37,0.22,0.1,0.31,0.21,0.31
