General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Abde Ezzalzouli,MAR,"FW,MF",20,2001,16.7,4,2,1,27,34,2,76,4,19,0,0,0,71,3,17,15.0
Aimar Oroz,ESP,"MF,FW",20,2001,22.4,6,0,0,36,61,2,7,24,14,0,0,0,106,17,39,30.4
Aitor Fernández,ESP,GK,31,1991,21.0,1,0,0,0,0,0,0,2,1,0,0,0,27,3,1,75.0
Ante Budimir,CRO,FW,31,1991,20.0,5,0,0,48,23,12,3,5,9,1,0,0,37,97,104,48.3
Aridane Hernández,ESP,DF,33,1989,19.9,1,0,0,14,12,0,0,28,15,0,0,1,107,30,15,66.7
Darko Brašanac,SRB,MF,30,1992,11.6,5,0,0,16,14,3,7,12,20,0,1,0,50,15,15,50.0
David García,ESP,DF,28,1994,29.8,8,1,0,54,15,0,2,45,20,0,1,0,162,84,36,70.0
Diego Moreno,ESP,DF,21,2001,7.1,1,0,0,3,4,1,20,5,4,0,0,0,33,5,8,38.5
Ezequiel Ávila,ARG,"FW,MF",28,1994,19.0,7,1,0,25,35,14,81,8,5,0,0,0,54,35,50,41.2
Iker Benito,ESP,"FW,MF",19,2002,2.0,0,0,0,2,2,1,6,2,3,0,0,0,14,1,4,20.0
Iker Muñoz,ESP,MF,19,2002,2.8,0,0,0,5,4,0,0,3,0,0,0,0,15,6,3,66.7
Jon Moncayola,ESP,"MF,DF",24,1998,27.2,6,0,0,35,17,3,78,17,39,1,0,0,186,17,15,53.1
Jorge Herrando,ESP,DF,21,2001,0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,100.0
Juan Cruz Armada,ESP,DF,30,1992,22.9,7,0,0,17,9,1,35,13,14,0,0,0,94,18,22,45.0
Kike Barja,ESP,"FW,MF",25,1997,14.6,1,0,0,18,15,7,110,4,9,0,0,0,65,8,11,42.1
Kiké,ESP,FW,32,1989,11.3,5,0,0,26,26,6,7,1,3,2,0,0,33,44,57,43.6
Lucas Torró,ESP,MF,28,1994,27.5,10,0,0,64,31,0,1,42,32,0,0,0,184,86,50,63.2
Manu Sánchez,ESP,DF,21,2000,23.6,3,0,0,26,10,2,71,14,35,1,0,0,126,15,22,40.5
Moi Gómez,ESP,"MF,FW",28,1994,27.3,5,0,0,14,26,1,115,10,17,0,0,0,176,7,25,21.9
Nacho Vidal,ESP,DF,27,1995,13.9,4,0,0,28,17,0,31,19,14,0,0,0,61,29,13,69.0
Pablo Ibáñez,ESP,MF,23,1998,11.8,1,0,0,22,16,4,6,8,13,0,0,0,61,24,37,39.3
Roberto Torres,ESP,"FW,MF",33,1989,0.1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
Rubén García,ESP,"FW,MF",29,1993,12.9,2,0,0,14,17,1,79,12,11,0,0,0,71,12,35,25.5
Rubén Peña,ESP,"DF,MF",31,1991,14.2,2,1,0,26,14,0,54,17,18,0,0,0,94,14,19,42.4
Sergio Herrera,ESP,GK,29,1993,17.0,3,0,0,1,4,0,0,1,0,0,1,1,12,2,1,66.7
Unai García,ESP,DF,30,1992,19.0,6,1,0,22,4,0,3,19,13,0,1,0,90,38,29,56.7
