General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Abdul Mumin,GHA,DF,24,1998,10.2,2,0,0,7,8,0,3,9,9,0,0,0,54,13,18,41.9
Andrés Martín,ESP,"FW,MF",23,1999,2.3,1,0,0,5,3,0,11,1,2,0,0,0,16,5,2,71.4
Bebé,CPV,FW,32,1990,0.7,1,0,0,2,2,0,16,0,0,0,0,0,6,0,1,0.0
Catena,ESP,DF,27,1994,34.5,14,1,1,32,15,3,1,28,14,0,0,0,181,80,37,68.4
Diego López,ESP,GK,40,1981,1.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Diego Méndez,ESP,MF,18,2003,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
Esteban Saveljich,MNE,FW,31,1991,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Florian Lejeune,FRA,DF,31,1991,28.5,6,3,1,23,9,5,9,15,17,0,1,1,123,59,32,64.8
Fran Garcia,ESP,DF,22,1999,37.9,1,0,0,22,26,3,156,44,54,0,2,0,229,7,20,25.9
Isaac Palazón Camacho,ESP,"FW,MF",27,1994,32.9,4,0,0,37,104,9,192,17,30,0,0,0,210,30,83,26.5
Iván Balliu,ALB,DF,30,1992,35.9,6,0,0,42,34,7,105,25,29,0,2,2,145,29,37,43.9
José Pozo,ESP,"MF,FW",26,1996,1.0,0,0,0,2,4,0,4,1,2,0,0,0,5,2,3,40.0
Mario Hernández,ESP,DF,23,1999,1.1,1,0,0,1,1,0,1,2,2,0,0,0,3,0,1,0.0
Mario Suárez,ESP,"MF,DF",35,1987,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Pablo Muñoz,ESP,MF,18,2003,0.1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,
Pathé Ciss,SEN,"MF,DF",28,1994,14.2,4,0,0,38,13,1,3,22,29,0,0,1,101,34,28,54.8
Pep Chavarría,ESP,"FW,MF",24,1998,4.1,1,0,0,11,4,1,13,2,4,0,0,0,27,8,3,72.7
Radamel Falcao,COL,"FW,MF",36,1986,6.8,4,0,0,16,14,12,0,2,4,0,0,0,19,23,26,46.9
Randy Nteka,ANG,"FW,MF",24,1997,1.3,0,1,0,4,5,0,0,2,2,0,0,0,11,5,4,55.6
Raúl de Tomás,ESP,FW,27,1994,8.9,2,0,0,21,23,20,8,0,2,0,0,0,21,12,20,37.5
Salvi,ESP,"FW,MF",31,1991,5.4,2,0,0,8,10,2,37,2,8,0,0,0,30,4,11,26.7
Santi Comesaña,ESP,MF,25,1996,27.2,6,0,0,49,28,4,17,32,44,0,0,0,173,32,44,42.1
Sergio Camello,ESP,FW,21,2001,26.7,1,0,0,12,19,11,4,2,10,0,0,0,63,27,49,35.5
Stole Dimitrievski,MKD,GK,28,1993,36.9,4,0,0,0,3,0,0,1,0,0,0,0,40,9,1,90.0
Unai López,ESP,MF,26,1995,13.9,2,0,0,22,17,2,55,15,20,0,0,0,98,7,17,29.2
Álvaro García,ESP,"FW,MF",29,1992,31.9,7,0,0,36,32,12,159,34,28,2,0,0,184,12,8,60.0
Óscar Trejo,ARG,"MF,FW",34,1988,23.8,9,0,0,77,65,5,35,8,32,0,0,0,139,11,36,23.4
Óscar Valentín,ESP,MF,27,1994,28.4,11,0,0,75,50,1,3,44,51,0,0,0,204,27,45,37.5
