General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Andriy Lunin,UKR,GK,23,1999,7.0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,
Antonio Rüdiger,GER,DF,29,1993,26.8,1,0,0,13,7,2,5,19,16,0,0,0,158,37,22,62.7
Aurélien Tchouaméni,FRA,MF,22,2000,23.5,2,0,0,35,35,0,12,49,40,0,0,0,123,48,24,66.7
Casemiro,BRA,MF,30,1992,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Dani Carvajal,ESP,DF,30,1992,19.8,8,1,1,22,15,5,49,15,18,0,1,0,109,10,9,52.6
Dani Ceballos,ESP,MF,25,1996,17.4,8,0,0,17,41,1,16,25,29,0,0,0,132,4,8,33.3
David Alaba,AUT,DF,30,1992,20.4,3,0,0,9,3,0,26,14,11,0,1,0,94,11,8,57.9
Eden Hazard,BEL,FW,31,1991,2.2,0,0,0,2,9,0,0,1,0,0,0,0,5,1,0,100.0
Eduardo Camavinga,FRA,"MF,DF",19,2002,22.3,6,0,0,39,69,3,6,17,48,0,0,0,136,22,11,66.7
Federico Valverde,URU,"MF,FW",24,1998,27.8,2,0,0,11,15,5,27,17,20,0,0,0,132,31,11,73.8
Ferland Mendy,FRA,DF,27,1995,15.0,2,0,0,4,18,0,7,14,12,0,0,0,77,7,8,46.7
Jesús Vallejo,ESP,DF,25,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Karim Benzema,FRA,FW,34,1987,22.6,1,0,0,10,6,22,3,2,5,2,0,0,35,14,13,51.9
Lucas Vázquez,ESP,DF,31,1991,12.7,2,0,0,23,16,3,41,7,23,1,0,0,63,1,5,16.7
Luka Modrić,CRO,MF,36,1985,19.4,7,0,0,21,16,3,62,10,9,0,0,0,86,11,14,44.0
Marco Asensio,ESP,"FW,MF",26,1996,16.0,1,0,0,10,16,4,82,5,10,1,1,0,45,3,2,60.0
Mariano,DOM,FW,28,1993,1.7,2,0,0,3,0,1,0,0,0,0,0,0,4,5,3,62.5
Nacho,ESP,DF,32,1990,18.2,7,0,0,16,14,3,14,18,16,0,0,1,88,36,21,63.2
Rodrygo,BRA,"FW,MF",21,2001,26.4,4,0,0,18,49,10,22,8,10,2,0,0,63,14,23,37.8
Sergio Arribas,ESP,"MF,FW",20,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Thibaut Courtois,BEL,GK,30,1992,31.0,0,0,0,0,3,0,0,3,0,0,0,0,59,9,0,100.0
Toni Kroos,GER,MF,32,1990,23.9,2,1,1,28,36,0,122,24,32,0,1,0,154,7,4,63.6
Vinicius Júnior,BRA,FW,22,2000,31.4,10,1,0,47,122,23,64,6,21,1,0,0,98,2,6,25.0
Álvaro Muñoz,URU,FW,18,2004,0.9,0,0,0,3,0,3,0,0,1,0,0,0,4,2,4,33.3
Álvaro Odriozola,ESP,DF,26,1995,0.4,0,0,0,0,2,0,3,0,0,0,0,0,1,0,1,0.0
Éder Militão,BRA,DF,24,1998,30.0,4,0,0,35,38,1,12,42,32,1,1,0,159,64,34,65.3
