General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Adnan Januzaj,BEL,FW,27,1995,0.5,24,22,1,0,0,0,1,0,1,0,1,0,15,1,3
Alex Telles,BRA,DF,29,1992,15.9,728,582,143,27,1,4,83,97,19,7,7,0,542,3,11
Bryan Gil,ESP,"FW,DF",21,2001,10.2,374,330,40,3,0,2,29,32,5,0,1,0,284,4,17
Carlos Álvarez,ESP,MF,18,2003,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Carmona,ESP,DF,20,2002,5.9,330,297,32,7,0,2,11,24,0,0,0,0,269,1,3
Diego Iturralde,ESP,DF,19,2003,0.5,13,10,3,1,0,0,1,2,0,0,0,0,8,0,0
Fernando,BRA,"MF,DF",35,1987,17.5,873,836,31,25,0,21,2,3,0,0,0,0,768,6,6
Gonzalo Montiel,ARG,DF,25,1997,16.9,851,707,138,7,3,3,39,128,3,0,2,0,661,6,21
Isco,ESP,"MF,FW",30,1992,8.9,417,371,42,25,3,5,18,2,11,2,7,0,346,4,4
Ivan Rakitić,CRO,MF,34,1988,19.9,1241,1121,117,66,2,33,74,12,38,8,23,0,997,3,21
Iván Romero,ESP,MF,21,2001,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Jesús Corona,MEX,FW,29,1993,1.2,42,40,2,1,0,1,3,1,0,0,0,0,33,0,2
Jesús Navas,ESP,"DF,FW",36,1985,22.0,1332,1128,196,20,2,17,135,176,0,0,0,0,1000,8,41
Joan Jordán,ESP,MF,28,1994,17.7,1102,1051,44,34,2,21,8,3,7,3,2,0,963,7,11
Karim Rekik,NED,DF,27,1994,13.1,700,671,27,9,0,3,1,18,0,0,0,0,642,2,0
Kasper Dolberg,DEN,FW,24,1997,2.2,28,24,3,0,0,0,0,0,0,0,0,0,19,1,0
Kike Salas,ESP,DF,20,2002,4.1,211,203,7,7,0,1,0,0,0,0,0,0,177,1,0
Loïc Bade,FRA,DF,22,2000,16.1,847,829,15,12,0,0,4,2,0,0,0,0,735,3,9
Lucas Ocampos,ARG,"FW,MF",28,1994,12.9,450,418,27,2,0,2,26,18,1,0,0,0,333,5,13
Manuel Sebastián,ESP,MF,18,2004,1.7,66,64,2,2,1,1,0,0,0,0,0,0,52,0,2
Marcos Acuña,ARG,DF,30,1991,21.2,1307,1048,257,49,3,14,147,174,34,7,22,0,970,2,25
Marcão,BRA,DF,26,1996,4.2,217,209,6,5,0,3,0,0,0,0,0,0,187,2,3
Marko Dmitrović,SRB,GK,30,1992,14.1,508,330,173,42,0,1,0,0,0,0,0,0,271,5,2
Nemanja Gudelj,SRB,"DF,MF",30,1991,30.9,1602,1527,70,57,1,9,3,6,0,0,0,0,1445,5,4
Pape Gueye,SEN,MF,23,1999,13.0,553,536,15,15,1,10,18,0,0,0,0,0,447,2,10
Papu Gómez,ARG,"FW,MF",34,1988,11.8,535,500,34,8,2,8,40,13,11,3,2,0,450,1,6
Pedro Ortiz,ESP,MF,21,2000,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Rafa Mir,ESP,FW,25,1997,14.4,262,234,26,0,1,0,6,0,0,0,0,0,176,2,9
Suso,ESP,"MF,FW",28,1993,11.8,572,520,47,12,6,17,79,11,21,7,8,1,444,5,14
Tanguy Nianzou,FRA,DF,20,2002,15.2,772,748,22,20,1,3,1,1,0,0,0,0,676,2,5
Thomas Delaney,DEN,MF,30,1991,3.4,164,159,4,3,0,1,4,1,0,0,0,0,140,1,1
Yassine Bounou,MAR,GK,31,1991,23.9,949,735,212,50,0,2,0,0,0,0,0,0,717,2,0
Youssef En-Nesyri,MAR,FW,25,1997,18.5,241,204,35,0,1,2,4,2,0,0,0,0,156,2,5
Érik Lamela,ARG,"FW,MF",30,1992,20.5,770,732,30,6,1,0,33,6,15,5,3,0,588,8,33
Óliver Torres,ESP,"MF,FW",27,1994,23.7,1104,1050,42,11,5,23,57,14,8,0,3,0,862,12,26
