General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Anuar,MAR,"MF,FW",27,1995,3,210,70,6.1,2.3,3,70,1,0,,3,0.33,2,5,-3,-1.29,-0.53,1.5,4.6,-3.1,-1.33,-0.67
Babatunde Akinsola,NGA,FW,19,2003,1,11,11,0.3,0.1,0,,0,1,11,4,0.0,0,1,-1,-8.18,-7.42,0.2,0.5,-0.3,-2.22,-1.52
Cyle Larin,CAN,FW,27,1995,19,1469,77,43.0,16.3,16,87,13,3,26,1,1.21,20,26,-6,-0.37,0.74,19.4,27.4,-8.0,-0.49,0.37
Darwin Machís,VEN,FW,29,1993,11,599,54,17.5,6.7,7,73,2,4,22,2,1.73,5,3,2,0.3,1.32,7.2,9.6,-2.3,-0.35,0.43
David Torres,ESP,DF,19,2003,7,385,55,11.3,4.3,2,85,1,5,43,21,1.14,3,8,-5,-1.17,-0.43,6.6,9.4,-2.8,-0.66,0.04
Diego Moreno,ESP,DF,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Gonzalo Plata,ECU,FW,21,2000,34,2302,68,67.3,25.6,26,79,11,8,32,0,1.12,26,37,-11,-0.43,1.1,30.1,42.5,-12.4,-0.49,0.66
Iván Cédric,ESP,FW,20,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Iván Fresneda,ESP,DF,17,2004,22,1743,79,51.0,19.4,18,85,15,4,51,12,0.86,20,34,-14,-0.72,0.14,19.9,35.8,-15.9,-0.81,-0.22
Iván Sánchez,ESP,"MF,FW",29,1992,25,1154,46,33.7,12.8,13,66,1,12,25,11,0.92,11,19,-8,-0.62,0.25,11.0,16.3,-5.2,-0.42,0.42
Javi Sánchez,ESP,DF,25,1997,32,2392,75,69.9,26.6,28,81,20,4,29,2,1.16,21,43,-22,-0.83,-0.13,25.9,45.5,-19.6,-0.74,-0.12
Jawad El Yamiq,MAR,DF,30,1992,25,1608,64,47.0,17.9,19,79,13,6,19,5,1.08,14,33,-19,-1.06,-0.52,16.4,33.1,-16.7,-0.9,-0.38
Joaquín Fernández,ESP,DF,26,1996,27,2156,80,63.0,24.0,24,83,21,3,53,6,1.26,26,42,-16,-0.67,0.33,25.9,38.2,-12.3,-0.51,0.51
Jordi Masip,ESP,GK,33,1989,28,2507,90,73.3,27.9,28,90,27,0,,6,1.14,26,42,-16,-0.57,0.81,29.5,46.6,-17.1,-0.61,0.33
Juanjo Narváez,COL,"MF,FW",27,1995,5,148,30,4.3,1.6,1,61,0,4,22,10,0.8,1,4,-3,-1.82,-1.08,1.4,2.7,-1.3,-0.77,-0.07
Kenedy,BRA,"FW,DF",26,1996,12,275,23,8.0,3.1,2,43,0,10,19,5,0.5,2,9,-7,-2.29,-1.63,4.1,7.7,-3.5,-1.16,-0.5
Kike Pérez,ESP,MF,25,1997,36,2307,64,67.5,25.6,28,74,10,8,28,1,0.94,17,44,-27,-1.05,-0.81,25.6,42.8,-17.3,-0.67,0.09
Lucas Olaza,URU,DF,28,1994,23,1494,65,43.7,16.6,16,81,10,7,27,10,1.0,13,27,-14,-0.84,-0.1,15.0,28.8,-13.8,-0.83,-0.23
Lucas Oliveira Rosa,BRA,DF,22,2000,17,931,55,27.2,10.3,11,75,6,6,17,15,1.24,9,17,-8,-0.77,0.02,11.8,17.4,-5.6,-0.54,0.22
Luis Pérez,ESP,DF,27,1995,18,1213,67,35.5,13.5,15,74,10,3,32,6,1.0,9,29,-20,-1.48,-1.08,14.1,25.8,-11.7,-0.87,-0.26
Manuel Pozo,ESP,FW,20,2001,1,19,19,0.6,0.2,0,,0,1,19,2,0.0,1,1,0,0.0,0.79,0.7,1.3,-0.6,-2.64,-1.95
Mario Maroto,ESP,MF,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
