General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Akim Zedadka,ALG,DF,27,1995,17.8,35,21,21,10,4,18,32,56.3,14,17,3,14,23,58,51,1
Alexandre Coeff,FRA,DF,30,1992,6.5,10,5,6,4,0,4,9,44.4,5,9,4,5,8,18,35,1
Benoît Costil,FRA,GK,35,1987,19.0,2,0,2,0,0,2,4,50.0,2,0,0,0,0,2,5,0
Birama Touré,MLI,MF,30,1992,37.8,80,47,35,35,10,34,93,36.6,59,54,9,45,67,147,49,0
Brayann Pereira,FRA,DF,19,2003,2.0,6,5,5,1,0,1,5,20.0,4,2,2,0,2,8,8,1
Donovan Léon,GUF,GK,29,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Dénys Bain,FRA,DF,29,1993,1.4,4,3,3,1,0,1,2,50.0,1,2,1,1,2,6,4,0
Gauthier Hein,FRA,"MF,FW",25,1996,20.8,27,20,13,11,3,18,48,37.5,30,10,0,10,6,33,10,0
Gaëtan Charbonnier,FRA,"FW,MF",33,1988,2.8,2,1,0,2,0,0,4,0.0,4,2,0,2,0,2,5,0
Gaëtan Perrin,FRA,"MF,FW",26,1996,15.5,17,8,5,6,6,8,30,26.7,22,15,0,15,10,27,9,0
Gideon Mensah,GHA,DF,24,1998,25.1,80,44,43,32,5,44,77,57.1,33,33,10,23,38,118,41,0
Hamza Sakhi,FRA,MF,26,1996,18.4,44,22,22,17,5,22,42,52.4,20,16,1,15,25,69,9,0
Han-Noah Massengo,FRA,MF,21,2001,12.4,27,15,10,15,2,7,16,43.8,9,12,3,9,14,41,7,0
Ionuț Radu,ROU,GK,25,1997,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3
Jubal,BRA,DF,28,1993,35.7,41,26,29,11,1,19,38,50.0,19,57,34,23,53,94,193,0
Julian Jeanvier,GUI,DF,30,1992,19.6,32,17,24,8,0,13,22,59.1,9,24,17,7,27,59,96,1
Kays Ruiz Atil,FRA,MF,19,2002,0.7,1,1,1,0,0,0,1,0.0,1,2,1,1,3,4,0,0
Kenji-Van Boto,MAD,DF,26,1996,2.0,3,2,2,0,1,2,4,50.0,2,0,0,0,1,4,3,0
Kévin Danois,FRA,MF,18,2004,0.0,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0
Lassine Sinayoko,MLI,"MF,FW",22,1999,17.4,33,15,14,12,7,21,40,52.5,19,12,0,12,18,51,17,0
M'Baye Niang,SEN,FW,27,1994,16.5,13,7,1,8,4,3,13,23.1,10,22,1,21,1,14,20,0
Mathias Autret,FRA,"MF,FW",31,1991,14.3,22,10,10,10,2,7,16,43.8,9,14,2,12,12,34,13,0
Matthis Abline,FRA,"FW,MF",19,2003,9.0,4,2,0,3,1,0,5,0.0,5,6,1,5,1,5,1,0
Nuno da Costa,CPV,"FW,MF",31,1991,22.3,45,23,14,23,8,11,46,23.9,35,21,1,20,20,65,15,0
Ousmane Camara,GUI,"FW,MF",20,2001,0.3,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Paul Joly,FRA,DF,22,2000,9.6,33,21,21,10,2,19,35,54.3,16,13,2,11,24,57,29,2
Quentin Bernard,FRA,DF,33,1989,7.0,9,7,4,2,3,7,15,46.7,8,9,1,8,15,24,17,0
Rayan Raveloson,MAD,"DF,MF",25,1997,27.0,38,23,21,16,1,23,33,69.7,10,43,12,31,39,77,70,0
Rémy Dugimont,FRA,"FW,MF",36,1986,1.3,2,1,0,1,1,1,2,50.0,1,3,0,3,0,2,5,0
Siriki Dembélé,CIV,"MF,FW",25,1996,4.1,10,6,4,3,3,4,12,33.3,8,2,0,2,1,11,2,0
Souleymane Touré,FRA,DF,19,2003,17.6,29,13,19,9,1,16,20,80.0,4,32,12,20,26,55,56,1
Théo Pellenard,FRA,DF,28,1994,1.1,1,0,1,0,0,1,1,100.0,0,3,1,2,2,3,2,0
Youssouf M'Changama,COM,MF,31,1990,12.0,22,11,7,12,3,7,13,53.8,6,6,0,6,15,37,6,1
