General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Alidu Seidu,GHA,DF,22,2000,27.3,10,1,0,33,70,1,22,52,31,0,1,0,203,26,9,74.3
Arial Mendy,SEN,DF,27,1994,2.5,0,0,0,1,7,1,10,4,2,0,1,0,14,5,4,55.6
Aïman Maurer,MAR,MF,17,2004,5.6,0,0,0,5,15,2,19,3,1,0,0,0,21,3,7,30.0
Baila Diallo,FRA,"DF,MF",21,2001,1.0,0,0,0,3,1,0,5,0,0,0,0,0,3,4,4,50.0
Brandon Baiye,BEL,MF,21,2000,0.6,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0.0
Cheick Konaté,MLI,DF,18,2004,6.4,2,0,0,9,4,0,4,13,12,0,0,0,42,3,5,37.5
Elba Rashani,KVX,"MF,FW",29,1993,24.0,3,0,0,36,29,4,58,21,26,1,0,0,101,16,42,27.6
Florent Ogier,FRA,DF,33,1989,18.9,4,0,0,15,9,0,3,18,16,0,1,0,87,28,27,50.9
Grejohn Kyei,FRA,FW,26,1995,24.8,3,0,0,58,42,15,7,6,7,1,0,0,51,48,65,42.5
Jason Berthomier,FRA,MF,32,1990,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Jean-Claude Billong,CMR,MF,28,1993,0.3,0,0,0,0,0,0,1,1,0,0,0,0,3,2,2,50.0
Jim Allevinah,GAB,"DF,FW",27,1995,24.9,2,0,0,22,53,1,65,24,24,0,0,0,153,12,17,41.4
Jodel Dossou,BEN,"MF,DF",30,1992,2.9,0,0,0,3,3,3,10,1,4,0,0,0,7,1,4,20.0
Johan Gastien,FRA,MF,34,1988,28.9,7,0,0,19,33,0,67,36,34,0,1,0,224,10,10,50.0
Jérémie Bela,ANG,"DF,MF",29,1993,8.3,0,0,0,7,17,0,34,9,4,0,0,0,29,2,0,100.0
Komnen Andrić,SRB,FW,27,1995,16.1,4,0,0,16,41,7,1,8,5,1,1,0,37,45,59,43.3
Mateusz Wieteska,POL,DF,25,1997,34.6,7,1,0,29,30,0,1,56,23,1,1,0,185,78,41,65.5
Maxime Gonalons,FRA,MF,33,1989,16.1,3,0,0,24,22,0,3,20,32,0,0,0,98,15,9,62.5
Maximiliano Caufriez,BEL,DF,25,1997,24.7,10,1,1,29,35,1,3,34,24,0,0,0,142,20,15,57.1
Mehdi Zeffane,ALG,"DF,MF",30,1992,7.3,1,0,0,4,3,1,24,22,7,0,0,0,36,3,8,27.3
Mory Diaw,SEN,GK,29,1993,37.0,0,0,0,0,6,0,0,2,0,0,0,0,31,5,0,100.0
Muhammed Cham,AUT,MF,21,2000,21.9,2,0,0,17,40,1,73,7,15,0,1,0,106,6,13,31.6
Neto Borges,BRA,DF,25,1996,31.5,4,2,1,21,46,5,84,41,45,2,1,0,186,36,23,61.0
Ouparine Djoco,GNB,GK,24,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Saîf-Eddine Khaoui,TUN,MF,27,1995,22.5,4,0,0,25,36,7,56,33,28,1,1,0,123,12,12,50.0
Souleymane Cissé,FRA,DF,19,2002,0.4,0,0,0,2,1,0,0,1,1,0,0,0,3,1,0,100.0
Yanis Massolin,FRA,MF,19,2002,0.7,0,0,0,0,1,0,0,2,1,0,0,0,11,2,2,50.0
Yohann Magnin,FRA,MF,25,1997,26.7,6,0,0,48,48,3,14,25,54,0,3,0,149,27,47,36.5
