General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Alidu Seidu,GHA,DF,22,2000,27.3,1375,1219,154,27,0,3,22,127,0,0,0,0,1152,2,26
Arial Mendy,SEN,DF,27,1994,2.5,120,100,20,3,0,0,10,17,0,0,0,0,82,0,4
Aïman Maurer,MAR,MF,17,2004,5.6,125,107,17,6,1,0,19,0,11,6,3,1,87,1,7
Baila Diallo,FRA,"DF,MF",21,2001,1.0,47,32,15,0,0,0,5,15,0,0,0,0,32,0,2
Brandon Baiye,BEL,MF,21,2000,0.6,32,29,3,3,0,0,0,0,0,0,0,0,27,0,0
Cheick Konaté,MLI,DF,18,2004,6.4,314,265,49,12,1,3,4,37,0,0,0,0,228,0,13
Elba Rashani,KVX,"MF,FW",29,1993,24.0,729,702,24,5,2,2,58,18,1,0,0,0,543,3,40
Florent Ogier,FRA,DF,33,1989,18.9,935,854,80,33,0,3,3,37,0,0,0,0,741,1,17
Grejohn Kyei,FRA,FW,26,1995,24.8,527,477,45,0,1,4,7,0,0,0,0,0,376,5,16
Jason Berthomier,FRA,MF,32,1990,0.3,19,17,2,1,0,0,0,0,1,0,0,0,19,0,0
Jean-Claude Billong,CMR,MF,28,1993,0.3,34,33,1,1,0,0,1,0,0,0,0,0,33,0,0
Jim Allevinah,GAB,"DF,FW",27,1995,24.9,848,789,58,7,0,3,65,50,0,0,0,0,658,1,32
Jodel Dossou,BEN,"MF,DF",30,1992,2.9,59,55,4,0,0,0,10,4,0,0,0,0,39,0,2
Johan Gastien,FRA,MF,34,1988,28.9,2103,1900,200,144,3,23,67,10,46,23,12,2,1743,3,24
Jérémie Bela,ANG,"DF,MF",29,1993,8.3,260,221,39,1,0,1,34,32,5,1,4,0,174,0,18
Komnen Andrić,SRB,FW,27,1995,16.1,428,391,35,0,0,4,1,0,0,0,0,0,320,2,16
Mateusz Wieteska,POL,DF,25,1997,34.6,1631,1550,75,49,2,6,1,22,0,0,0,0,1344,6,12
Maxime Gonalons,FRA,MF,33,1989,16.1,835,801,31,30,1,21,3,1,0,0,0,0,736,3,12
Maximiliano Caufriez,BEL,DF,25,1997,24.7,1126,1057,69,44,1,10,3,3,0,0,0,0,996,0,11
Mehdi Zeffane,ALG,"DF,MF",30,1992,7.3,273,260,12,1,0,1,24,10,1,1,0,0,201,1,9
Mory Diaw,SEN,GK,29,1993,37.0,1467,1034,430,175,0,8,0,0,0,0,0,0,1034,3,1
Muhammed Cham,AUT,MF,21,2000,21.9,1038,941,89,35,11,2,73,7,43,25,10,1,813,8,29
Neto Borges,BRA,DF,25,1996,31.5,1496,1208,284,21,4,1,84,256,0,0,0,0,1163,4,40
Ouparine Djoco,GNB,GK,24,1998,1.0,40,28,12,2,0,0,0,0,0,0,0,0,26,0,0
Saîf-Eddine Khaoui,TUN,MF,27,1995,22.5,713,636,70,24,2,2,56,0,46,17,19,0,486,7,17
Souleymane Cissé,FRA,DF,19,2002,0.4,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0
Yanis Massolin,FRA,MF,19,2002,0.7,39,39,0,0,0,0,0,0,0,0,0,0,30,0,0
Yohann Magnin,FRA,MF,25,1997,26.7,1337,1304,31,18,2,8,14,12,1,0,0,0,1121,2,25
