General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Alexandre Lacazette,FRA,FW,31,1991,35,34,2929,32.5,27,5,32,21,6,8,3,0,24.2,17.9,5.4,23.2,40,108,227,0.83,0.15,0.98,0.65,0.8,0.74,0.16,0.91,0.55,0.71
Amin Sarr,SWE,FW,21,2001,13,6,537,6.0,1,1,2,1,0,0,0,0,1.2,1.2,0.4,1.6,12,9,47,0.17,0.17,0.34,0.17,0.34,0.21,0.07,0.27,0.21,0.27
Anthony Lopes,POR,GK,31,1990,32,32,2816,31.3,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bradley Barcola,FRA,"FW,MF",19,2002,26,15,1440,16.0,5,8,13,5,0,0,3,0,3.4,3.4,3.9,7.4,51,39,156,0.31,0.5,0.81,0.31,0.81,0.22,0.25,0.46,0.22,0.46
Castello Lukeba,FRA,DF,19,2002,34,33,2986,33.2,2,0,2,2,0,0,9,1,1.2,1.2,0.3,1.4,24,166,9,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04
Corentin Tolisso,FRA,MF,27,1994,30,25,2036,22.6,1,2,3,1,0,0,3,0,1.7,1.7,4.4,6.2,32,230,52,0.04,0.09,0.13,0.04,0.13,0.08,0.2,0.27,0.08,0.27
Damien Da Silva,FRA,DF,34,1988,7,3,338,3.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,18,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Dejan Lovren,CRO,DF,33,1989,17,17,1459,16.2,1,0,1,1,0,0,2,0,0.8,0.8,0.5,1.3,12,64,1,0.06,0.0,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08
Henrique,BRA,"DF,FW",28,1994,7,3,356,4.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,3,11,4,0.0,0.25,0.25,0.0,0.25,0.01,0.03,0.04,0.01,0.04
Houssem Aouar,ALG,MF,24,1998,16,6,526,5.8,1,1,2,1,0,0,2,0,1.4,1.4,1.1,2.6,12,37,36,0.17,0.17,0.34,0.17,0.34,0.25,0.2,0.44,0.25,0.44
Jeff Reine-Adélaïde,FRA,MF,24,1998,14,1,336,3.7,0,0,0,0,0,0,1,0,0.8,0.8,0.9,1.6,20,32,25,0.0,0.0,0.0,0.0,0.0,0.21,0.23,0.44,0.21,0.44
Jeffinho,BRA,FW,22,1999,9,4,446,5.0,1,0,1,1,0,0,1,0,1.1,1.1,0.5,1.6,27,10,52,0.2,0.0,0.2,0.2,0.2,0.23,0.1,0.33,0.23,0.33
Johann Lepenant,FRA,MF,19,2002,31,21,1933,21.5,1,2,3,1,0,0,4,0,0.9,0.9,1.2,2.0,20,125,44,0.05,0.09,0.14,0.05,0.14,0.04,0.05,0.09,0.04,0.09
Jérôme Boateng,GER,DF,33,1988,8,6,428,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
Karl Toko Ekambi,CMR,"FW,MF",29,1992,19,15,1353,15.0,4,2,6,4,0,0,1,0,4.4,4.4,3.0,7.4,58,36,188,0.27,0.13,0.4,0.27,0.4,0.3,0.2,0.49,0.3,0.49
Lucas Paquetá,BRA,MF,24,1997,2,2,159,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,8,10,0.0,0.0,0.0,0.0,0.0,0.21,0.12,0.33,0.21,0.33
Malo Gusto,FRA,DF,19,2003,21,19,1595,17.7,0,1,1,0,0,0,1,0,0.4,0.4,3.1,3.5,66,82,147,0.0,0.06,0.06,0.0,0.06,0.02,0.18,0.2,0.02,0.2
Mamadou Sarr,FRA,MF,16,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxence Caqueret,FRA,MF,22,2000,36,32,2767,30.7,4,7,11,4,0,0,2,0,2.6,2.6,5.1,7.7,46,183,114,0.13,0.23,0.36,0.13,0.36,0.09,0.16,0.25,0.09,0.25
Mohamed El Arouch,FRA,MF,18,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moussa Dembélé,FRA,"FW,MF",26,1996,23,8,877,9.7,3,0,3,3,0,0,1,0,3.8,3.8,0.3,4.1,10,23,66,0.31,0.0,0.31,0.31,0.31,0.39,0.03,0.42,0.39,0.42
Nicolás Tagliafico,ARG,DF,29,1992,34,34,2991,33.2,1,3,4,1,0,0,5,0,2.4,1.9,4.2,6.1,38,156,171,0.03,0.09,0.12,0.03,0.12,0.07,0.13,0.2,0.06,0.18
Rayan Cherki,FRA,"MF,FW",18,2003,34,21,1872,20.8,4,6,10,4,0,0,3,0,4.9,4.9,7.2,12.1,133,144,260,0.19,0.29,0.48,0.19,0.48,0.24,0.34,0.58,0.24,0.58
Romain Faivre,FRA,MF,24,1998,10,3,300,3.3,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,14,24,16,0.0,0.3,0.3,0.0,0.3,0.05,0.09,0.14,0.05,0.14
Rémy Riou,FRA,GK,34,1987,7,6,601,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sael Kumbedi,FRA,DF,17,2005,20,14,1320,14.7,0,2,2,0,0,0,8,0,0.4,0.4,1.2,1.7,16,40,84,0.0,0.14,0.14,0.0,0.14,0.03,0.09,0.11,0.03,0.11
Sinaly Diomande,CIV,DF,21,2001,24,22,1957,21.7,0,0,0,0,0,0,2,1,0.8,0.8,0.2,1.0,10,108,8,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Tetê,BRA,"FW,MF",22,2000,17,14,1107,12.3,6,2,8,6,0,0,3,0,4.2,4.2,1.3,5.5,49,52,130,0.49,0.16,0.65,0.49,0.65,0.35,0.1,0.45,0.35,0.45
Thiago Mendes,BRA,"MF,DF",30,1992,31,22,2063,22.9,1,1,2,1,0,0,3,0,0.7,0.7,0.6,1.4,10,170,20,0.04,0.04,0.09,0.04,0.09,0.03,0.03,0.06,0.03,0.06
