General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Alexis Sánchez,CHI,"FW,MF",33,1988,29.8,934,865,59,6,14,19,37,1,11,6,0,0,681,10,26
Amine Harit,MAR,"MF,FW",25,1997,5.7,271,252,19,3,2,0,16,5,9,2,6,0,221,0,10
Arkadiusz Milik,POL,FW,28,1994,1.4,37,34,3,0,0,0,0,0,0,0,0,0,28,0,1
Azzedine Ounahi,MAR,"MF,FW",22,2000,1.3,94,94,0,0,1,0,0,0,0,0,0,0,87,0,2
Bamba Dieng,SEN,"FW,MF",22,2000,2.2,43,39,4,0,0,0,1,0,0,0,0,0,27,0,1
Cengiz Ünder,TUR,"MF,DF",25,1997,27.7,1114,984,128,21,9,14,157,35,67,40,9,0,778,2,39
Chancel Mbemba,COD,DF,27,1994,31.7,1742,1643,91,45,1,7,40,31,0,0,0,0,1441,8,23
Cédric Bakambu,COD,MF,31,1991,0.7,23,23,0,0,0,0,1,0,0,0,0,0,19,0,1
Dimitri Payet,FRA,"MF,FW",35,1987,9.3,520,458,61,18,7,10,58,4,34,16,12,0,386,1,10
Duje Ćaleta-Car,CRO,DF,25,1996,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Eric Bailly,CIV,DF,28,1994,6.0,274,256,17,13,1,0,0,3,0,0,0,0,231,1,3
François Mughe,CMR,MF,18,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerson,BRA,MF,25,1997,4.6,185,177,7,1,0,1,3,5,1,0,0,0,150,1,7
Issa Kaboré,BFA,DF,21,2001,11.4,567,469,97,2,0,2,48,95,0,0,0,0,436,1,24
Jonathan Clauss,FRA,DF,29,1992,28.8,1461,1223,233,15,8,6,110,211,7,1,5,0,1091,5,39
Jordan Veretout,FRA,MF,29,1993,31.8,2148,2023,119,53,7,30,83,8,58,35,11,0,1834,6,22
Leonardo Balerdi,ARG,DF,23,1999,29.3,1656,1607,48,36,2,8,6,6,0,0,0,0,1389,1,16
Luis Javier Suárez,COL,FW,24,1997,3.3,78,74,4,0,0,1,0,0,0,0,0,0,53,0,3
Mattéo Guendouzi,FRA,MF,23,1999,23.4,1267,1220,44,27,5,6,24,8,4,0,0,0,1094,3,25
Nuno Tavares,POR,"DF,MF",22,2000,26.1,1367,1105,257,15,3,16,96,241,1,0,0,0,1058,5,41
Pape Gueye,SEN,"MF,DF",23,1999,5.5,320,304,15,9,0,2,3,6,0,0,0,0,271,1,2
Pau López,ESP,GK,27,1994,32.5,1116,870,243,71,1,3,0,0,0,0,0,0,877,3,2
Rubén Blanco,ESP,GK,27,1995,5.5,206,160,46,5,0,0,0,0,0,0,0,0,166,0,0
Ruslan Malinovskyi,UKR,"MF,FW",29,1993,13.6,543,504,34,11,3,4,38,6,17,7,7,0,411,5,14
Salim Ben Seghir,FRA,MF,19,2003,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Samuel Gigot,FRA,DF,28,1993,20.9,1130,1077,51,32,0,1,1,6,0,0,0,0,985,2,2
Sead Kolašinac,BIH,DF,29,1993,24.6,1333,1261,68,23,1,3,20,45,0,0,0,0,1135,4,20
Souleymane Touré,FRA,DF,19,2003,0.8,38,37,1,1,0,0,0,0,0,0,0,0,32,0,0
Valentin Rongier,FRA,MF,27,1994,33.7,2109,2055,47,40,6,16,8,7,0,0,0,0,1855,7,22
Vitinha,POR,FW,22,2000,5.2,109,96,11,1,1,0,1,0,0,0,0,0,77,2,4
