General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Arnaud Nordin,FRA,FW,24,1998,26.7,26,14,10,12,4,12,28,42.9,16,19,1,18,14,40,7,0
Arnaud Souquet,FRA,"DF,FW",30,1992,4.0,22,16,13,7,2,11,14,78.6,3,8,3,5,4,26,4,0
Axel Gueguin,FRA,"FW,MF",17,2005,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Benjamin Lecomte,FRA,GK,31,1991,19.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,6,0
Bingourou Kamara,SEN,GK,25,1996,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Boubakar Kouyaté,MLI,DF,25,1997,14.0,31,18,18,11,2,19,35,54.3,16,24,14,10,34,65,73,1
Béni Makouana,CGO,"FW,MF",19,2002,2.2,1,0,0,1,0,0,2,0.0,2,3,1,2,0,1,1,0
Cheikh Faye,SEN,FW,23,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Christopher Jullien,FRA,DF,29,1993,29.9,46,28,29,14,3,28,51,54.9,23,35,18,17,43,89,114,1
Elye Wahi,FRA,FW,19,2003,27.9,9,3,2,3,4,5,14,35.7,9,14,2,12,3,12,5,0
Enzo Tchato,CMR,DF,19,2002,12.2,26,17,14,11,1,13,22,59.1,9,17,2,15,7,33,33,0
Faitout Maouassa,FRA,"FW,DF",24,1998,21.4,52,32,26,20,6,18,41,43.9,23,31,3,28,20,72,23,0
Falaye Sacko,MLI,DF,27,1995,28.7,46,25,25,15,6,32,51,62.7,19,43,14,29,33,79,75,1
Issiaga Sylla,GUI,DF,28,1994,14.5,28,16,19,8,1,15,31,48.4,16,19,3,16,32,60,35,0
Jonas Omlin,SUI,GK,28,1994,13.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,8,1
Jordan Ferri,FRA,MF,30,1992,30.4,55,35,32,19,4,30,89,33.7,59,22,6,16,26,81,21,0
Joris Chotard,FRA,MF,20,2001,27.3,64,34,37,23,4,40,78,51.3,38,40,11,29,40,104,42,1
Khalil Fayad,FRA,MF,18,2004,8.0,30,14,12,16,2,12,21,57.1,9,8,1,7,9,39,4,0
Léo Leroy,FRA,MF,22,2000,13.2,53,38,24,26,3,31,57,54.4,26,25,2,23,14,67,8,0
Mamadou Sakho,FRA,DF,32,1990,8.5,9,5,4,5,0,3,5,60.0,2,17,12,5,8,17,35,1
Matis Carvalho,POR,GK,23,1999,1.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Maxime Estève,FRA,DF,20,2002,18.3,24,13,17,5,2,12,17,70.6,5,28,17,11,34,58,90,0
Nicolas Cozza,FRA,DF,23,1999,14.2,38,21,27,9,2,26,38,68.4,12,11,5,6,21,59,35,1
Pedro Mendes,POR,DF,31,1990,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Sacha Delaye,FRA,"FW,MF",20,2002,0.2,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
Stephy Mavididi,ENG,FW,24,1998,14.3,24,19,12,8,4,13,27,48.1,14,21,1,20,4,28,10,0
Thibault Tamas,FRA,DF,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Théo Sainte-Luce,FRA,DF,23,1998,5.9,13,11,8,5,0,7,14,50.0,7,7,2,5,10,23,11,0
Téji Savanier,FRA,MF,30,1991,28.3,46,30,16,19,11,23,70,32.9,47,30,2,28,30,76,12,1
Valère Germain,FRA,"FW,MF",32,1990,7.6,13,11,3,5,5,4,12,33.3,8,8,0,8,6,19,12,0
Wahbi Khazri,TUN,"FW,MF",31,1991,18.2,26,13,13,7,6,6,25,24.0,19,17,1,16,9,35,20,0
