General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Aaron Ramsey,WAL,MF,31,1990,17.6,3,0,0,23,18,3,62,17,25,1,0,0,115,6,12,33.3
Alexis Beka Beka,FRA,"MF,DF",21,2001,6.1,2,0,0,11,7,0,17,12,5,0,0,0,44,3,4,42.9
Alexis Claude-Maurice,FRA,FW,24,1998,0.7,0,0,0,0,2,0,1,2,2,0,0,0,1,2,0,100.0
Amine Gouiri,ALG,"FW,MF",22,2000,2.5,0,0,0,2,2,0,6,0,1,1,0,0,6,3,2,60.0
Andréa Dacourt,FRA,MF,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andy Delort,ALG,FW,30,1991,8.7,0,0,0,8,9,7,15,1,0,0,0,0,12,28,25,52.8
Antoine Mendy,FRA,DF,18,2004,5.8,0,0,0,9,3,2,13,2,13,0,0,0,37,7,11,38.9
Ayoub Amraoui,MAR,"DF,FW",18,2004,3.3,1,0,0,5,2,0,14,4,5,0,0,0,12,0,1,0.0
Badredine Bouanani,ALG,"FW,MF",17,2004,9.6,0,0,0,9,21,1,47,1,9,0,0,0,43,1,7,12.5
Bilal Brahimi,ALG,"FW,MF",22,2000,8.9,0,0,0,3,8,6,76,4,5,0,0,0,31,2,4,33.3
Calvin Stengs,NED,FW,23,1998,2.4,0,0,0,5,6,0,3,0,2,0,0,0,13,1,1,50.0
Dante,BRA,DF,38,1983,36.7,6,0,0,38,18,0,2,47,40,0,1,0,261,74,28,72.5
Flavius Daniliuc,AUT,DF,21,2001,1.0,0,0,0,2,0,0,2,0,0,0,0,0,5,1,0,100.0
Gaëtan Laborde,FRA,FW,28,1994,27.8,0,0,0,26,28,7,71,9,25,0,0,0,101,48,56,46.2
Hicham Boudaoui,ALG,MF,22,1999,20.8,5,0,0,31,36,0,23,36,32,0,0,0,152,9,12,42.9
Jean-Clair Todibo,FRA,DF,22,1999,31.9,4,2,1,21,15,1,5,41,48,0,2,0,248,39,29,57.4
Joe Bryan,ENG,"MF,DF",28,1993,2.0,3,0,0,4,3,1,3,1,4,0,0,0,16,0,5,0.0
Jordan Lotomba,SUI,DF,23,1998,27.3,4,0,0,23,31,0,48,32,38,0,1,0,131,25,22,53.2
Kasper Schmeichel,DEN,GK,35,1986,36.0,0,0,0,0,0,0,0,1,0,0,0,0,25,3,0,100.0
Khéphren Thuram,FRA,MF,21,2001,28.3,3,0,0,31,19,3,23,38,25,1,0,0,146,16,18,47.1
Marcin Bułka,POL,GK,22,1999,2.0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,
Mario Lemina,GAB,"MF,DF",28,1993,9.3,1,1,0,13,5,0,2,11,21,0,0,0,62,5,4,55.6
Mattia Viti,ITA,DF,20,2002,7.0,0,0,0,3,5,0,0,8,2,0,0,0,27,13,7,65.0
Melvin Bard,FRA,DF,21,2000,27.3,6,0,0,30,20,2,70,64,60,0,1,0,180,33,23,58.9
Nicolas Pépé,CIV,"FW,MF",27,1995,16.6,2,0,0,13,33,6,42,3,13,2,0,0,76,8,13,38.1
Pablo Rosario,NED,"MF,DF",25,1997,19.6,6,0,0,18,13,0,11,23,26,0,0,0,97,16,22,42.1
Rareş Ilie,ROU,"MF,FW",19,2003,1.6,0,0,0,0,0,1,1,1,3,0,0,0,9,2,1,66.7
Reda Belahyane,FRA,MF,18,2004,2.0,0,0,0,5,1,0,0,2,6,0,0,0,23,0,0,
Ross Barkley,ENG,"MF,FW",28,1993,10.7,1,0,0,14,15,1,46,8,9,0,0,0,58,4,12,25.0
Sofiane Diop,FRA,"MF,FW",22,2000,13.6,1,0,0,9,27,2,44,16,11,0,0,0,94,10,6,62.5
Terem Moffi,NGA,FW,23,1999,14.8,2,0,0,13,10,5,1,2,6,0,0,0,28,19,27,41.3
Théo Trinker,FRA,MF,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Youcef Atal,ALG,"DF,MF",26,1996,8.7,1,0,0,9,15,3,40,14,22,0,0,0,51,9,7,56.3
Youssouf Ndayishimiye,BDI,"MF,DF",23,1998,6.3,2,0,0,5,4,0,2,12,9,0,0,0,36,5,6,45.5
