General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Achraf Hakimi,MAR,"DF,MF",23,1998,22.8,1772,49,361,716,713,82,1772,74,29,39.2,32,43.2,1414,7700,4281,85,66,22,29,23,1326,229
Alexandre Letellier,FRA,GK,31,1990,0.1,4,4,4,0,0,0,4,0,0,,0,,3,13,1,0,0,0,0,0,3,0
Carlos Soler,ESP,MF,25,1997,13.2,749,14,105,359,290,25,749,12,5,41.7,4,33.3,626,2884,1120,18,28,2,20,13,594,67
Danilo Pereira,POR,"DF,MF",30,1991,26.8,2277,193,695,1442,162,29,2277,15,10,66.7,5,33.3,1888,9953,5205,26,35,2,14,10,1748,11
El Chadaille Bitshiabu,FRA,DF,17,2005,6.5,515,56,214,283,21,2,515,2,1,50.0,1,50.0,428,1642,610,1,3,0,2,2,396,8
Fabián Ruiz Peña,ESP,MF,26,1996,21.0,1971,53,411,1161,410,41,1971,30,18,60.0,12,40.0,1681,7230,3162,32,35,4,23,16,1580,86
Gianluigi Donnarumma,ITA,GK,23,1999,37.9,1021,909,1016,6,0,0,1021,1,1,100.0,0,0.0,695,3076,1895,0,0,0,0,0,447,0
Hugo Ekitike,FRA,FW,20,2002,12.8,473,5,32,202,250,63,473,39,16,41.0,18,46.2,353,2225,764,23,19,7,28,18,337,84
Ilyes Housni,FRA,FW,17,2005,0.1,5,0,1,2,2,0,5,0,0,,0,,6,25,13,0,0,0,1,2,6,1
Ismaël Gharbi,ESP,"MF,FW",18,2004,0.6,47,1,3,25,20,2,47,6,5,83.3,1,16.7,42,298,160,3,1,0,1,1,39,8
Juan Bernat,ESP,"DF,MF",29,1993,18.3,1170,43,286,543,348,64,1170,40,21,52.5,17,42.5,912,4433,1916,24,21,14,7,9,849,143
Kylian Mbappé,FRA,FW,23,1998,31.3,1771,10,46,594,1149,302,1766,201,74,36.8,109,54.2,1583,9810,4725,165,126,86,63,42,1575,468
Leandro Paredes,ARG,MF,28,1994,0.6,75,2,10,57,8,0,75,0,0,,0,,64,320,203,1,3,0,0,0,62,0
Lionel Messi,ARG,"FW,MF",35,1987,31.5,2401,5,98,1201,1132,159,2401,184,102,55.4,71,38.6,2053,11482,5063,114,126,42,52,77,2042,220
Marco Verratti,ITA,MF,29,1992,24.4,2783,69,527,1743,538,26,2783,53,29,54.7,14,26.4,2376,11182,5529,40,79,5,17,33,2274,52
Marquinhos,BRA,DF,28,1994,30.2,2411,294,946,1359,117,39,2411,2,0,0.0,2,100.0,1974,9280,4747,4,18,2,12,6,1869,15
Neymar,BRA,"MF,FW",30,1992,17.2,1470,3,124,774,591,73,1468,96,38,39.6,46,47.9,1289,7565,3392,69,77,12,50,37,1260,127
Nordi Mukiele,FRA,DF,24,1997,12.6,801,50,236,387,189,29,801,24,6,25.0,12,50.0,588,3067,1363,19,10,3,12,12,548,57
Nuno Mendes,POR,DF,20,2002,17.2,1139,47,242,417,495,58,1139,66,27,40.9,34,51.5,876,4893,2466,51,35,19,30,17,794,195
Pablo Sarabia,ESP,"FW,MF",30,1992,4.1,225,1,40,91,94,15,225,5,1,20.0,3,60.0,181,953,406,9,8,0,11,7,178,37
Presnel Kimpembe,FRA,DF,26,1995,8.1,567,59,203,327,39,7,567,3,2,66.7,0,0.0,430,2001,1090,4,8,0,4,5,407,4
Renato Sanches,POR,MF,24,1997,8.0,753,17,106,479,179,18,753,22,13,59.1,7,31.8,648,3751,2154,30,26,4,13,8,625,25
Sergio Ramos,ESP,DF,36,1986,30.0,2774,310,1061,1566,159,30,2774,14,5,35.7,6,42.9,2313,11550,5696,15,20,3,8,6,2186,10
Timothee Pembele,FRA,DF,19,2002,2.9,113,4,30,43,41,7,113,5,4,80.0,1,20.0,72,397,227,4,2,2,4,1,68,20
Vitinha,POR,MF,22,2000,27.2,2189,41,325,1299,584,38,2189,53,31,58.5,17,32.1,1872,9931,4552,50,74,5,33,33,1786,94
Warren Zaïre-Emery,FRA,"MF,DF",16,2006,10.3,726,26,123,426,192,21,726,29,16,55.2,11,37.9,584,3412,1522,23,22,4,11,14,545,54
