General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Adrien Truffert,FRA,DF,20,2001,21.7,1656,65,410,790,467,30,1656,46,21,45.7,19,41.3,1071,5984,2659,55,53,9,27,14,979,166
Alan Do Marcolino,GAB,FW,20,2002,0.2,3,1,1,2,0,0,3,0,0,,0,,4,15,2,0,0,0,0,1,4,0
Amine Gouiri,ALG,"FW,MF",22,2000,28.0,1071,12,74,439,576,145,1071,80,33,41.3,44,55.0,805,4749,1815,63,40,26,72,36,784,205
Arnaud Kalimuendo,FRA,FW,20,2002,20.5,659,12,48,278,343,104,659,55,25,45.5,26,47.3,490,2803,825,36,21,25,58,37,490,193
Arthur Theate,BEL,DF,22,2000,34.7,2856,222,1081,1644,141,40,2856,14,7,50.0,7,50.0,2313,14175,8082,37,35,0,15,5,2163,4
Baptiste Santamaria,FRA,MF,27,1995,20.1,1499,41,271,1023,218,16,1499,17,9,52.9,7,41.2,1122,5728,2726,17,37,1,30,11,1024,21
Benjamin Bourigeaud,FRA,"MF,FW",28,1994,34.1,2305,53,274,1149,904,80,2303,33,14,42.4,17,51.5,1716,8088,3068,40,72,4,32,18,1602,250
Birger Meling,NOR,DF,27,1994,13.4,925,37,196,480,253,20,925,22,5,22.7,15,68.2,629,4173,2046,37,27,4,11,9,566,74
Christopher Wooh,CMR,DF,20,2001,11.2,722,70,290,419,15,8,722,2,2,100.0,0,0.0,572,3208,1774,6,2,0,7,1,541,0
Djed Spence,ENG,DF,21,2000,6.4,394,23,102,204,98,8,394,27,15,55.6,9,33.3,268,1767,909,21,16,5,14,4,240,18
Doğan Alemdar,TUR,GK,19,2002,4.5,154,117,154,0,0,0,154,0,0,,0,,102,490,229,0,0,0,1,0,67,0
Désiré Doué,FRA,"MF,FW",17,2005,12.4,651,10,61,351,254,34,651,79,48,60.8,23,29.1,502,3396,1508,39,33,9,33,32,463,83
Flavien Tait,FRA,MF,29,1993,18.7,1268,29,143,803,336,44,1268,45,22,48.9,17,37.8,1056,6119,2800,52,46,13,25,29,962,56
Gaëtan Laborde,FRA,FW,28,1994,2.8,92,2,3,41,51,24,92,2,2,100.0,0,0.0,61,349,150,8,4,4,11,4,59,20
Guela Doué,CIV,"FW,MF",19,2002,0.1,11,0,2,6,3,0,11,0,0,,0,,8,36,9,0,0,0,0,0,8,0
Hamari Traoré,MLI,DF,30,1992,28.1,2083,90,426,1130,537,64,2083,18,9,50.0,9,50.0,1512,7652,3415,55,63,8,26,9,1399,162
Ibrahim Salah,MAR,"FW,MF",20,2001,2.5,154,2,24,59,75,5,154,18,13,72.2,5,27.8,121,1086,469,13,11,1,5,4,109,27
Jeanuël Belocian,FRA,DF,17,2005,5.6,353,24,123,191,41,4,353,4,2,50.0,1,25.0,248,1242,543,8,5,1,4,2,223,21
Jeremy Doku,BEL,"MF,FW",20,2002,14.3,744,5,71,292,419,89,744,159,96,60.4,49,30.8,643,5774,3010,101,70,47,44,24,576,156
Joe Rodon,WAL,DF,24,1997,15.7,1175,96,487,667,25,13,1175,3,3,100.0,0,0.0,920,4658,2308,5,3,0,5,2,863,0
Kamaldeen Sulemana,GHA,"FW,MF",20,2002,3.6,230,2,19,82,133,25,230,32,15,46.9,14,43.8,189,1486,540,17,10,10,13,12,170,57
Karl Toko Ekambi,CMR,"FW,MF",29,1992,10.8,378,5,23,183,176,51,378,19,12,63.2,7,36.8,295,1905,764,30,23,16,18,15,295,87
Lesley Ugochukwu,FRA,MF,18,2004,14.8,790,36,172,546,80,7,790,22,14,63.6,6,27.3,611,3424,1453,11,16,4,6,11,557,11
Lorenz Assignon,TOG,DF,22,2000,2.9,200,15,51,110,42,6,200,5,1,20.0,3,60.0,122,727,411,10,7,2,4,2,105,13
Lovro Majer,CRO,"MF,FW",24,1998,18.5,1187,18,142,572,493,62,1186,45,28,62.2,13,28.9,929,6297,3028,66,64,8,46,31,842,115
Loïc Bade,FRA,DF,22,2000,1.0,67,7,35,31,2,2,67,0,0,,0,,51,277,100,0,0,0,0,0,51,0
Martin Terrier,FRA,"FW,MF",25,1997,14.7,782,12,65,361,362,85,782,26,9,34.6,14,53.8,580,3282,1254,34,33,9,26,15,591,137
Matthis Abline,FRA,"FW,MF",19,2003,1.2,37,1,1,15,22,15,37,0,0,,0,,27,174,105,4,1,2,10,1,27,11
Serhou Guirassy,GUI,MF,26,1996,0.3,13,1,1,3,9,5,13,0,0,,0,,9,43,0,0,0,0,0,1,8,6
Steve Mandanda,FRA,GK,37,1985,33.5,1267,922,1251,17,0,0,1267,1,1,100.0,0,0.0,916,4101,2479,0,0,0,2,0,649,0
Warmed Omari,FRA,DF,22,2000,15.1,1106,88,475,613,27,8,1106,4,3,75.0,0,0.0,867,5133,2601,4,9,0,7,4,820,0
Xeka,POR,MF,27,1994,6.1,380,12,74,248,61,6,380,6,1,16.7,3,50.0,276,1285,559,5,8,0,13,3,242,13
