General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Adrien Thomasson,FRA,MF,28,1993,10.4,38,3.65,32,1,2,2,0,1,3,0.29,2,0,0,1,0,0
Alexander Djiku,GHA,DF,27,1994,29.7,24,0.81,22,1,0,1,0,0,5,0.17,5,0,0,0,0,0
Colin Dagba,FRA,"DF,MF",23,1998,10.6,23,2.16,19,2,1,0,1,0,2,0.19,2,0,0,0,0,0
Dany Jean,HAI,"DF,MF",19,2002,0.1,1,6.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dimitri Liénard,FRA,"DF,MF",34,1988,17.1,56,3.26,30,23,0,1,0,2,1,0.06,1,0,0,0,0,0
Eduard Sobol,UKR,DF,27,1995,9.7,20,2.07,13,0,2,0,3,2,2,0.21,1,0,0,0,0,1
Franci Bouebari,FRA,DF,18,2003,0.8,1,1.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Frederic Guilbert,FRA,DF,27,1994,16.2,32,1.97,23,4,0,0,3,2,2,0.12,1,1,0,0,0,0
Gerzino Nyamsi,FRA,DF,25,1997,17.5,13,0.74,10,1,1,1,0,0,4,0.23,3,0,1,0,0,0
Habib Diallo,SEN,FW,27,1995,32.0,63,1.97,39,0,7,10,7,0,6,0.19,3,0,1,2,0,0
Habib Diarra,SEN,"MF,FW",18,2004,18.1,59,3.27,42,0,7,4,6,0,7,0.39,4,0,1,0,2,0
Ibrahima Sissoko,MLI,MF,24,1997,14.6,32,2.2,25,0,0,2,4,1,2,0.14,2,0,0,0,0,0
Ismaël Doukouré,FRA,"DF,MF",19,2003,25.5,20,0.78,17,0,1,1,1,0,2,0.08,2,0,0,0,0,0
Jean-Eudes Aholou,CIV,MF,28,1994,14.4,28,1.94,21,1,0,1,2,3,2,0.14,2,0,0,0,0,0
Jean-Ricner Bellegarde,FRA,"MF,FW",24,1998,26.9,102,3.79,65,22,4,1,10,0,13,0.48,8,1,0,1,3,0
Karol Fila,POL,DF,24,1998,0.5,3,5.63,2,1,0,0,0,0,1,1.87,1,0,0,0,0,0
Kévin Gameiro,FRA,FW,35,1987,23.3,58,2.49,44,0,1,9,4,0,3,0.13,0,0,0,2,1,0
Lebo Mothiba,RSA,"FW,MF",26,1996,4.8,6,1.24,3,0,1,0,2,0,1,0.21,1,0,0,0,0,0
Lucas Perrin,FRA,DF,23,1998,19.6,15,0.76,13,0,0,1,0,1,1,0.05,1,0,0,0,0,0
Ludovic Ajorque,FRA,FW,28,1994,8.6,22,2.57,20,0,0,2,0,0,2,0.23,1,0,0,1,0,0
Marvin Senaya,TOG,DF,21,2001,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Matz Sels,BEL,GK,30,1992,38.0,4,0.11,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Maxime Le Marchand,FRA,DF,32,1989,22.4,19,0.85,13,1,2,0,1,2,3,0.13,1,0,0,0,1,1
Morgan Sanson,FRA,MF,27,1994,15.8,48,3.05,34,3,1,6,2,2,5,0.32,3,0,0,1,0,1
Nordine Kandil,FRA,"MF,FW",20,2001,1.1,8,7.13,3,1,2,1,1,0,2,1.78,1,0,0,1,0,0
Ronaël Pierre-Gabriel,FRA,DF,24,1998,7.3,15,2.06,8,3,1,1,1,1,1,0.14,1,0,0,0,0,0
Sanjin Prcić,BIH,MF,28,1993,18.1,37,2.04,27,4,1,1,4,0,2,0.11,2,0,0,0,0,0
Thomas Delaine,FRA,"DF,MF",30,1992,11.9,23,1.94,19,0,2,0,0,2,4,0.34,4,0,0,0,0,0
Yuito Suzuki,JPN,"FW,MF",20,2001,0.4,3,7.5,0,0,2,0,1,0,2,5.0,0,0,2,0,0,0
