General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Adrien Thomasson,FRA,MF,28,1993,10.4,2,0,0,16,20,4,8,3,9,0,0,0,80,7,6,53.8
Alexander Djiku,GHA,DF,27,1994,29.7,8,1,0,39,26,2,6,66,36,0,0,0,162,92,35,72.4
Colin Dagba,FRA,"DF,MF",23,1998,10.6,3,0,0,14,6,1,35,17,20,0,0,0,51,3,5,37.5
Dany Jean,HAI,"DF,MF",19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Dimitri Liénard,FRA,"DF,MF",34,1988,17.1,4,0,0,16,15,3,119,16,29,0,0,0,121,18,15,54.5
Eduard Sobol,UKR,DF,27,1995,9.7,2,0,0,10,17,2,19,8,10,0,1,0,35,9,5,64.3
Franci Bouebari,FRA,DF,18,2003,0.8,0,0,0,2,0,0,1,2,0,0,0,0,0,1,1,50.0
Frederic Guilbert,FRA,DF,27,1994,16.2,3,0,0,28,19,0,55,43,29,0,1,0,109,28,23,54.9
Gerzino Nyamsi,FRA,DF,25,1997,17.5,4,1,0,37,3,0,1,10,20,0,2,0,108,37,20,64.9
Habib Diallo,SEN,FW,27,1995,32.0,4,1,1,37,64,19,7,12,10,1,0,0,76,135,158,46.1
Habib Diarra,SEN,"MF,FW",18,2004,18.1,4,0,0,23,22,0,48,11,16,1,0,0,99,12,25,32.4
Ibrahima Sissoko,MLI,MF,24,1997,14.6,1,0,0,41,15,2,10,10,22,0,1,0,121,30,23,56.6
Ismaël Doukouré,FRA,"DF,MF",19,2003,25.5,5,0,0,30,27,0,11,27,24,0,0,0,148,29,37,43.9
Jean-Eudes Aholou,CIV,MF,28,1994,14.4,4,1,0,39,23,1,5,24,20,0,0,0,91,26,18,59.1
Jean-Ricner Bellegarde,FRA,"MF,FW",24,1998,26.9,5,0,0,36,73,1,123,26,25,3,1,0,157,20,30,40.0
Karol Fila,POL,DF,24,1998,0.5,0,0,0,0,0,0,3,1,0,0,0,0,5,0,0,
Kévin Gameiro,FRA,FW,35,1987,23.3,1,1,0,15,15,4,19,9,10,1,0,0,83,12,27,30.8
Lebo Mothiba,RSA,"FW,MF",26,1996,4.8,0,0,0,12,12,0,4,0,0,0,0,0,11,10,24,29.4
Lucas Perrin,FRA,DF,23,1998,19.6,4,0,0,23,19,0,8,36,27,0,1,0,112,36,19,65.5
Ludovic Ajorque,FRA,FW,28,1994,8.6,1,0,0,14,8,1,0,2,4,0,0,0,21,50,33,60.2
Marvin Senaya,TOG,DF,21,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,50.0
Matz Sels,BEL,GK,30,1992,38.0,2,0,0,0,3,0,0,4,3,0,0,0,29,9,0,100.0
Maxime Le Marchand,FRA,DF,32,1989,22.4,6,1,1,31,9,0,11,37,24,0,2,0,144,59,29,67.0
Morgan Sanson,FRA,MF,27,1994,15.8,1,0,0,21,34,0,35,22,25,0,0,0,104,14,13,51.9
Nordine Kandil,FRA,"MF,FW",20,2001,1.1,0,0,0,1,3,0,4,1,2,0,0,0,15,3,0,100.0
Ronaël Pierre-Gabriel,FRA,DF,24,1998,7.3,3,0,0,12,8,2,19,9,18,0,0,0,41,8,7,53.3
Sanjin Prcić,BIH,MF,28,1993,18.1,3,1,0,16,19,1,29,25,12,0,0,0,152,16,7,69.6
Thomas Delaine,FRA,"DF,MF",30,1992,11.9,3,0,0,15,12,0,66,16,14,0,2,0,53,11,11,50.0
Yuito Suzuki,JPN,"FW,MF",20,2001,0.4,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,100.0
