General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Ado Onaiwu,JPN,FW,26,1995,12.0,0,0,0,15,15,3,5,2,6,0,0,0,35,37,38,49.3
Anthony Rouault,FRA,DF,21,2001,36.8,4,1,1,21,17,1,0,56,37,0,0,1,213,86,64,57.3
Branco van den Boomen,NED,MF,27,1995,32.1,6,0,0,33,19,2,282,10,36,0,0,0,182,6,12,33.3
Brecht Dejaegere,BEL,MF,31,1991,20.1,5,0,0,40,37,1,19,14,23,0,1,0,86,8,16,33.3
Christian Mawissa,FRA,DF,17,2005,1.1,1,0,0,2,2,0,1,3,0,0,1,0,3,1,1,50.0
Denis Genreau,AUS,MF,23,1999,7.3,3,0,0,9,4,3,16,8,13,0,0,0,48,5,16,23.8
Fares Chaïbi,ALG,"FW,MF",19,2002,26.0,2,0,0,34,21,8,57,19,18,0,0,0,109,30,50,37.5
Gabriel Suazo,CHI,DF,24,1997,14.0,1,0,0,18,11,1,14,22,22,0,1,0,104,9,9,50.0
Issiaga Sylla,GUI,DF,28,1994,15.2,3,0,0,24,18,1,41,38,15,0,0,0,120,12,16,42.9
Kévin Keben Biakolo,CMR,DF,18,2004,4.0,1,0,0,2,5,0,6,5,2,0,0,0,26,3,8,27.3
Logan Costa,CPV,DF,21,2001,4.6,0,0,0,2,4,0,0,4,4,0,0,1,24,5,3,62.5
Maxime Dupé,FRA,GK,29,1993,38.0,2,0,0,1,4,0,0,0,0,0,1,0,27,9,0,100.0
Mikkel Desler,DEN,DF,27,1995,25.1,5,1,1,28,32,6,42,36,38,0,0,0,165,23,9,71.9
Moussa Diarra,MLI,DF,21,2000,13.6,0,0,0,19,17,1,13,19,9,0,1,0,69,16,13,55.2
Naatan Skyttä,FIN,MF,20,2002,0.3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.0
Nathan N'Goumou,FRA,FW,22,2000,1.0,0,0,0,0,0,0,1,2,2,0,0,0,6,1,0,100.0
Oliver Zandén,SWE,"DF,MF",20,2001,1.6,0,0,0,3,6,0,6,1,1,0,0,0,8,1,2,33.3
Rafael Ratão,BRA,"FW,MF",26,1995,20.6,2,0,0,28,33,2,52,21,36,0,0,0,116,10,13,43.5
Rasmus Nicolaisen,DEN,DF,25,1997,33.3,7,1,1,30,28,1,0,50,21,0,1,1,188,116,41,73.9
Rhys Healey,WAL,FW,27,1994,0.7,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
Saïd Hamulic,BIH,FW,21,2000,1.2,1,0,0,2,1,1,1,0,0,0,0,0,3,0,2,0.0
Stijn Spierings,NED,MF,26,1996,34.7,6,0,0,55,50,0,21,53,67,1,1,0,336,20,20,50.0
Theocharis Tsingaras,GRE,MF,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thijs Dallinga,NED,FW,21,2000,26.1,4,0,0,35,19,22,18,3,6,0,0,0,41,56,68,45.2
Veljko Birmančević,SRB,"FW,MF",24,1998,4.9,0,0,0,5,8,0,5,7,7,1,0,0,25,3,12,20.0
Vincent Sierro,SUI,MF,26,1995,7.4,3,0,0,19,8,0,25,4,11,0,0,0,50,9,9,50.0
Waren Kamanzi,NOR,DF,21,2000,7.4,1,0,0,7,7,0,6,8,9,0,0,0,47,3,6,33.3
Yanis Begraoui,MAR,"FW,MF",21,2001,0.7,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,
Zakaria Aboukhlal,MAR,"FW,MF",22,2000,27.5,4,0,0,41,46,20,29,22,23,0,0,0,130,12,31,27.9
