General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Alphonso Davies,CAN,DF,21,2000,22.7,1859,51,446,912,545,84,1859,140,70,50.0,55,39.3,1226,7671,4417,117,66,37,50,27,1229,158
Arijon Ibrahimović,GER,MF,16,2005,0.2,13,0,3,6,4,2,13,1,0,0.0,0,0.0,6,9,8,0,1,0,0,0,9,2
Benjamin Pavard,FRA,DF,26,1996,27.0,2699,166,1017,1351,337,47,2699,6,0,0.0,1,16.7,1660,7436,4097,37,21,2,11,2,1947,65
Bouna Sarr,SEN,FW,30,1992,0.0,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Daley Blind,NED,"DF,MF",32,1990,1.5,117,10,44,65,9,0,117,0,0,,0,,62,258,134,0,0,0,1,0,74,0
Dayot Upamecano,FRA,DF,23,1998,26.1,2569,234,1177,1314,92,18,2569,15,10,66.7,5,33.3,1844,9367,5193,31,28,2,19,10,1895,7
Eric Maxim Choupo-Moting,CMR,FW,33,1989,12.4,407,6,19,175,214,68,406,29,20,69.0,6,20.7,252,960,247,11,5,7,32,16,317,77
Gabriel Vidovic,CRO,FW,18,2003,0.2,14,0,1,6,7,2,14,0,0,,0,,7,21,8,0,0,0,0,0,12,2
Jamal Musiala,GER,"MF,FW",19,2003,24.4,1401,19,142,667,616,144,1401,152,77,50.7,63,41.4,1018,6027,2802,89,61,33,79,70,1089,196
Joshua Kimmich,GER,MF,27,1995,31.2,3073,115,618,1669,809,20,3072,25,13,52.0,8,32.0,1762,8923,3443,42,31,4,26,26,2065,56
Josip Stanišić,CRO,DF,22,2000,6.4,689,29,206,370,117,5,689,9,5,55.6,2,22.2,452,2116,1180,12,15,1,7,3,506,35
João Cancelo,POR,"DF,FW",28,1994,11.2,1014,31,224,506,296,38,1014,65,34,52.3,26,40.0,636,3732,2011,51,24,19,20,9,701,90
Kingsley Coman,FRA,"FW,MF",26,1996,15.7,1006,9,75,334,615,94,1006,92,47,51.1,33,35.9,723,4737,2554,98,49,44,48,20,808,296
Leon Goretzka,GER,MF,27,1995,19.2,1272,56,296,678,312,43,1272,17,9,52.9,6,35.3,646,3087,1775,42,32,6,20,11,817,62
Leroy Sané,GER,"MF,FW",26,1996,22.3,1379,10,111,616,683,101,1379,136,75,55.1,56,41.2,941,6150,2650,77,69,30,60,60,1134,198
Lucas Hernández,FRA,DF,26,1996,5.3,407,20,153,222,33,2,407,3,1,33.3,1,33.3,267,1151,657,3,3,0,1,0,302,4
Manuel Neuer,GER,GK,36,1986,12.0,528,436,519,8,2,2,528,0,0,,0,,338,1534,910,0,0,0,1,0,318,0
Marcel Sabitzer,AUT,MF,28,1994,7.0,548,10,88,323,141,9,548,3,1,33.3,2,66.7,312,1283,572,7,8,0,6,3,368,19
Mathys Tel,FRA,FW,17,2005,4.6,240,4,11,98,132,37,240,30,10,33.3,18,60.0,164,948,372,12,7,6,24,11,189,59
Matthijs de Ligt,NED,DF,22,1999,26.7,2322,205,1018,1183,132,39,2322,4,0,0.0,4,100.0,1592,7491,3942,17,12,0,11,3,1704,14
Noussair Mazraoui,MAR,DF,24,1997,11.9,977,26,252,449,282,27,977,27,18,66.7,6,22.2,569,2683,1478,39,26,8,11,5,680,81
Paul Wanner,GER,MF,16,2005,0.3,13,1,3,6,4,2,13,2,2,100.0,0,0.0,10,67,22,1,1,1,0,4,11,4
Ryan Gravenberch,NED,MF,20,2002,6.4,483,12,68,269,155,11,483,19,11,57.9,6,31.6,301,1632,729,11,18,1,21,13,344,31
Sadio Mané,SEN,"FW,MF",30,1992,15.8,622,9,39,218,375,130,620,53,24,45.3,25,47.2,410,2602,1295,59,26,33,53,14,486,164
Serge Gnabry,GER,"FW,MF",27,1995,21.6,1149,7,124,474,565,146,1148,64,28,43.8,30,46.9,747,4275,2010,74,50,41,51,26,880,217
Sven Ulreich,GER,GK,33,1988,3.0,139,123,139,1,0,0,139,0,0,,0,,97,441,217,0,0,0,0,0,80,0
Thomas Müller,GER,"FW,MF",32,1989,18.5,1020,18,93,409,521,114,1020,18,9,50.0,9,50.0,574,2013,1010,33,24,11,49,20,791,182
Yann Sommer,SUI,GK,33,1988,19.0,779,603,770,9,0,0,779,2,2,100.0,0,0.0,525,2377,1226,0,0,0,0,1,505,0
