General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Anthony Losilla,FRA,MF,36,1986,30.2,962,951,8,6,4,4,10,0,0,0,0,0,650,3,20
Christopher Antwi-Adjei,GHA,"FW,MF",28,1994,22.0,712,513,195,3,2,2,63,180,4,0,0,0,432,4,32
Cristian Gamboa,CRC,DF,32,1989,16.4,684,572,109,2,1,3,43,107,0,0,0,0,458,3,12
Danilo Soares,BRA,DF,30,1991,19.6,1004,798,199,9,1,2,17,189,1,0,1,0,751,7,20
Dominique Heintz,GER,DF,28,1993,8.8,326,295,31,6,0,2,8,24,0,0,0,0,269,0,2
Erhan Mašović,SRB,"DF,MF",23,1998,24.2,821,798,21,15,0,1,2,1,0,0,0,0,662,2,10
Gerrit Holtmann,PHI,"FW,MF",27,1995,10.5,270,259,10,1,1,0,52,6,1,0,0,0,155,1,22
Ivan Ordets,UKR,DF,30,1992,27.2,1005,980,23,10,1,9,1,9,0,0,0,0,731,2,4
Jacek Góralski,POL,MF,29,1992,1.6,39,35,4,4,0,1,0,0,0,0,0,0,31,0,1
Jannes Horn,GER,"DF,FW",25,1997,0.7,19,17,2,0,0,0,0,2,0,0,0,0,15,0,2
Jordi Osei-Tutu,ENG,"DF,FW",23,1998,8.3,217,176,39,2,0,0,15,34,3,0,0,0,150,2,7
Keven Schlotterbeck,GER,DF,25,1997,8.2,315,295,17,2,1,1,3,3,0,0,0,0,208,3,1
Kevin Stöger,AUT,MF,28,1993,28.9,1607,1351,242,99,9,8,156,18,85,37,37,1,1114,14,36
Kostas Stafylidis,GRE,"DF,MF",28,1993,11.6,423,360,61,10,1,8,26,48,3,1,2,0,297,2,9
Manuel Riemann,GER,GK,33,1988,34.0,1761,1297,453,191,0,21,1,1,0,0,0,0,1065,11,3
Moritz Broschinski,GER,"FW,MF",21,2000,2.4,50,49,1,0,0,0,3,0,0,0,0,0,29,0,2
Patrick Osterhage,GER,MF,22,2000,11.4,340,328,11,3,2,0,12,8,0,0,0,0,238,1,14
Philipp Förster,GER,MF,27,1995,14.5,546,450,92,33,2,2,77,11,41,25,13,0,394,4,14
Philipp Hofmann,GER,FW,29,1993,29.2,743,716,23,0,1,0,4,0,0,0,0,0,433,4,12
Pierre Kunde,CMR,"MF,FW",27,1995,4.2,202,179,23,7,1,5,8,14,2,2,0,0,119,0,3
Saidy Janko,GAM,DF,26,1995,12.6,451,349,102,3,0,0,22,99,0,0,0,0,312,0,17
Silvère Ganvoula M'Boussy,CGO,"FW,MF",26,1996,2.7,87,82,5,0,0,0,1,0,0,0,0,0,49,0,1
Simon Zoller,GER,FW,31,1991,16.2,332,308,23,0,2,2,16,7,0,0,0,0,208,1,16
Takuma Asano,JPN,"FW,MF",27,1994,19.0,342,336,4,1,2,0,28,2,1,0,0,0,237,2,16
Tim Oermann,GER,DF,18,2003,2.2,51,51,0,0,0,0,0,0,0,0,0,0,39,0,1
Vassilis Lambropoulos,GRE,DF,32,1990,7.0,240,230,10,5,0,1,0,5,0,0,0,0,163,0,1
