General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Almamy Touré,MLI,DF,26,1996,7,398,57,13.0,4.4,5,77,2,2,7,8,1.57,10,12,-2,-0.45,-0.72,8.3,9.6,-1.3,-0.3,-0.63
Ansgar Knauff,GER,DF,20,2002,24,1286,54,42.0,14.3,14,72,5,10,28,6,1.38,20,26,-6,-0.42,-1.03,16.6,21.1,-4.4,-0.31,-0.97
Aurélio Buta,POR,DF,25,1997,18,1318,73,43.1,14.6,15,83,7,3,26,1,1.11,19,21,-2,-0.14,-0.55,21.3,17.9,3.4,0.23,-0.04
Christopher Lenz,GER,DF,27,1994,24,1290,54,42.2,14.3,13,81,8,11,21,3,1.58,27,21,6,0.42,0.42,23.8,17.6,6.2,0.43,0.31
Daichi Kamada,JPN,MF,25,1996,32,2265,71,74.0,25.2,25,83,13,7,28,1,1.47,49,37,12,0.48,1.16,42.3,31.0,11.3,0.45,0.75
Dario Gebuhr,GER,DF,19,2003,1,21,21,0.7,0.2,0,,0,1,21,5,0.0,0,0,0,0.0,-0.18,0.0,0.1,-0.1,-0.41,-0.67
Diant Ramaj,GER,GK,20,2001,1,90,90,2.9,1.0,1,90,1,0,,33,1.0,1,1,0,0.0,-0.18,0.2,1.9,-1.8,-1.76,-2.08
Djibril Sow,SUI,MF,25,1997,32,2646,83,86.5,29.4,30,87,23,2,22,1,1.5,48,43,5,0.17,-0.05,45.8,38.3,7.5,0.26,0.01
Faride Alidou,GER,"DF,MF",21,2001,15,182,12,5.9,2.0,0,,0,15,12,10,1.13,3,4,-1,-0.49,-0.71,4.0,2.5,1.4,0.69,0.47
Filip Kostić,SRB,"DF,MF",29,1992,1,74,74,2.4,0.8,1,74,0,0,,0,0.0,1,5,-4,-4.86,-5.17,0.8,3.5,-2.7,-3.35,-3.69
Hrvoje Smolčić,CRO,DF,21,2000,9,471,52,15.4,5.2,4,90,4,5,22,15,1.89,8,5,3,0.57,0.47,7.7,8.9,-1.1,-0.22,-0.55
Jens Grahl,GER,GK,33,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jesper Lindstrøm,DEN,"MF,FW",22,2000,27,1679,62,54.9,18.7,22,72,2,5,20,0,1.63,33,28,5,0.27,0.2,25.3,26.5,-1.2,-0.06,-0.7
Junior Dina Ebimbe,FRA,"DF,MF",21,2000,19,1063,56,34.7,11.8,10,84,4,9,25,3,1.79,24,19,5,0.42,0.38,22.3,12.9,9.4,0.8,0.83
Jérôme Onguéné,CMR,DF,24,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
Kevin Trapp,GER,GK,32,1990,33,2970,90,97.1,33.0,33,90,33,0,,0,1.48,57,51,6,0.18,0.18,51.9,41.5,10.4,0.31,2.08
Kristijan Jakić,CRO,"DF,MF",25,1997,24,1460,61,47.7,16.2,17,79,12,7,18,4,1.58,37,21,16,0.99,1.55,28.0,17.7,10.2,0.63,0.72
Luca Pellegrini,ITA,DF,23,1999,9,557,62,18.2,6.2,7,74,2,2,21,1,1.56,10,7,3,0.48,0.38,8.8,5.0,3.8,0.62,0.45
Lucas Alario,ARG,"FW,MF",29,1992,20,331,17,10.8,3.7,2,78,1,18,10,9,1.25,5,9,-4,-1.09,-1.42,6.1,3.5,2.6,0.69,0.49
Makoto Hasebe,JPN,DF,38,1984,18,1306,73,42.7,14.5,15,85,10,3,13,9,1.22,17,23,-6,-0.41,-1.03,17.1,20.3,-3.2,-0.22,-0.83
Marcel Wenig,GER,MF,18,2004,1,4,4,0.1,0.0,0,,0,1,4,10,3.0,0,0,0,0.0,-0.18,0.0,0.0,0.0,0.0,-0.25
Mario Götze,GER,MF,30,1992,32,2740,86,89.5,30.4,32,86,22,0,,0,1.53,55,43,12,0.39,2.08,47.8,36.7,11.0,0.36,1.04
Obite N'Dicka,CIV,DF,22,1999,30,2692,90,88.0,29.9,30,90,29,0,,1,1.6,54,44,10,0.33,1.31,47.7,38.5,9.2,0.31,0.46
