General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Almamy Touré,MLI,DF,26,1996,4.4,0,3,1,33.3,0.68,0.23,0.0,0.0,14.0,0,0,0,0.5,0.5,0.17,-0.5,-0.5
Ansgar Knauff,GER,DF,20,2002,14.3,1,15,7,46.7,1.05,0.49,0.07,0.14,19.7,0,0,0,0.9,0.9,0.06,0.1,0.1
Aurélio Buta,POR,DF,25,1997,14.6,3,9,4,44.4,0.61,0.27,0.33,0.75,16.7,0,0,0,0.6,0.6,0.07,2.4,2.4
Christopher Lenz,GER,DF,27,1994,14.3,0,12,2,16.7,0.84,0.14,0.0,0.0,23.4,1,0,0,0.6,0.6,0.05,-0.6,-0.6
Daichi Kamada,JPN,MF,25,1996,25.2,9,41,11,26.8,1.63,0.44,0.15,0.55,16.6,4,3,3,9.9,7.5,0.18,-0.9,-1.5
Dario Gebuhr,GER,DF,19,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Diant Ramaj,GER,GK,20,2001,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Djibril Sow,SUI,MF,25,1997,29.4,4,28,10,35.7,0.95,0.34,0.14,0.4,24.8,0,0,0,1.7,1.7,0.06,2.3,2.3
Faride Alidou,GER,"DF,MF",21,2001,2.0,0,2,0,0.0,0.99,0.0,0.0,,17.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Filip Kostić,SRB,"DF,MF",29,1992,0.8,0,1,0,0.0,1.22,0.0,0.0,,21.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Hrvoje Smolčić,CRO,DF,21,2000,5.2,0,3,0,0.0,0.57,0.0,0.0,,12.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Jesper Lindstrøm,DEN,"MF,FW",22,2000,18.7,7,45,19,42.2,2.41,1.02,0.16,0.37,18.3,4,0,0,5.9,5.9,0.13,1.1,1.1
Junior Dina Ebimbe,FRA,"DF,MF",21,2000,11.8,3,26,10,38.5,2.2,0.85,0.12,0.3,14.6,0,0,0,3.7,3.7,0.14,-0.7,-0.7
Kevin Trapp,GER,GK,32,1990,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Kristijan Jakić,CRO,"DF,MF",25,1997,16.2,1,8,4,50.0,0.49,0.25,0.13,0.25,17.5,0,0,0,0.7,0.7,0.09,0.3,0.3
Luca Pellegrini,ITA,DF,23,1999,6.2,0,14,2,14.3,2.26,0.32,0.0,0.0,27.7,3,0,0,0.6,0.6,0.04,-0.6,-0.6
Lucas Alario,ARG,"FW,MF",29,1992,3.7,1,11,4,36.4,2.99,1.09,0.09,0.25,14.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4
Makoto Hasebe,JPN,DF,38,1984,14.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Marcel Wenig,GER,MF,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Mario Götze,GER,MF,30,1992,30.4,3,26,7,26.9,0.85,0.23,0.12,0.43,16.4,0,0,0,3.2,3.2,0.12,-0.2,-0.2
Obite N'Dicka,CIV,DF,22,1999,29.9,1,17,3,17.6,0.57,0.1,0.06,0.33,12.7,0,0,0,1.4,1.4,0.08,-0.4,-0.4
Paxten Aaronson,USA,"MF,DF",18,2003,1.9,0,4,1,25.0,2.08,0.52,0.0,0.0,18.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Philipp Max,GER,DF,28,1993,7.7,0,9,3,33.3,1.17,0.39,0.0,0.0,18.3,2,0,0,0.7,0.7,0.08,-0.7,-0.7
Rafael Borré,COL,"MF,FW",26,1995,12.0,2,24,7,29.2,2.0,0.58,0.04,0.14,13.1,0,1,1,4.1,3.3,0.14,-2.1,-2.3
Randal Kolo Muani,FRA,FW,23,1998,29.2,15,75,30,40.0,2.57,1.03,0.17,0.43,13.0,0,2,2,13.2,11.6,0.16,1.8,1.4
Sebastian Rode,GER,MF,31,1990,15.7,4,9,4,44.4,0.57,0.25,0.44,1.0,18.7,0,0,0,0.9,0.9,0.1,3.1,3.1
Timothy Chandler,USA,DF,32,1990,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tuta,BRA,DF,23,1999,30.2,2,17,3,17.6,0.56,0.1,0.12,0.67,17.0,0,0,0,2.3,2.3,0.13,-0.3,-0.3
