General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Adam Hložek,CZE,"FW,MF",20,2002,14.3,2,0,0,19,20,1,15,6,4,0,0,0,37,24,43,35.8
Amine Adli,MAR,"FW,MF",22,2000,15.9,2,2,0,39,47,4,18,6,10,2,1,0,61,29,41,41.4
Andrey Lunyov,RUS,GK,30,1991,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ayman Azhil,MAR,MF,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Callum Hudson-Odoi,ENG,"FW,MF",21,2000,6.7,0,0,0,2,20,2,12,2,3,0,0,0,26,0,5,0.0
Charles Aránguiz,CHI,MF,33,1989,5.5,1,0,0,7,10,0,12,7,7,0,0,0,33,2,7,22.2
Daley Sinkgraven,NED,"DF,MF",27,1995,3.8,1,0,0,6,4,0,3,5,7,0,0,0,17,3,5,37.5
Edmond Tapsoba,BFA,DF,23,1999,31.9,5,0,0,28,17,2,3,36,30,1,2,1,270,55,43,56.1
Exequiel Palacios,ARG,MF,23,1998,18.4,4,0,0,23,40,1,5,33,36,0,1,0,172,13,14,48.1
Florian Wirtz,GER,"FW,MF",19,2003,12.1,4,0,0,13,27,1,43,1,10,0,0,0,77,2,12,14.3
Jeremie Frimpong,NED,"DF,MF",21,2000,30.1,4,0,0,22,58,8,70,16,27,1,0,0,118,12,23,34.3
Joel Pohjanpalo,FIN,"FW,MF",27,1994,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.0
Jonathan Tah,GER,DF,26,1996,27.6,6,0,0,22,3,2,3,40,12,0,0,0,167,57,46,55.3
Karim Bellarabi,GER,"FW,MF",32,1990,0.9,0,0,0,2,0,2,8,0,0,0,0,0,4,0,0,
Kerem Demirbay,GER,MF,29,1993,17.2,5,0,0,31,22,0,90,16,18,0,0,0,100,9,11,45.0
Lukáš Hrádecký,FIN,GK,32,1989,33.0,0,1,0,1,0,0,0,0,0,0,0,0,37,10,0,100.0
Mitchel Bakker,NED,"DF,MF",22,2000,18.4,6,1,1,18,14,2,26,15,8,0,0,0,114,12,13,48.0
Moussa Diaby,FRA,"FW,MF",23,1999,30.0,4,0,0,18,24,10,95,5,8,1,0,0,87,2,20,9.1
Nadiem Amiri,GER,"MF,FW",25,1996,10.9,6,0,0,14,25,4,16,6,6,0,0,0,75,1,10,9.1
Noah Mbamba,BEL,MF,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Odilon Kossonou,CIV,DF,21,2001,16.9,3,0,0,17,4,1,4,24,14,0,0,0,123,29,17,63.0
Patrik Schick,CZE,FW,26,1996,10.5,0,0,0,5,16,0,4,1,0,0,0,0,18,30,38,44.1
Paulinho,BRA,FW,22,2000,0.9,0,0,0,0,1,0,0,0,0,0,0,0,5,1,4,20.0
Piero Hincapié,ECU,"DF,MF",20,2002,27.3,13,3,2,40,35,1,26,31,34,0,2,0,177,59,48,55.1
Robert Andrich,GER,MF,27,1994,26.7,7,0,0,35,20,0,4,42,38,0,0,1,153,56,43,56.6
Sardar Azmoun,IRN,"FW,MF",27,1995,10.3,1,0,0,17,1,8,0,2,3,1,0,0,33,22,46,32.4
Timothy Fosu-Mensah,NED,DF,24,1998,2.1,1,0,0,3,1,1,4,0,5,0,1,0,12,2,2,50.0
