General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Abdou Diallo,SEN,"DF,MF",26,1996,5.3,381,365,15,13,1,3,1,2,0,0,0,0,323,1,2
Alexander Sørloth,NOR,FW,26,1995,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Amadou Haidara,MLI,MF,24,1998,15.9,824,807,13,9,4,2,3,4,0,0,0,0,684,4,9
André Silva,POR,FW,26,1995,19.3,477,443,33,1,5,2,4,4,0,0,0,0,349,1,25
Benjamin Henrichs,GER,"DF,MF",25,1997,24.3,1538,1331,198,17,4,3,47,180,1,1,0,0,1198,9,42
Christopher Nkunku,FRA,"FW,MF",24,1997,21.1,620,580,37,11,11,5,17,5,6,2,2,0,497,3,20
Dani Olmo,ESP,"MF,FW",24,1998,14.2,596,560,29,10,21,6,11,3,10,2,0,0,450,7,23
David Raum,GER,"DF,MF",24,1998,18.7,1189,937,248,22,3,4,141,170,56,16,31,0,898,4,40
Dominik Szoboszlai,HUN,"MF,FW",21,2000,27.2,1580,1373,200,66,16,24,117,56,68,19,30,2,1262,7,46
Emil Forsberg,SWE,"MF,FW",30,1991,16.5,520,499,18,4,3,2,17,4,8,3,4,0,422,3,10
Hugo Novoa,ESP,"DF,FW",19,2003,2.0,108,87,21,2,0,1,10,19,0,0,0,0,77,0,6
Janis Blaswich,GER,GK,31,1991,26.0,1142,951,190,34,0,1,0,0,0,0,0,0,988,1,2
Joško Gvardiol,CRO,DF,20,2002,24.1,2149,2092,53,50,1,20,4,3,0,0,0,0,1914,4,16
Kevin Kampl,SVN,MF,31,1990,15.2,898,872,24,23,6,2,4,1,0,0,0,0,791,2,25
Konrad Laimer,AUT,MF,25,1997,16.3,751,720,28,19,7,5,12,9,0,0,0,0,596,3,22
Lukas Klostermann,GER,DF,26,1996,10.1,784,752,29,15,2,0,4,14,0,0,0,0,687,3,6
Marcel Halstenberg,GER,DF,30,1991,17.3,1171,967,199,32,0,6,45,150,17,7,7,0,918,5,22
Mohamed Simakan,FRA,DF,22,2000,16.2,1108,992,113,13,3,7,14,100,0,0,0,0,901,3,26
Péter Gulácsi,HUN,GK,32,1990,6.0,215,173,42,6,0,0,0,0,0,0,0,0,189,0,0
Sanoussy Ba,GER,DF,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timo Werner,GER,"FW,MF",26,1996,21.5,685,644,34,5,4,6,29,17,1,0,0,0,505,7,26
Willi Orban,HUN,DF,29,1992,32.8,2638,2554,80,74,1,15,3,3,0,0,0,0,2345,4,15
Xaver Schlager,AUT,MF,24,1997,16.7,928,910,11,10,4,5,2,1,0,0,0,0,771,7,15
Yussuf Poulsen,DEN,FW,28,1994,4.6,126,120,5,0,3,0,4,3,0,0,0,0,69,1,2
Ørjan Nyland,NOR,GK,31,1990,2.0,99,82,16,1,0,1,0,0,0,0,0,0,75,1,0
