General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Alex Král,CZE,MF,24,1998,26.2,1108,72,273,610,241,47,1108,51,23,45.1,22,43.1,552,2960,1364,41,21,4,30,21,600,70
Alexander Schwolow,GER,GK,30,1992,22.6,916,752,910,5,1,1,916,0,0,,0,,494,2288,1124,0,0,0,0,0,443,0
Andreas Ivan,ROU,MF,27,1995,0.5,14,0,3,8,3,0,14,1,0,0.0,1,100.0,8,35,19,0,0,0,0,1,10,1
Cédric Brunner,SUI,DF,28,1994,25.7,1402,106,524,609,279,10,1402,15,9,60.0,1,6.7,621,3186,1451,32,32,2,14,13,642,27
Danny Latza,GER,MF,32,1989,9.5,503,16,142,257,111,15,503,13,4,30.8,8,61.5,244,1080,561,11,3,1,7,8,282,15
Dominick Drexler,GER,"MF,FW",32,1990,15.2,628,20,113,304,223,41,628,21,10,47.6,9,42.9,324,1557,696,17,17,2,22,18,374,69
Florent Mollet,FRA,MF,30,1991,4.6,206,2,23,110,75,9,206,5,2,40.0,3,60.0,109,632,309,6,8,0,11,8,130,24
Florian Flick,GER,MF,22,2000,5.7,244,28,86,135,26,1,244,2,1,50.0,1,50.0,94,445,186,2,4,0,3,2,99,2
Henning Matriciani,GER,DF,22,2000,20.7,1089,101,505,463,137,6,1089,15,6,40.0,9,60.0,475,2263,1077,21,17,1,17,10,485,10
Jere Uronen,FIN,DF,28,1994,7.5,447,23,113,229,109,1,447,10,1,10.0,8,80.0,186,780,354,9,5,0,12,3,210,17
Jordan Larsson,SWE,"FW,MF",25,1997,5.1,173,2,20,90,67,12,173,13,4,30.8,7,53.8,91,508,164,5,3,1,4,7,106,29
Keke Maximilian Topp,GER,FW,18,2004,0.2,10,0,0,2,8,1,10,2,0,0.0,2,100.0,5,52,38,1,1,0,0,0,6,1
Kenan Karaman,TUR,FW,28,1994,10.8,339,11,45,136,165,42,339,39,11,28.2,14,35.9,206,1401,662,23,13,7,29,18,253,55
Kerim Calhanoglu,GER,DF,19,2002,0.7,58,3,22,17,19,1,58,3,0,0.0,3,100.0,17,79,45,3,3,0,3,0,21,3
Leo Greiml,AUT,DF,21,2001,4.0,241,36,135,101,5,1,241,1,1,100.0,0,0.0,135,598,357,4,1,0,3,0,143,1
Malick Thiaw,GER,DF,20,2001,3.0,171,36,105,62,4,3,171,2,1,50.0,1,50.0,76,243,117,1,0,0,0,0,91,0
Marcin Kamiński,POL,DF,30,1992,7.0,380,48,206,152,24,4,380,1,1,100.0,0,0.0,171,643,387,2,1,0,4,1,191,3
Marius Bülter,GER,"FW,MF",29,1993,28.9,1117,21,130,419,585,136,1113,96,32,33.3,53,55.2,660,4349,2038,78,48,24,81,28,773,199
Maya Yoshida,JPN,DF,33,1988,28.4,1716,245,997,678,56,22,1716,8,6,75.0,2,25.0,837,3625,1620,7,8,1,12,2,920,4
