General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Alou Kuol,AUS,FW,21,2000,1,5,5,0.2,0.1,0,,0,1,5,1,0.0,0,0,0,0.0,0.35,0.0,0.1,-0.1,-1.8,-1.88
Antonis Aidonis,GER,DF,21,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,
Atakan Karazor,GER,MF,25,1996,29,1962,68,64.1,21.8,22,86,16,7,11,3,1.03,29,36,-7,-0.32,0.09,28.7,29.5,-0.8,-0.04,-0.29
Borna Sosa,CRO,DF,24,1998,25,1955,78,63.9,21.7,22,85,16,3,25,0,1.08,31,38,-7,-0.32,0.08,31.9,27.7,4.3,0.2,0.35
Chris Führich,GER,"FW,MF",24,1998,33,1884,57,61.6,20.9,21,72,1,12,31,0,0.91,27,35,-8,-0.38,-0.08,27.8,28.7,-0.9,-0.04,-0.3
Clinton Mola,ENG,DF,21,2001,1,15,15,0.5,0.2,0,,0,1,15,2,1.0,0,0,0,0.0,0.35,0.1,0.4,-0.3,-1.64,-1.72
Dan-Axel Zagadou,FRA,DF,23,1999,17,1271,75,41.5,14.1,14,86,11,3,20,5,1.06,18,26,-8,-0.57,-0.37,19.8,21.7,-1.9,-0.13,-0.35
Darko Churlinov,MKD,FW,22,2000,1,27,27,0.9,0.3,0,,0,1,27,0,1.0,0,0,0,0.0,0.36,0.1,1.1,-1.1,-3.52,-3.62
Dennis Seimen,GER,GK,16,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Enzo Millot,FRA,MF,20,2002,23,890,39,29.1,9.9,9,73,2,14,17,6,1.04,14,19,-5,-0.51,-0.22,14.7,16.4,-1.7,-0.17,-0.34
Fabian Bredlow,GER,GK,27,1995,15,1350,90,44.1,15.0,15,90,15,0,,18,1.13,23,23,0,0.0,0.63,22.2,20.6,1.6,0.11,0.07
Florian Müller,GER,GK,24,1997,19,1710,90,55.9,19.0,19,90,19,0,,14,0.84,22,34,-12,-0.63,-0.63,25.4,24.6,0.8,0.04,-0.07
Genki Haraguchi,JPN,MF,31,1991,11,748,68,24.4,8.3,9,80,3,2,13,5,0.91,9,16,-7,-0.84,-0.65,11.3,12.1,-0.7,-0.09,-0.21
Gil Bastião Dias,POR,FW,25,1996,7,398,57,13.0,4.4,6,59,0,1,45,3,0.57,3,8,-5,-1.13,-0.89,3.6,4.5,-1.0,-0.22,-0.33
