General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Adama Soumaoro,FRA,DF,30,1992,20.7,996,1075,92.7,18518,6098,358,376,95.2,550,580,94.8,78,95,82.1,0,0.0,0.1,0.0,1,28,1,0,50
Andrea Cambiaso,ITA,DF,22,2000,24.1,1277,1521,84.0,19674,6031,686,753,91.1,472,541,87.2,83,144,57.6,3,2.4,1.6,0.6,28,48,24,7,83
Antonio Raimondo,ITA,FW,18,2004,0.2,3,4,75.0,21,3,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Charalambos Lykogiannis,GRE,DF,28,1993,12.3,518,731,70.9,8881,3581,246,280,87.9,219,287,76.3,45,117,38.5,0,1.5,1.5,-1.5,18,51,17,12,60
Denso Kasius,NED,DF,19,2002,3.8,143,192,74.5,2576,864,65,72,90.3,53,74,71.6,20,36,55.6,2,0.7,0.8,1.3,6,6,8,6,9
Emanuel Vignato,ITA,"MF,FW",21,2000,2.7,79,99,79.8,1201,338,40,48,83.3,29,34,85.3,5,8,62.5,1,0.4,0.6,0.6,3,9,2,1,9
Francesco Bardi,ITA,GK,30,1992,1.0,18,23,78.3,548,399,6,6,100.0,5,5,100.0,7,11,63.6,0,0.0,0.0,0.0,0,1,0,0,0
Gary Medel,CHI,"MF,DF",34,1987,16.4,986,1102,89.5,17960,6023,399,427,93.4,454,481,94.4,107,155,69.0,1,0.4,0.4,0.6,7,61,5,0,58
Giorgos Kyriakopoulos,GRE,"DF,FW",26,1996,7.8,318,413,77.0,4904,2157,177,193,91.7,105,128,82.0,26,65,40.0,2,0.8,1.1,1.2,9,22,11,6,23
Jerdy Schouten,NED,MF,25,1997,27.9,1299,1498,86.7,20836,5831,688,763,90.2,494,553,89.3,87,115,75.7,2,1.5,1.0,0.5,19,118,9,0,139
Jhon Lucumí,COL,DF,24,1998,32.2,1731,1951,88.7,32107,11819,691,732,94.4,842,902,93.3,181,263,68.8,1,0.4,0.6,0.6,9,98,6,1,84
Joaquin Sosa,URU,DF,20,2002,7.6,308,379,81.3,6349,2250,101,118,85.6,161,180,89.4,43,73,58.9,0,0.0,0.1,0.0,0,22,0,0,13
Joshua Zirkzee,NED,FW,21,2001,9.1,198,257,77.0,2526,434,134,156,85.9,47,61,77.0,6,9,66.7,2,1.4,0.5,0.6,16,12,6,0,17
Kevin Bonifazi,ITA,DF,26,1996,10.0,643,722,89.1,12821,4841,216,229,94.3,343,369,93.0,81,116,69.8,0,0.0,0.1,0.0,2,36,0,0,33
Lewis Ferguson,SCO,"MF,FW",22,1999,25.7,1039,1218,85.3,14524,2797,632,690,91.6,332,376,88.3,37,68,54.4,0,1.0,1.2,-1.0,16,70,12,0,88
Lorenzo De Silvestri,ITA,DF,34,1988,7.5,330,430,76.7,5002,2370,182,202,90.1,127,168,75.6,11,40,27.5,0,0.2,0.2,-0.2,6,29,4,1,31
Marko Arnautović,AUT,FW,33,1989,17.0,328,467,70.2,4736,799,180,234,76.9,106,138,76.8,17,32,53.1,0,1.9,1.4,-1.9,22,17,14,1,36
Michel Aebischer,SUI,"FW,MF",25,1997,17.1,557,674,82.6,8050,2143,312,343,91.0,189,223,84.8,27,51,52.9,0,0.6,0.5,-0.6,15,37,7,1,46
Musa Barrow,GAM,"FW,MF",23,1998,21.8,583,806,72.3,9580,2327,319,354,90.1,184,249,73.9,59,134,44.0,8,4.7,3.3,3.3,43,43,29,12,58
Nicola Sansone,ITA,FW,30,1991,8.2,161,218,73.9,2232,509,98,118,83.1,40,56,71.4,9,18,50.0,2,1.0,0.8,1.0,8,6,4,1,13
Nicolás Domínguez,ARG,MF,24,1998,25.6,1169,1420,82.3,18139,5084,618,693,89.2,408,483,84.5,85,130,65.4,2,2.9,2.8,-0.9,36,118,25,2,147
Niklas Pyyhtiä,FIN,MF,18,2003,1.2,41,53,77.4,609,66,26,31,83.9,13,15,86.7,2,5,40.0,1,0.1,0.0,0.9,2,3,0,0,1
Nikola Moro,CRO,MF,24,1998,13.6,643,806,79.8,11678,3780,284,341,83.3,259,302,85.8,91,126,72.2,5,2.2,1.3,2.8,18,85,13,3,102
Riccardo Orsolini,ITA,FW,25,1997,23.6,553,867,63.8,10205,3119,279,374,74.6,161,250,64.4,89,164,54.3,4,3.1,2.7,0.9,44,48,12,5,62
Roberto Soriano,ITA,"FW,MF",31,1991,14.7,486,605,80.3,6944,1994,306,349,87.7,139,171,81.3,26,42,61.9,3,2.5,1.5,0.5,20,35,10,2,56
Stefan Posch,AUT,DF,25,1997,28.1,1399,1805,77.5,24735,10680,659,724,91.0,568,682,83.3,147,303,48.5,2,2.0,1.9,0.0,23,112,27,6,148
Łukasz Skorupski,POL,GK,31,1991,37.0,957,1216,78.7,24937,16773,197,199,99.0,426,430,99.1,306,554,55.2,0,0.0,0.0,0.0,0,4,0,0,0
