General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Adama Soumaoro,FRA,DF,30,1992,20.7,0,2,1,50.0,0.1,0.05,0.0,0.0,8.8,0,0,0,0.3,0.3,0.16,-0.3,-0.3
Andrea Cambiaso,ITA,DF,22,2000,24.1,0,17,5,29.4,0.71,0.21,0.0,0.0,20.5,0,0,0,0.9,0.9,0.05,-0.9,-0.9
Antonio Raimondo,ITA,FW,18,2004,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Charalambos Lykogiannis,GRE,DF,28,1993,12.3,2,19,6,31.6,1.54,0.49,0.11,0.33,25.1,5,0,0,0.8,0.8,0.04,1.2,1.2
Denso Kasius,NED,DF,19,2002,3.8,0,4,0,0.0,1.05,0.0,0.0,,23.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Emanuel Vignato,ITA,"MF,FW",21,2000,2.7,0,1,1,100.0,0.37,0.37,0.0,0.0,14.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Francesco Bardi,ITA,GK,30,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gary Medel,CHI,"MF,DF",34,1987,16.4,0,2,0,0.0,0.12,0.0,0.0,,26.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Giorgos Kyriakopoulos,GRE,"DF,FW",26,1996,7.8,0,7,3,42.9,0.89,0.38,0.0,0.0,19.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Jerdy Schouten,NED,MF,25,1997,27.9,0,8,2,25.0,0.29,0.07,0.0,0.0,18.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Jhon Lucumí,COL,DF,24,1998,32.2,0,11,2,18.2,0.34,0.06,0.0,0.0,14.5,0,0,0,0.7,0.7,0.06,-0.7,-0.7
Joaquin Sosa,URU,DF,20,2002,7.6,0,3,1,33.3,0.39,0.13,0.0,0.0,34.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Joshua Zirkzee,NED,FW,21,2001,9.1,2,29,8,27.6,3.18,0.88,0.07,0.25,16.3,0,0,0,3.1,3.1,0.11,-1.1,-1.1
Kevin Bonifazi,ITA,DF,26,1996,10.0,0,2,0,0.0,0.2,0.0,0.0,,11.3,0,0,0,0.2,0.2,0.1,-0.2,-0.2
Lewis Ferguson,SCO,"MF,FW",22,1999,25.7,7,43,18,41.9,1.67,0.7,0.16,0.39,15.5,0,0,0,4.7,4.7,0.11,2.3,2.3
Lorenzo De Silvestri,ITA,DF,34,1988,7.5,1,5,3,60.0,0.67,0.4,0.2,0.33,12.0,0,0,0,0.6,0.6,0.13,0.4,0.4
Marko Arnautović,AUT,FW,33,1989,17.0,10,28,15,53.6,1.65,0.88,0.25,0.47,15.5,0,3,3,7.2,4.8,0.17,2.8,2.2
Michel Aebischer,SUI,"FW,MF",25,1997,17.1,1,15,2,13.3,0.88,0.12,0.07,0.5,17.1,1,0,0,1.5,1.5,0.1,-0.5,-0.5
Musa Barrow,GAM,"FW,MF",23,1998,21.8,3,65,16,24.6,2.98,0.73,0.05,0.19,23.2,1,0,0,3.0,3.0,0.05,0.0,0.0
Nicola Sansone,ITA,FW,30,1991,8.2,4,22,8,36.4,2.68,0.97,0.18,0.5,18.0,2,0,0,2.8,2.8,0.13,1.2,1.2
Nicolás Domínguez,ARG,MF,24,1998,25.6,3,42,17,40.5,1.64,0.67,0.07,0.18,22.5,0,0,0,2.6,2.6,0.06,0.4,0.4
Niklas Pyyhtiä,FIN,MF,18,2003,1.2,0,3,0,0.0,2.45,0.0,0.0,,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Nikola Moro,CRO,MF,24,1998,13.6,1,21,3,14.3,1.54,0.22,0.05,0.33,23.9,0,0,0,0.8,0.8,0.04,0.2,0.2
Riccardo Orsolini,ITA,FW,25,1997,23.6,11,89,27,30.3,3.77,1.14,0.09,0.3,20.8,8,3,3,10.5,8.1,0.09,0.5,-0.1
Roberto Soriano,ITA,"FW,MF",31,1991,14.7,1,13,2,15.4,0.88,0.14,0.08,0.5,20.3,0,0,0,0.6,0.6,0.05,0.4,0.4
Stefan Posch,AUT,DF,25,1997,28.1,6,28,10,35.7,1.0,0.36,0.21,0.6,14.2,1,0,0,3.3,3.3,0.12,2.7,2.7
Łukasz Skorupski,POL,GK,31,1991,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
