General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Alberto Grassi,ITA,MF,27,1995,13.3,734,79,261,400,80,13,734,8,4,50.0,4,50.0,302,1330,474,5,6,1,18,12,398,10
Ardian Ismajli,ALB,DF,25,1996,23.3,1301,242,785,494,25,18,1301,2,2,100.0,0,0.0,694,3506,1752,10,2,0,3,2,762,0
Duccio Degl'Innocenti,ITA,MF,19,2003,0.0,1,0,0,1,0,0,1,0,0,,0,,1,10,0,0,0,0,0,0,0,0
Emanuel Vignato,ITA,"MF,FW",21,2000,0.6,60,1,9,28,23,3,60,1,1,100.0,0,0.0,33,258,42,1,1,1,2,0,43,5
Emmanuel Ekong,SWE,"FW,MF",20,2002,0.2,6,0,1,4,2,0,6,1,0,0.0,1,100.0,3,56,43,1,1,0,0,0,3,1
Fabiano Parisi,ITA,DF,21,2000,31.4,2094,159,727,930,483,26,2094,129,64,49.6,47,36.4,1105,7030,4064,102,75,13,55,39,1113,68
Filippo Bandinelli,ITA,MF,27,1995,25.1,1333,66,317,658,376,29,1333,42,15,35.7,21,50.0,746,3897,1736,40,41,7,42,30,863,89
Francesco Caputo,ITA,FW,34,1987,19.0,478,10,34,207,239,103,476,12,1,8.3,8,66.7,288,1218,449,16,7,7,45,24,395,128
Guglielmo Vicario,ITA,GK,25,1996,30.9,1365,1120,1363,2,0,0,1365,0,0,,0,,820,4026,2527,0,0,0,0,0,736,0
Herculano Nabian,POR,MF,18,2004,0.0,1,0,0,1,0,0,1,1,0,0.0,1,100.0,1,13,13,0,0,0,0,0,1,0
Jacopo Fazzini,ITA,MF,19,2003,9.2,476,20,135,216,132,15,476,31,13,41.9,15,48.4,255,1355,552,11,14,0,23,24,292,40
Jean-Daniel Akpa-Akpro,CIV,"MF,FW",29,1992,15.1,630,24,163,338,143,24,630,55,31,56.4,19,34.5,325,1788,748,19,23,8,25,15,351,37
Koni De Winter,BEL,DF,20,2002,11.4,614,118,405,207,6,0,614,2,1,50.0,1,50.0,347,1854,819,2,1,0,8,3,370,0
Liam Henderson,SCO,MF,26,1996,11.2,622,19,135,353,142,14,622,5,0,0.0,5,100.0,368,1669,709,11,9,0,11,6,440,38
Liberato Cacace,NZL,DF,21,2000,6.5,525,33,166,243,122,12,525,20,8,40.0,10,50.0,242,1509,814,21,14,4,6,7,292,31
Lorenzo Tonelli,ITA,DF,32,1990,0.2,8,0,4,4,0,0,8,0,0,,0,,4,29,5,0,0,0,0,0,4,0
Marko Pjaca,CRO,"MF,FW",27,1995,5.8,321,3,34,154,136,17,321,38,23,60.5,12,31.6,202,1350,691,22,8,9,16,19,245,33
Martin Satriano,URU,FW,21,2001,18.9,597,19,67,250,291,77,597,48,19,39.6,27,56.3,346,1840,737,29,22,12,54,45,466,127
Mattia Destro,ITA,"FW,MF",31,1991,6.4,139,6,12,59,68,26,139,8,4,50.0,4,50.0,79,286,108,4,1,3,14,5,102,20
Nedim Bajrami,ALB,"MF,FW",23,1999,10.4,457,1,66,185,219,27,457,31,11,35.5,18,58.1,267,1928,816,22,21,10,24,17,304,47
Nicolas Haas,SUI,MF,26,1996,12.8,554,43,187,254,115,16,554,6,1,16.7,4,66.7,263,946,449,10,13,2,17,9,336,23
Nicolò Cambiaghi,ITA,"FW,MF",21,2000,14.3,638,9,87,255,311,56,638,57,22,38.6,20,35.1,442,3746,1603,73,30,23,44,21,464,99
Petar Stojanović,SVN,DF,26,1995,17.0,1210,60,387,539,293,15,1210,35,13,37.1,18,51.4,663,3977,2265,50,27,5,11,14,710,51
Roberto Piccoli,ITA,FW,21,2001,5.7,170,9,27,78,73,18,170,19,8,42.1,10,52.6,96,686,282,8,3,1,17,11,118,25
Răzvan Marin,ROU,MF,26,1996,28.2,1805,76,428,971,425,16,1805,39,22,56.4,15,38.5,1051,5460,2560,35,41,3,24,22,1164,27
Sam Lammers,NED,FW,25,1997,9.8,358,12,35,151,179,49,358,23,10,43.5,12,52.2,193,1064,354,9,12,6,37,14,268,67
Samir Ujkani,KVX,GK,34,1988,0.1,3,3,3,0,0,0,3,0,0,,0,,2,26,17,0,0,0,0,0,1,0
Samuele Perisan,ITA,GK,24,1997,7.0,242,218,242,0,0,0,242,0,0,,0,,103,502,323,0,0,0,0,0,88,0
Sebastian Walukiewicz,POL,DF,22,2000,6.7,459,82,298,156,6,3,459,4,4,100.0,0,0.0,264,1558,909,6,2,0,1,1,326,0
Sebastiano Luperto,ITA,DF,25,1996,34.8,2057,414,1236,783,52,23,2057,2,2,100.0,0,0.0,1125,5044,2598,13,6,1,6,3,1191,3
Tommaso Baldanzi,ITA,MF,19,2003,19.7,841,11,109,408,334,46,841,60,23,38.3,30,50.0,548,3500,1772,57,51,14,33,15,600,94
Tyronne Ebuehi,NGA,DF,26,1995,21.4,1089,105,452,437,210,28,1089,26,11,42.3,9,34.6,558,2977,1483,31,21,5,16,14,604,42
