General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Alessandro Bastoni,ITA,DF,23,1999,24.0,41,20,20,14,7,11,27,40.7,16,27,13,14,24,65,45,0
Alex Cordaz,ITA,GK,39,1983,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
André Onana,CMR,GK,26,1996,24.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,0
Danilo D'Ambrosio,ITA,DF,33,1988,8.1,25,17,17,7,1,15,27,55.6,12,12,4,8,10,35,17,0
Denzel Dumfries,NED,DF,26,1996,24.6,35,18,17,13,5,22,34,64.7,12,33,9,24,12,47,26,0
Edin Džeko,BIH,FW,36,1986,19.2,3,2,0,3,0,0,4,0.0,4,15,1,14,3,6,25,0
Federico Dimarco,ITA,DF,24,1997,23.0,31,25,6,18,7,9,19,47.4,10,15,4,11,18,49,20,0
Francesco Acerbi,ITA,DF,34,1988,26.9,33,19,22,7,4,20,27,74.1,7,25,18,7,41,74,85,2
Hakan Çalhanoğlu,TUR,MF,28,1994,26.3,48,27,17,26,5,16,43,37.2,27,30,5,25,25,73,13,1
Henrikh Mkhitaryan,ARM,MF,33,1989,22.1,41,26,13,22,6,14,41,34.1,27,27,4,23,21,62,18,0
Joaquín Correa,ARG,FW,27,1994,10.6,12,7,3,6,3,4,15,26.7,11,4,1,3,3,15,0,0
Kristjan Asllani,ALB,MF,20,2002,6.6,11,5,1,8,2,7,10,70.0,3,3,1,2,6,17,4,0
Lautaro Martínez,ARG,FW,24,1997,28.6,25,14,3,15,7,7,23,30.4,16,31,1,30,13,38,16,1
Marcelo Brozović,CRO,MF,29,1992,19.7,37,22,13,22,2,11,37,29.7,26,23,7,16,22,59,28,0
Matteo Darmian,ITA,DF,32,1989,22.5,56,30,29,15,12,31,47,66.0,16,33,5,28,21,77,36,0
Mattia Zanotti,ITA,DF,19,2003,0.3,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
Milan Škriniar,SVK,DF,27,1995,19.7,29,18,14,11,4,18,32,56.3,14,18,13,5,13,42,46,3
Nicolò Barella,ITA,MF,25,1997,29.0,49,25,17,26,6,28,53,52.8,25,29,5,24,12,61,12,0
Raoul Bellanova,ITA,DF,22,2000,5.5,14,6,11,2,1,9,14,64.3,5,6,1,5,4,18,14,0
Roberto Gagliardini,ITA,MF,28,1994,8.7,16,6,9,6,1,10,21,47.6,11,14,5,9,4,20,15,0
Robin Gosens,GER,DF,28,1994,13.2,34,18,15,10,9,15,25,60.0,10,16,2,14,23,57,15,0
Romelu Lukaku,BEL,FW,29,1993,18.4,3,1,1,0,2,2,5,40.0,3,3,1,2,0,3,16,0
Samir Handanović,SVN,GK,38,1984,13.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
Stefan de Vrij,NED,DF,30,1992,21.6,28,18,19,9,0,8,14,57.1,6,18,10,8,40,68,80,0
Valentin Carboni,ARG,"MF,DF",17,2005,0.3,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0
