General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Adrien Rabiot,FRA,MF,27,1995,32,2748,86,80.4,30.5,31,88,27,1,24,0,1.91,47,27,20,0.66,0.25,44.6,30.2,14.4,0.47,0.57
Alessandro Riccio,ITA,DF,20,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alessandro Sersanti,ITA,MF,20,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alex Sandro,BRA,DF,31,1991,25,1787,71,52.3,19.9,21,82,16,4,15,8,1.92,35,20,15,0.76,0.31,31.6,23.8,7.8,0.39,0.07
Arkadiusz Milik,POL,FW,28,1994,27,1586,59,46.4,17.6,17,77,6,10,28,1,1.74,28,13,15,0.85,0.46,28.0,18.2,9.8,0.56,0.37
Carlo Pinsoglio,ITA,GK,32,1990,0,,,,,0,,0,0,,38,,,,,,,,,,,
Cosimo Marco Da Graca,ITA,FW,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Daniele Rugani,ITA,DF,28,1994,9,564,63,16.5,6.3,6,88,5,3,12,29,2.11,9,2,7,1.12,0.61,8.6,6.3,2.3,0.37,0.01
Danilo,BRA,DF,31,1991,37,3184,86,93.1,35.4,35,90,35,2,17,0,1.95,53,25,28,0.79,2.7,51.4,36.1,15.3,0.43,1.02
Denis Zakaria,SUI,MF,25,1996,2,123,62,3.6,1.4,1,90,1,1,33,2,2.0,3,1,2,1.46,0.89,2.1,1.8,0.2,0.17,-0.2
Dušan Vlahović,SRB,FW,22,2000,27,1925,71,56.3,21.4,22,83,11,5,19,1,1.81,34,20,14,0.65,0.11,31.0,24.9,6.1,0.29,-0.17
Enzo Barrenechea,ARG,MF,21,2001,3,158,53,4.6,1.8,3,53,0,0,,7,3.0,4,4,0,0.0,-0.63,1.5,2.0,-0.5,-0.3,-0.7
Fabio Miretti,ITA,"MF,FW",18,2003,27,1234,46,36.1,13.7,14,67,1,13,23,7,1.78,14,9,5,0.36,-0.38,18.6,15.2,3.4,0.25,-0.17
Federico Chiesa,ITA,"DF,MF",24,1997,21,852,41,24.9,9.5,6,76,1,15,26,0,1.81,14,10,4,0.42,-0.24,14.9,10.0,4.9,0.52,0.21
Federico Gatti,ITA,DF,24,1998,18,1448,80,42.3,16.1,16,90,16,2,4,20,1.72,16,13,3,0.19,-0.73,22.1,16.7,5.4,0.34,-0.04
Filip Kostić,SRB,"DF,FW",29,1992,37,2564,69,75.0,28.5,33,75,12,4,26,1,1.86,38,32,6,0.21,-1.58,38.7,34.4,4.4,0.15,-0.83
Giovanni Garofani,ITA,GK,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Gleison Bremer,BRA,DF,25,1997,30,2634,88,77.0,29.3,30,88,24,0,,3,1.77,41,31,10,0.34,-1.15,39.6,33.3,6.3,0.21,-0.64
Juan Cuadrado,COL,"DF,FW",34,1988,31,2078,67,60.8,23.1,24,77,10,7,32,0,2.03,35,15,20,0.87,0.67,33.1,23.5,9.7,0.42,0.15
Leandro Paredes,ARG,MF,28,1994,25,977,39,28.6,10.9,8,76,3,17,22,4,1.68,15,12,3,0.28,-0.46,17.4,15.4,2.0,0.19,-0.24
Leonardo Bonucci,ITA,DF,35,1987,16,879,55,25.7,9.8,9,85,7,7,16,9,2.06,20,10,10,1.02,0.56,16.5,11.3,5.2,0.53,0.23
Manuel Locatelli,ITA,MF,24,1998,32,2446,76,71.5,27.2,29,81,16,3,31,2,1.94,40,19,21,0.77,0.59,40.5,27.8,12.7,0.47,0.38
Mattia Compagnon,ITA,MF,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Mattia De Sciglio,ITA,DF,29,1992,17,1042,61,30.5,11.6,11,76,4,6,34,2,2.18,17,8,9,0.78,0.25,13.4,12.4,0.9,0.08,-0.4
Mattia Perin,ITA,GK,29,1992,11,948,86,27.7,10.5,10,90,10,1,48,26,1.91,16,7,9,0.85,0.34,14.8,12.4,2.4,0.23,-0.18
Matìas Soulé,ARG,"MF,FW",19,2003,13,420,32,12.3,4.7,4,67,0,9,17,21,1.54,6,0,6,1.29,0.78,7.5,3.3,4.2,0.9,0.62
Moise Kean,ITA,FW,22,2000,28,995,36,29.1,11.1,11,64,0,17,17,2,1.89,11,8,3,0.27,-0.47,14.2,10.8,3.4,0.31,-0.07
Nicolò Fagioli,ITA,MF,21,2001,26,1520,58,44.4,16.9,17,76,8,9,26,8,2.0,31,16,15,0.89,0.51,26.1,17.4,8.7,0.51,0.27
Nicolò Rovella,ITA,MF,20,2001,3,27,9,0.8,0.3,0,,0,3,9,0,1.67,0,0,0,0.0,-0.61,0.7,0.2,0.5,1.75,1.4
Nikola Sekulov,ITA,MF,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Paul Pogba,FRA,"MF,FW",29,1993,6,111,19,3.2,1.2,1,23,0,5,18,3,2.0,3,0,3,2.43,1.89,2.1,1.0,1.1,0.91,0.57
Samuel Iling-Junior,ENG,"DF,FW",18,2003,12,318,27,9.3,3.5,1,81,0,11,22,15,2.08,7,0,7,1.98,1.52,6.8,2.8,4.0,1.15,0.86
Simone Scaglia,ITA,GK,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Tommaso Barbieri,ITA,DF,19,2002,3,109,36,3.2,1.2,2,51,0,1,8,8,1.0,0,2,-2,-1.65,-2.33,2.1,2.1,0.0,-0.01,-0.38
Weston McKennie,USA,"MF,DF",23,1998,15,1052,70,30.8,11.7,13,76,6,2,30,1,1.73,15,13,2,0.17,-0.63,16.0,14.5,1.4,0.12,-0.34
Wojciech Szczęsny,POL,GK,32,1990,28,2472,88,72.3,27.5,28,88,27,0,,6,1.93,40,26,14,0.51,-0.34,40.4,29.1,11.3,0.41,0.18
Ángel Di María,ARG,"FW,MF",34,1988,26,1363,52,39.9,15.1,15,70,3,11,29,1,1.81,25,21,4,0.26,-0.57,22.6,18.2,4.5,0.3,-0.11
