General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Alessandro Sorrentino,ITA,GK,20,2002,0,,,,,0,,0,0,,36,,,,,,,,,,,
Alessio Cragno,ITA,GK,28,1994,1,90,90,2.6,1.0,1,90,1,0,,37,0.0,0,3,-3,-3.0,-2.97,1.4,2.4,-1.1,-1.05,-0.93
Andrea Barberis,ITA,MF,28,1993,9,338,38,9.9,3.8,3,75,2,6,19,27,1.11,4,9,-5,-1.33,-1.36,4.6,6.0,-1.4,-0.37,-0.26
Andrea Carboni,ITA,DF,21,2001,4,167,42,4.9,1.9,1,90,1,3,26,15,0.0,2,7,-5,-2.69,-2.72,1.9,4.1,-2.1,-1.14,-1.05
Andrea Colpani,ITA,MF,23,1999,27,948,35,27.7,10.5,10,61,0,17,20,8,1.22,16,12,4,0.38,0.67,13.5,14.2,-0.7,-0.07,0.1
Andrea Ferraris,ITA,FW,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Andrea Petagna,ITA,FW,27,1995,31,1663,54,48.6,18.5,19,70,2,12,27,2,1.23,23,32,-9,-0.49,-0.74,22.4,27.2,-4.8,-0.26,-0.23
Andrea Ranocchia,ITA,DF,34,1988,1,47,47,1.4,0.5,1,47,0,0,,1,0.0,0,2,-2,-3.83,-3.78,0.1,1.0,-0.9,-1.82,-1.7
Armando Izzo,ITA,DF,30,1992,30,2466,82,72.1,27.4,29,85,19,1,5,0,1.73,39,25,14,0.51,2.21,33.1,32.8,0.3,0.01,0.55
Carlos Augusto,BRA,DF,23,1999,35,3083,88,90.1,34.3,35,88,31,0,,0,1.4,45,46,-1,-0.03,0.77,42.9,44.5,-1.6,-0.05,0.97
Christian Gytkjær,DEN,"FW,MF",32,1990,22,559,25,16.3,6.2,3,69,1,19,18,16,1.0,9,7,2,0.32,0.51,11.1,8.0,3.1,0.5,0.77
Dany Mota,POR,"FW,MF",24,1998,29,1912,66,55.9,21.2,21,79,6,8,33,2,1.52,28,22,6,0.28,0.88,23.0,28.4,-5.4,-0.25,-0.25
Filippo Ranocchia,ITA,MF,21,2001,14,530,38,15.5,5.9,5,63,1,9,24,20,1.29,6,9,-3,-0.51,-0.48,6.3,7.8,-1.5,-0.25,-0.13
Franco Carboni,ITA,"DF,FW",19,2003,3,66,22,1.9,0.7,0,,0,3,22,15,2.0,1,0,1,1.36,1.5,0.5,1.2,-0.7,-0.95,-0.82
Gabriele Ferrarini,ITA,DF,22,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Gianluca Caprari,ITA,"MF,FW",29,1993,37,2441,66,71.4,27.1,32,71,5,5,32,0,1.38,33,42,-9,-0.33,-0.79,31.0,35.1,-4.1,-0.15,-0.03
