General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Alessio Cragno,ITA,GK,28,1994,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Andrea Barberis,ITA,MF,28,1993,3.8,0,2,0,0.0,0.53,0.0,0.0,,26.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Andrea Carboni,ITA,DF,21,2001,1.9,0,1,1,100.0,0.54,0.54,0.0,0.0,10.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Andrea Colpani,ITA,MF,23,1999,10.5,4,25,10,40.0,2.37,0.95,0.16,0.4,19.1,0,0,0,2.1,2.1,0.09,1.9,1.9
Andrea Petagna,ITA,FW,27,1995,18.5,4,35,12,34.3,1.89,0.65,0.09,0.25,13.2,0,1,1,5.7,4.9,0.14,-1.7,-1.9
Andrea Ranocchia,ITA,DF,34,1988,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Armando Izzo,ITA,DF,30,1992,27.4,1,16,4,25.0,0.58,0.15,0.06,0.25,10.4,0,0,0,2.1,2.1,0.13,-1.1,-1.1
Carlos Augusto,BRA,DF,23,1999,34.3,6,42,16,38.1,1.23,0.47,0.14,0.38,15.0,0,0,0,4.4,4.4,0.11,1.6,1.6
Christian Gytkjær,DEN,"FW,MF",32,1990,6.2,1,12,5,41.7,1.93,0.81,0.08,0.2,12.8,1,0,1,3.9,3.1,0.26,-2.9,-2.1
Dany Mota,POR,"FW,MF",24,1998,21.2,5,28,11,39.3,1.32,0.52,0.18,0.45,12.1,0,0,0,5.1,5.1,0.18,-0.1,-0.1
Filippo Ranocchia,ITA,MF,21,2001,5.9,1,19,8,42.1,3.23,1.36,0.05,0.13,25.2,5,0,0,1.2,1.2,0.07,-0.2,-0.2
Franco Carboni,ITA,"DF,FW",19,2003,0.7,0,1,0,0.0,1.36,0.0,0.0,,16.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Gianluca Caprari,ITA,"MF,FW",29,1993,27.1,5,50,13,26.0,1.84,0.48,0.08,0.31,20.0,1,1,1,5.0,4.2,0.08,0.0,-0.2
Giulio Donati,ITA,DF,32,1990,4.7,1,2,1,50.0,0.43,0.21,0.5,1.0,19.2,0,0,0,0.4,0.4,0.2,0.6,0.6
Luca Caldirola,ITA,DF,31,1991,26.1,2,10,4,40.0,0.38,0.15,0.2,0.5,10.9,0,0,0,1.1,1.1,0.11,0.9,0.9
Luca Marrone,ITA,DF,32,1990,1.5,0,1,0,0.0,0.67,0.0,0.0,,17.6,0,0,0,0.1,0.1,0.1,-0.1,-0.1
Marco D'Alessandro,ITA,"DF,FW",31,1991,3.2,0,4,1,25.0,1.24,0.31,0.0,0.0,16.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Marlon,BRA,DF,26,1995,17.7,0,5,1,20.0,0.28,0.06,0.0,0.0,11.0,0,0,0,0.3,0.2,0.05,-0.3,-0.2
Matteo Pessina,ITA,MF,25,1997,32.6,5,25,6,24.0,0.77,0.18,0.08,0.33,19.2,0,3,3,5.1,2.8,0.11,-0.1,-0.8
Mattia Valoti,ITA,"MF,FW",28,1993,5.0,0,2,1,50.0,0.4,0.2,0.0,0.0,9.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Michele Di Gregorio,ITA,GK,25,1997,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicolò Rovella,ITA,MF,20,2001,19.3,1,21,6,28.6,1.09,0.31,0.05,0.17,25.5,1,0,0,1.2,1.2,0.06,-0.2,-0.2
Pablo Marí,ESP,DF,28,1993,27.6,1,10,2,20.0,0.36,0.07,0.1,0.5,15.2,0,0,0,0.6,0.6,0.06,0.4,0.4
Patrick Ciurria,ITA,"DF,MF",27,1995,30.6,6,50,23,46.0,1.63,0.75,0.12,0.26,20.2,0,0,0,4.8,4.8,0.1,1.2,1.2
Pepín,EQG,MF,25,1996,12.5,0,10,3,30.0,0.8,0.24,0.0,0.0,23.2,1,0,0,0.5,0.5,0.05,-0.5,-0.5
Salvatore Molina,ITA,DF,30,1992,2.5,0,1,0,0.0,0.39,0.0,0.0,,16.1,0,0,0,0.0,0.0,0.04,0.0,0.0
Samuele Birindelli,ITA,DF,23,1999,15.6,0,14,4,28.6,0.9,0.26,0.0,0.0,17.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1
Samuele Vignato,ITA,"MF,FW",18,2004,0.7,0,1,0,0.0,1.45,0.0,0.0,,21.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Stefano Sensi,ITA,MF,26,1995,18.0,3,18,7,38.9,1.0,0.39,0.17,0.43,24.8,4,0,0,1.4,1.4,0.08,1.6,1.6
Valentin Antov,BUL,DF,21,2000,3.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Warren Bondo,FRA,MF,18,2003,0.7,0,1,0,0.0,1.5,0.0,0.0,,21.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
