General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Adam Ounas,ALG,FW,25,1996,0.2,13,17,76.5,297,80,6,7,85.7,2,3,66.7,5,5,100.0,0,0.0,0.0,0.0,0,2,1,0,4
Alessandro Zanoli,ITA,DF,21,2000,0.1,9,11,81.8,125,20,4,5,80.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Alessio Zerbin,ITA,FW,23,1999,2.2,56,78,71.8,721,132,31,39,79.5,16,24,66.7,3,4,75.0,0,0.0,0.1,0.0,0,3,1,0,6
Alex Meret,ITA,GK,25,1997,34.0,818,931,87.9,18824,11619,189,189,100.0,438,441,99.3,188,298,63.1,0,0.0,0.0,0.0,0,1,0,0,0
Amir Rrahmani,KVX,DF,28,1994,27.2,1977,2167,91.2,39821,13543,641,688,93.2,1039,1081,96.1,266,349,76.2,1,1.0,0.8,0.0,12,149,7,0,135
Andre-Frank Zambo Anguissa,CMR,MF,26,1995,33.9,1988,2261,87.9,28244,6636,1153,1248,92.4,646,729,88.6,90,133,67.7,5,2.6,2.4,2.4,33,185,25,0,181
Bartosz Bereszyński,POL,DF,30,1992,1.8,87,105,82.9,1252,420,54,59,91.5,26,33,78.8,4,5,80.0,1,0.2,0.1,0.8,2,5,3,0,7
Diego Demme,GER,MF,30,1991,1.6,181,191,94.8,3026,924,84,86,97.7,78,80,97.5,16,18,88.9,0,0.0,0.1,0.0,1,13,1,0,16
Elif Elmas,MKD,"FW,MF",22,1999,18.1,879,1012,86.9,12087,2837,551,596,92.4,252,291,86.6,37,58,63.8,3,1.9,2.3,1.1,27,60,31,9,73
Giacomo Raspadori,ITA,"FW,MF",22,2000,10.1,348,452,77.0,5535,1098,180,211,85.3,115,139,82.7,30,61,49.2,2,1.3,1.3,0.7,18,20,13,1,33
Gianluca Gaetano,ITA,MF,22,2000,0.8,48,62,77.4,655,152,28,29,96.6,14,20,70.0,3,4,75.0,1,0.2,0.1,0.8,1,3,0,0,4
Giovanni Di Lorenzo,ITA,DF,28,1993,36.2,2272,2687,84.6,36646,12660,1208,1303,92.7,847,971,87.2,165,259,63.7,4,4.7,4.4,-0.7,47,177,61,9,256
Giovanni Simeone,ARG,FW,27,1995,4.5,76,106,71.7,1016,178,44,55,80.0,18,30,60.0,5,6,83.3,1,1.2,0.3,-0.2,5,3,2,0,9
Hirving Lozano,MEX,FW,27,1995,17.8,441,588,75.0,6393,1550,250,291,85.9,140,182,76.9,30,50,60.0,3,3.3,3.3,-0.3,30,25,40,22,49
Juan Jesus,BRA,DF,31,1991,10.4,669,742,90.2,12151,4256,252,265,95.1,356,387,92.0,50,67,74.6,0,0.1,0.3,-0.1,2,45,1,0,55
Karim Zedadka,FRA,FW,22,2000,0.2,11,16,68.8,181,15,8,9,88.9,2,5,40.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0
Khvicha Kvaratskhelia,GEO,FW,21,2001,28.0,900,1136,79.2,12766,2560,570,623,91.5,225,301,74.8,63,118,53.4,10,7.7,6.6,2.3,54,41,46,8,91
Kim Min-jae,KOR,DF,25,1996,33.9,2552,2812,90.8,46165,17303,1026,1090,94.1,1269,1347,94.2,214,295,72.5,2,1.9,0.9,0.1,10,201,8,2,169
Leo Skiri Østigård,NOR,DF,22,1999,4.7,306,357,85.7,6056,2161,108,118,91.5,150,173,86.7,41,55,74.5,0,0.0,0.1,0.0,0,26,0,0,23
Mathías Olivera,URU,DF,24,1997,18.3,1200,1381,86.9,16376,4940,780,832,93.8,316,366,86.3,57,101,56.4,2,2.1,2.0,-0.1,24,100,12,4,88
Matteo Politano,ITA,FW,28,1993,13.0,468,641,73.0,7418,2472,258,290,89.0,150,202,74.3,41,89,46.1,3,3.6,2.4,-0.6,34,34,27,8,72
Mário Rui,POR,DF,31,1991,19.4,1408,1734,81.2,25486,8770,685,748,91.6,520,625,83.2,180,290,62.1,6,4.0,4.4,2.0,46,146,54,17,153
Pierluigi Gollini,ITA,GK,27,1995,4.0,136,159,85.5,3405,2362,31,31,100.0,62,63,98.4,43,65,66.2,0,0.0,0.0,0.0,0,1,0,0,0
Piotr Zieliński,POL,MF,28,1994,25.4,1300,1552,83.8,18650,5534,767,833,92.1,359,423,84.9,95,168,56.5,8,7.4,7.5,0.6,84,122,45,7,128
Stanislav Lobotka,SVK,MF,27,1994,34.5,2163,2301,94.0,35855,8577,1040,1095,95.0,890,933,95.4,172,191,90.1,1,1.0,1.3,0.0,17,214,14,0,172
Tanguy Ndombele,FRA,MF,25,1996,9.0,504,574,87.8,6796,1666,306,336,91.1,143,154,92.9,19,29,65.5,0,0.5,0.5,-0.5,9,41,9,0,52
Victor Osimhen,NGA,FW,23,1998,28.5,276,400,69.0,3890,582,158,199,79.4,71,108,65.7,21,29,72.4,4,2.8,1.7,1.2,34,20,10,2,28
