General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Abdelhamid Sabiri,MAR,"MF,FW",25,1996,18,12,1069,11.9,2,0,2,1,1,2,5,0,3.0,1.4,1.4,2.8,7,49,54,0.17,0.0,0.17,0.08,0.08,0.26,0.12,0.38,0.11,0.23
Alessandro Zanoli,ITA,DF,21,2000,22,16,1540,17.1,2,3,5,2,0,0,3,0,2.6,2.6,1.2,3.8,50,36,60,0.12,0.18,0.29,0.12,0.29,0.15,0.07,0.22,0.15,0.22
Alex Ferrari,ITA,DF,28,1994,12,10,868,9.6,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.5,7,25,3,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
Andrea Conti,ITA,DF,28,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartosz Bereszyński,POL,DF,30,1992,15,15,1198,13.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,20,44,40,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
Bram Nuytinck,NED,DF,32,1990,19,19,1498,16.6,0,1,1,0,0,0,4,0,0.3,0.3,0.3,0.5,4,23,3,0.0,0.06,0.06,0.0,0.06,0.02,0.02,0.03,0.02,0.03
Bruno Amione,ARG,DF,20,2002,26,25,2086,23.2,1,1,2,1,0,0,10,1,0.9,0.9,0.6,1.5,11,54,9,0.04,0.04,0.09,0.04,0.09,0.04,0.03,0.06,0.04,0.06
Daniele Montevago,ITA,FW,19,2003,6,3,231,2.6,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,1,0,10,0.0,0.0,0.0,0.0,0.0,0.19,0.09,0.28,0.19,0.28
Emil Audero,ITA,GK,25,1997,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emirhan İlkhan,TUR,MF,18,2004,8,0,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,8,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08
Fabio Depaoli,ITA,"DF,MF",25,1997,3,1,136,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,2,10,6,0.0,0.0,0.0,0.0,0.0,0.12,0.26,0.38,0.12,0.38
Fabio Quagliarella,ITA,FW,39,1983,23,7,800,8.9,1,1,2,1,0,0,2,0,2.8,2.8,0.7,3.5,5,25,72,0.11,0.11,0.23,0.11,0.23,0.31,0.08,0.4,0.31,0.4
Filip Đuričić,SRB,"MF,FW",30,1992,32,27,2171,24.1,3,0,3,3,0,0,9,0,2.7,2.7,1.9,4.6,39,77,83,0.12,0.0,0.12,0.12,0.12,0.11,0.08,0.19,0.11,0.19
Flavio Paoletti,ITA,MF,19,2003,12,1,284,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Francesco Caputo,ITA,FW,34,1987,15,13,1094,12.2,1,0,1,1,0,0,0,0,1.9,1.9,0.5,2.4,6,11,76,0.08,0.0,0.08,0.08,0.08,0.15,0.04,0.19,0.15,0.19
Gerard Yepes,ESP,MF,19,2002,5,2,198,2.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,7,6,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
Gonzalo Villar,ESP,MF,24,1998,15,8,696,7.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,9,26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Winks,ENG,MF,26,1996,20,19,1716,19.1,0,0,0,0,0,0,2,0,0.6,0.6,1.3,1.8,19,117,17,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1
Ignacio Pussetto,ARG,"MF,DF",26,1995,5,1,152,1.7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,2,1,17,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2
Jeison Murillo,COL,DF,30,1992,20,12,1057,11.7,0,0,0,0,0,0,6,1,0.2,0.2,0.0,0.2,8,35,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Jesé,ESP,FW,29,1993,11,1,210,2.3,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,1,1,15,0.43,0.43,0.86,0.43,0.86,0.13,0.2,0.34,0.13,0.34
Koray Günter,GER,DF,27,1994,10,8,776,8.6,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,4,21,2,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Lorenzo Malagrida,ITA,"MF,DF",18,2003,6,0,109,1.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,10,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.21,0.12,0.21
Manolo Gabbiadini,ITA,"FW,MF",30,1991,35,27,2354,26.2,7,2,9,7,0,0,6,0,7.4,7.4,4.5,11.9,32,55,111,0.27,0.08,0.34,0.27,0.34,0.28,0.17,0.45,0.28,0.45
Manuel De Luca,ITA,"FW,MF",24,1998,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marios Oikonomou,GRE,DF,29,1992,6,3,220,2.4,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.3,0,2,0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13
Martin Turk,SVN,GK,18,2003,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mehdi Léris,ALG,"MF,DF",24,1998,32,29,2460,27.3,1,1,2,1,0,0,13,0,3.4,3.4,1.8,5.2,56,62,165,0.04,0.04,0.07,0.04,0.07,0.13,0.07,0.19,0.13,0.19
Mickaël Cuisance,FRA,MF,22,1999,12,9,618,6.9,0,0,0,0,0,0,1,0,0.5,0.5,0.7,1.2,11,23,31,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.17,0.07,0.17
Mihailo Ivanović,SRB,FW,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicola Murru,ITA,DF,27,1994,20,5,784,8.7,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,7,27,13,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Nicola Ravaglia,ITA,GK,33,1988,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omar Colley,GAM,DF,29,1992,16,15,1384,15.4,1,0,1,1,0,0,5,0,1.2,1.2,0.0,1.2,3,33,2,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.08,0.08,0.08
Ronaldo Vieira,ENG,MF,24,1998,16,8,815,9.1,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,6,39,5,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Sam Lammers,NED,FW,25,1997,19,13,1100,12.2,1,1,2,1,0,0,1,0,2.5,2.5,1.2,3.7,17,19,65,0.08,0.08,0.16,0.08,0.16,0.2,0.1,0.3,0.2,0.3
Samuel Ntanda,BEL,MF,17,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,3.77,0.0,3.77,3.77,3.77
Telasco Segovia,VEN,MF,19,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommaso Augello,ITA,DF,27,1994,37,35,3061,34.0,2,5,7,2,0,0,3,0,1.0,1.0,3.9,4.8,84,119,153,0.06,0.15,0.21,0.06,0.21,0.03,0.11,0.14,0.03,0.14
Tomás Rincón,VEN,MF,34,1988,34,30,2555,28.4,0,2,2,0,0,0,7,1,0.6,0.6,1.2,1.8,27,122,35,0.0,0.07,0.07,0.0,0.07,0.02,0.04,0.06,0.02,0.06
Valerio Verre,ITA,MF,28,1994,18,6,677,7.5,0,0,0,0,0,0,5,0,0.6,0.6,1.1,1.7,16,45,27,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.22,0.08,0.22
