General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Abdou Harroui,NED,MF,24,1998,7.2,17,6,6,7,4,2,7,28.6,5,6,1,5,2,19,10,0
Agustín Álvarez Martínez,URU,"FW,MF",21,2001,4.1,6,3,0,5,1,1,4,25.0,3,5,1,4,3,9,3,0
Alessandro Russo,ITA,GK,21,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Andrea Consigli,ITA,GK,35,1987,35.0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,13,3
Andrea Pinamonti,ITA,FW,23,1999,24.0,10,7,0,5,5,3,7,42.9,4,19,2,17,2,12,11,0
Armand Lauriente,FRA,FW,23,1998,24.2,21,15,5,7,9,8,21,38.1,13,20,0,20,12,33,8,0
Davide Frattesi,ITA,MF,22,1999,31.9,63,36,24,29,10,25,44,56.8,19,27,6,21,16,79,42,0
Domenico Berardi,ITA,FW,27,1994,20.7,23,14,8,10,5,9,40,22.5,31,13,0,13,19,42,18,0
Emil Ceide,NOR,FW,20,2001,5.7,5,2,5,0,0,3,5,60.0,2,3,1,2,1,6,0,0
Filippo Romagna,ITA,DF,25,1997,0.5,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0
Giacomo Raspadori,ITA,FW,22,2000,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Gian Marco Ferrari,ITA,DF,30,1992,24.7,23,16,11,10,2,10,17,58.8,7,29,20,9,23,46,81,4
Gianluca Pegolo,ITA,GK,41,1981,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Giorgos Kyriakopoulos,GRE,"FW,DF",26,1996,8.5,21,8,7,9,5,10,14,71.4,4,7,1,6,11,32,12,1
Grégoire Defrel,MTQ,FW,31,1991,13.0,9,7,5,2,2,4,13,30.8,9,11,0,11,2,11,5,0
Hamed Junior Traorè,CIV,"MF,FW",22,2000,6.6,11,6,4,6,1,4,11,36.4,7,4,0,4,2,13,0,1
Janis Antiste,FRA,FW,19,2002,0.6,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Jeremy Toljan,GER,DF,27,1994,29.7,36,23,17,14,5,22,33,66.7,11,31,14,17,18,54,60,1
Kaan Ayhan,TUR,DF,27,1994,6.1,10,4,6,4,0,7,7,100.0,0,5,4,1,5,15,26,1
Kristian Thorstvedt,NOR,MF,23,1999,12.6,16,7,4,9,3,6,17,35.3,11,19,5,14,14,30,13,0
Luca D'Andrea,ITA,FW,17,2004,3.5,4,0,2,1,1,1,4,25.0,3,2,0,2,1,5,1,0
Martin Erlic,CRO,DF,24,1998,25.9,27,16,18,8,1,10,23,43.5,13,36,23,13,31,58,120,1
Matheus Henrique,BRA,MF,24,1997,21.6,26,12,9,11,6,12,24,50.0,12,15,4,11,12,38,10,0
Maxime Lopez,FRA,MF,24,1997,25.5,42,18,26,12,4,16,56,28.6,40,24,6,18,22,64,21,0
Mert Müldür,TUR,"FW,DF",23,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nadir Zortea,ITA,DF,23,1999,7.3,15,8,12,2,1,9,14,64.3,5,10,4,6,4,19,21,0
Nedim Bajrami,ALB,"FW,MF",23,1999,9.1,12,7,6,2,4,5,11,45.5,6,9,1,8,7,19,6,0
Pedro Obiang,EQG,MF,30,1992,9.7,26,17,12,12,2,10,18,55.6,8,12,2,10,8,34,15,0
Riccardo Marchizza,ITA,DF,24,1998,3.1,2,2,1,1,0,2,4,50.0,2,2,0,2,2,4,8,0
Rogério,BRA,DF,24,1998,33.3,37,21,22,8,7,17,35,48.6,18,32,9,23,37,74,70,0
Ruan,BRA,DF,23,1999,19.0,38,26,25,12,1,19,29,65.5,10,29,17,12,24,62,80,3
