General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Aleksei Miranchuk,RUS,MF,26,1995,23.2,11,5,3,4,4,3,11,27.3,8,11,0,11,2,13,5,0
Alessandro Buongiorno,ITA,DF,23,1999,30.2,38,25,22,16,0,16,31,51.6,15,38,19,19,60,98,105,2
Andrew Gravillon,GLP,DF,24,1998,3.5,3,3,0,3,0,0,0,,0,4,2,2,9,12,16,0
Antonio Sanabria,PAR,FW,26,1996,27.0,11,5,3,3,5,1,7,14.3,6,9,2,7,4,15,7,0
Brian Bayeye,COD,DF,22,2000,0.7,3,0,3,0,0,1,1,100.0,0,1,1,0,1,4,2,0
David Zima,CZE,DF,21,2000,4.5,9,5,5,4,0,3,4,75.0,1,7,2,5,9,18,11,2
Demba Seck,SEN,"MF,FW",21,2001,5.8,5,2,3,2,0,2,3,66.7,1,3,1,2,1,6,1,0
Emirhan İlkhan,TUR,MF,18,2004,1.0,1,1,0,1,0,1,1,100.0,0,3,1,2,2,3,2,0
Gvidas Gineitis,LTU,MF,18,2004,1.5,3,1,0,2,1,1,2,50.0,1,0,0,0,0,3,1,0
Ivan Ilić,SRB,MF,21,2001,13.1,18,7,6,11,1,10,20,50.0,10,12,3,9,5,23,10,0
Jacopo Segre,ITA,DF,25,1997,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Karol Linetty,POL,MF,27,1995,21.0,32,17,7,22,3,13,25,52.0,12,28,8,20,19,51,25,0
Koffi Djidji,CIV,DF,29,1992,26.9,50,25,32,17,1,18,32,56.3,14,29,14,15,34,84,72,0
Michel Ndary Adopo,FRA,"MF,DF",22,2000,2.9,7,2,4,2,1,1,3,33.3,2,2,2,0,1,8,4,0
Mërgim Vojvoda,KVX,DF,27,1995,19.1,22,12,15,6,1,12,24,50.0,12,14,2,12,10,32,31,1
Nemanja Radonjić,SRB,"MF,FW",26,1996,16.2,2,1,2,0,0,0,4,0.0,4,3,0,3,2,4,4,0
Nikola Vlašić,CRO,"MF,FW",24,1997,30.3,32,21,9,16,7,15,34,44.1,19,25,2,23,10,42,14,0
Ola Aina,NGA,DF,25,1996,9.7,17,13,5,8,4,9,15,60.0,6,12,2,10,11,28,26,0
Perr Schuurs,NED,DF,22,1999,25.8,51,25,29,17,5,14,26,53.8,12,28,16,12,28,79,102,0
Pietro Pellegri,ITA,FW,21,2001,5.2,6,2,1,3,2,2,3,66.7,1,5,1,4,0,6,4,0
Ricardo Rodríguez,SUI,DF,29,1992,29.7,54,33,30,17,7,28,42,66.7,14,30,15,15,38,92,61,0
Ronaldo Vieira,ENG,MF,24,1998,0.2,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0
Samuele Ricci,ITA,MF,20,2001,23.0,32,21,17,10,5,18,23,78.3,5,20,5,15,17,49,29,1
Saša Lukić,SRB,MF,25,1996,13.3,21,14,10,10,1,9,15,60.0,6,17,7,10,13,34,10,0
Valentino Lazaro,AUT,DF,26,1996,15.3,10,5,6,0,4,6,14,42.9,8,16,3,13,3,13,29,0
Vanja Milinković-Savić,SRB,GK,25,1997,38.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,19,1
Wilfried Singo,CIV,DF,21,2000,22.7,27,17,14,10,3,12,19,63.2,7,15,2,13,12,39,33,1
Yann Karamoh,FRA,"MF,FW",24,1998,8.0,5,2,3,2,0,1,5,20.0,4,5,0,5,0,5,2,1
