General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Aleksa Terzić,SRB,DF,22,1999,22,8,935,10.4,1,1,2,1,0,0,2,0,0.4,0.4,1.9,2.3,49,40,61,0.1,0.1,0.19,0.1,0.19,0.04,0.18,0.22,0.04,0.22
Alessandro Bianco,ITA,MF,19,2002,7,2,153,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,9,2,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Alfred Duncan,GHA,MF,29,1993,25,13,1103,12.3,1,0,1,1,0,0,3,0,0.5,0.5,0.6,1.1,18,70,30,0.08,0.0,0.08,0.08,0.08,0.04,0.05,0.09,0.04,0.09
Antonín Barák,CZE,MF,27,1994,30,21,1799,20.0,2,0,2,2,0,0,4,0,2.6,2.6,1.6,4.1,45,82,93,0.1,0.0,0.1,0.1,0.1,0.13,0.08,0.21,0.13,0.21
Arthur Cabral,BRA,FW,24,1998,28,15,1432,15.9,8,1,9,6,2,2,4,0,7.9,6.3,0.8,7.0,11,21,86,0.5,0.06,0.57,0.38,0.44,0.49,0.05,0.54,0.39,0.44
Christian Kouamé,CIV,FW,24,1997,28,22,1866,20.7,4,4,8,4,0,0,5,0,5.3,5.3,3.7,9.0,50,54,203,0.19,0.19,0.39,0.19,0.39,0.26,0.18,0.43,0.26,0.43
Cristiano Biraghi,ITA,DF,29,1992,33,30,2551,28.3,2,4,6,2,0,1,1,0,1.8,1.1,5.5,6.6,69,161,113,0.07,0.14,0.21,0.07,0.21,0.07,0.19,0.26,0.04,0.23
Dodô,BRA,DF,23,1998,33,28,2331,25.9,1,3,4,1,0,0,5,1,0.7,0.7,2.2,2.9,72,141,104,0.04,0.12,0.15,0.04,0.15,0.03,0.09,0.11,0.03,0.11
Gaetano Castrovilli,ITA,MF,25,1997,15,7,718,8.0,2,1,3,2,0,0,3,0,1.2,1.2,1.1,2.3,12,14,16,0.25,0.13,0.38,0.25,0.38,0.15,0.14,0.29,0.15,0.29
Giacomo Bonaventura,ITA,MF,32,1989,30,21,1911,21.2,5,1,6,5,0,0,4,1,4.3,4.3,3.1,7.4,64,102,91,0.24,0.05,0.28,0.24,0.28,0.2,0.15,0.35,0.2,0.35
