comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 2–0,18bb7c10,47c64c55,1,90,0,0,0,0,3,0,0,0,48,2,0,3,0.3,0.3,0.0,3,1,25,35,71.4,1,31,5,3,1,2022-08-05,e62f6e78
Premier League,Matchweek 2,W 4–2,18bb7c10,a2d435b3,1,83,0,0,0,0,1,1,0,0,41,1,0,1,0.0,0.0,0.3,5,1,28,34,82.4,1,25,3,1,0,2022-08-13,7483b97f
Premier League,Matchweek 3,W 3–0,18bb7c10,4ba7cbea,1,87,0,0,0,0,1,0,0,0,55,1,3,0,0.0,0.0,0.2,3,1,36,41,87.8,2,41,6,7,2,2022-08-20,7f11dd9e
Premier League,Matchweek 4,W 2–1,18bb7c10,fd962109,1,90,0,1,0,0,2,1,0,0,62,0,1,3,0.5,0.5,0.2,3,1,39,49,79.6,6,39,6,12,3,2022-08-27,8b69fd2d
Premier League,Matchweek 5,W 2–1,18bb7c10,8602292d,1,87,0,1,0,0,3,0,0,0,46,0,0,0,0.5,0.5,0.3,5,1,28,34,82.4,2,31,3,5,5,2022-08-31,cc235aad
Premier League,Matchweek 6,L 1–3,18bb7c10,19538871,1,90,1,0,0,0,4,1,1,0,46,2,0,0,0.4,0.4,0.0,3,0,24,34,70.6,3,23,4,2,1,2022-09-04,61ddafa5
Premier League,Matchweek 8,W 3–0,18bb7c10,cd051869,1,89,0,2,0,0,3,1,0,0,56,2,1,0,0.2,0.2,0.3,4,2,42,47,89.4,3,39,1,1,0,2022-09-18,fd5626e6
Premier League,Matchweek 9,W 3–1,18bb7c10,361ca564,1,90,0,0,0,0,3,1,0,0,51,1,0,1,0.3,0.3,0.3,9,2,33,41,80.5,2,40,4,3,1,2022-10-01,aefe3b90
Premier League,Matchweek 10,W 3–2,18bb7c10,822bd0ba,1,89,2,0,1,1,3,2,0,0,37,1,1,2,1.9,1.3,0.0,4,1,18,24,75.0,1,18,4,3,1,2022-10-09,84a48413
Premier League,Matchweek 11,W 1–0,18bb7c10,5bfb9659,1,81,1,0,0,0,1,1,0,0,37,1,0,1,0.1,0.1,0.1,3,1,16,27,59.3,0,21,4,6,4,2022-10-16,92885cfc
