comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,D 2–2,cd051869,a2d435b3,1,72,0,0,0,0,0,0,0,0,47,2,1,3,0.0,0.0,0.0,1,0,36,40,90.0,1,25,0,0,0,2022-08-07,3249ba27
Premier League,Matchweek 2,W 4–0,cd051869,19538871,1,79,0,0,0,0,0,0,0,0,29,0,1,1,0.0,0.0,0.1,1,0,15,24,62.5,1,15,0,0,0,2022-08-13,04712d4e
Premier League,Matchweek 3,L 2–3,cd051869,fd962109,1,90,1,0,0,0,2,2,0,0,56,2,2,1,0.2,0.2,0.0,3,1,32,44,72.7,2,24,0,3,1,2022-08-20,a107c037
Premier League,Matchweek 4,D 1–1,cd051869,d3fd31cc,Y*,68,0,0,0,0,3,1,0,0,66,4,2,0,0.2,0.2,0.0,1,0,48,58,82.8,4,53,0,1,1,2022-08-27,db59fc65
Premier League,Matchweek 16,W 2–1,cd051869,b8fd03ef,0,29,0,0,0,0,0,0,0,0,10,1,2,1,0.0,0.0,0.0,0,0,3,4,75.0,1,1,0,0,0,2022-11-12,28b60c1b
Premier League,Matchweek 17,D 2–2,cd051869,361ca564,Y*,81,0,1,0,0,1,0,0,0,53,3,3,1,0.0,0.0,0.6,1,1,26,38,68.4,3,13,0,0,0,2022-12-26,14e4f648
Premier League,Matchweek 18,W 2–0,cd051869,7c21e445,Y*,90,0,0,0,0,1,1,0,0,65,2,1,1,0.2,0.2,0.0,1,1,42,48,87.5,5,31,0,3,0,2022-12-30,56acbbbe
Premier League,Matchweek 19,W 3–1,cd051869,822bd0ba,Y*,90,0,0,0,0,1,1,0,0,49,1,3,2,0.0,0.0,0.0,3,0,13,33,39.4,2,19,0,0,0,2023-01-02,af6aa183
Premier League,Matchweek 20,W 2–0,cd051869,4ba7cbea,Y*,90,0,0,0,0,1,1,0,0,52,3,2,1,0.1,0.1,0.0,1,1,27,45,60.0,5,16,0,0,0,2023-01-14,3f992264
Premier League,Matchweek 21,D 0–0,cd051869,5bfb9659,Y*,90,0,0,0,0,0,0,0,0,62,4,3,2,0.0,0.0,0.1,2,0,36,49,73.5,6,18,0,1,0,2023-01-22,f0e7d8a8
Premier League,Matchweek 22,W 3–0,cd051869,33c895d4,Y*,90,0,0,0,0,0,0,0,0,52,1,2,3,0.0,0.0,0.0,5,0,32,42,76.2,3,23,0,1,1,2023-02-04,ef31dad5
Premier League,Matchweek 23,D 1–1,cd051869,18bb7c10,Y*,90,0,1,0,0,1,0,1,0,39,1,1,0,0.1,0.1,1.0,2,1,18,27,66.7,3,11,1,2,1,2023-02-11,7caa56bc
Premier League,Matchweek 24,D 1–1,cd051869,47c64c55,Y*,82,0,0,0,0,3,1,1,0,64,2,0,2,0.3,0.3,0.0,2,0,35,46,76.1,6,26,0,0,0,2023-02-18,f6370484
Premier League,Matchweek 26,W 3–2,cd051869,fd962109,Y*,90,0,0,0,0,0,0,0,0,40,3,0,0,0.0,0.0,0.0,2,1,24,31,77.4,4,18,1,1,1,2023-03-06,3dce3a24
Premier League,Matchweek 27,L 0–1,cd051869,d3fd31cc,Y*,73,0,0,0,0,1,0,1,0,56,3,0,2,0.0,0.0,0.3,1,0,40,48,83.3,4,31,0,0,0,2023-03-11,980f57d4
Premier League,Matchweek 7,W 2–0,cd051869,33c895d4,Y*,90,0,1,0,0,1,0,0,0,51,2,2,2,0.1,0.1,0.9,3,1,30,38,78.9,4,18,0,1,0,2023-03-15,a4202b5b
Premier League,Matchweek 28,D 1–1,cd051869,a2d435b3,Y*,90,0,0,0,0,0,0,1,0,72,4,2,3,0.0,0.0,0.0,0,0,44,57,77.2,8,29,1,2,1,2023-03-18,7647948e
Premier League,Matchweek 29,D 3–3,cd051869,d07537b9,1,90,0,0,0,0,0,0,0,0,31,4,2,2,0.0,0.0,0.0,0,0,14,19,73.7,2,10,0,0,0,2023-04-01,ead2251e
Premier League,Matchweek 25,L 0–1,cd051869,19538871,1,74,0,0,0,0,1,0,1,0,26,2,1,1,0.0,0.0,0.0,1,0,12,19,63.2,0,12,0,0,0,2023-04-05,f3e6e475
Premier League,Matchweek 30,L 1–2,cd051869,b2b47a98,1,80,0,0,0,0,1,0,0,0,40,0,2,2,0.1,0.1,0.0,0,0,23,29,79.3,3,16,1,2,1,2023-04-08,a5e78e89
Premier League,Matchweek 31,L 0–2,cd051869,8cec06e1,Y*,90,0,0,0,0,2,1,0,0,66,5,2,1,0.2,0.2,0.1,1,0,43,53,81.1,5,29,0,1,0,2023-04-15,b2402736
Premier League,Matchweek 32,D 1–1,cd051869,8602292d,Y*,45,0,0,0,0,0,0,1,0,24,3,0,1,0.0,0.0,0.0,1,0,15,20,75.0,1,16,0,1,1,2023-04-22,2b51686a
