comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 4–1,361ca564,33c895d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-06,09d8a999
Premier League,Matchweek 2,D 2–2,361ca564,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-14,01e57bf5
Premier League,Matchweek 3,W 1–0,361ca564,8cec06e1,1,90,0,0,0,0,1,0,0,0,54,3,0,2,0.2,0.2,0.0,1,0,35,39,89.7,1,26,0,0,0,2022-08-20,5cc3bd0e
Premier League,Matchweek 4,W 2–0,361ca564,e4a775cb,1,90,0,0,0,0,0,0,0,0,74,3,2,0,0.0,0.0,0.0,0,0,49,58,84.5,0,35,0,0,0,2022-08-28,3c364307
Premier League,Matchweek 5,D 1–1,361ca564,7c21e445,1,90,0,0,0,0,1,0,1,0,104,2,3,1,0.0,0.0,0.0,0,0,80,91,87.9,3,74,0,2,0,2022-08-31,9f221621
Premier League,Matchweek 6,W 2–1,361ca564,fd962109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-03,a497b725
Premier League,Matchweek 8,W 6–2,361ca564,a2d435b3,1,58,0,0,0,0,1,1,0,0,46,4,0,0,0.1,0.1,0.0,0,0,33,37,89.2,2,18,1,0,0,2022-09-17,99e44c16
Premier League,Matchweek 9,L 1–3,361ca564,18bb7c10,0,20,0,0,0,0,0,0,0,0,7,0,1,1,0.0,0.0,0.0,0,0,2,5,40.0,0,3,0,0,0,2022-10-01,aefe3b90
Premier League,Matchweek 10,W 1–0,361ca564,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-08,3eeefbc5
Premier League,Matchweek 11,W 2–0,361ca564,d3fd31cc,0,4,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0,2022-10-15,e42493f9
Premier League,Matchweek 12,L 0–2,361ca564,19538871,0,9,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,11,11,100.0,0,7,0,0,0,2022-10-19,eebe78c1
Premier League,Matchweek 13,L 1–2,361ca564,b2b47a98,1,80,0,0,0,0,0,0,0,0,48,2,0,0,0.0,0.0,0.1,1,0,31,40,77.5,2,23,1,1,1,2022-10-23,ae21490f
Premier League,Matchweek 14,W 3–2,361ca564,4ba7cbea,1,56,0,0,0,0,0,0,0,0,70,0,1,0,0.0,0.0,0.0,1,0,60,62,96.8,10,53,2,0,0,2022-10-29,dcb3b971
Premier League,Matchweek 15,L 1–2,361ca564,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-06,2954504d
Premier League,Matchweek 16,W 4–3,361ca564,5bfb9659,0,34,0,0,0,0,0,0,0,0,25,0,1,3,0.0,0.0,0.0,1,0,18,20,90.0,4,14,0,1,0,2022-11-12,0030e686
Premier League,Matchweek 17,D 2–2,361ca564,cd051869,0,24,0,0,0,0,1,1,0,0,23,1,0,0,0.0,0.0,0.0,0,0,17,20,85.0,2,15,0,0,0,2022-12-26,14e4f648
Premier League,Matchweek 18,L 0–2,361ca564,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01,63e8eaf8
Premier League,Matchweek 19,W 4–0,361ca564,47c64c55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-04,d8118454
Premier League,Matchweek 20,L 0–2,361ca564,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-15,4fc8b7b2
Premier League,Matchweek 7,L 2–4,361ca564,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-19,847f0a9c
Premier League,Matchweek 21,W 1–0,361ca564,fd962109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-23,098cd338
Premier League,Matchweek 22,W 1–0,361ca564,b8fd03ef,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2023-02-05,8a923619
Premier League,Matchweek 23,L 1–4,361ca564,a2d435b3,0,15,0,0,0,0,0,0,0,0,22,0,0,2,0.0,0.0,0.0,0,0,17,20,85.0,1,9,0,0,0,2023-02-11,390c7b85
Premier League,Matchweek 24,W 2–0,361ca564,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-19,aae66d3d
Premier League,Matchweek 25,W 2–0,361ca564,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-26,8eff71b5
Premier League,Matchweek 26,L 0–1,361ca564,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-04,bf4ac62d
Premier League,Matchweek 27,W 3–1,361ca564,e4a775cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-11,d065f9cd
Premier League,Matchweek 28,D 3–3,361ca564,33c895d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-18,bd9ec55d
Premier League,Matchweek 29,D 1–1,361ca564,d3fd31cc,0,14,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,0,7,0,0,0,2023-04-03,c00d9a22
Premier League,Matchweek 30,W 2–1,361ca564,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-08,b3ad7bd4
Premier League,Matchweek 31,L 2–3,361ca564,4ba7cbea,0,23,0,0,0,0,0,0,0,0,21,2,0,0,0.0,0.0,0.0,0,0,16,18,88.9,4,13,0,0,0,2023-04-15,bfc49d95
Premier League,Matchweek 32,L 1–6,361ca564,b2b47a98,0,68,0,0,0,0,0,0,0,0,42,2,1,5,0.0,0.0,0.0,0,0,24,30,80.0,1,21,1,2,1,2023-04-23,dff22d13
Premier League,Matchweek 33,D 2–2,361ca564,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-27,8c9a5c5c
Premier League,Matchweek 34,L 3–4,361ca564,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-30,e07267b3
Premier League,Matchweek 35,W 1–0,361ca564,47c64c55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-06,0f1e1478
Premier League,Matchweek 36,L 1–2,361ca564,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-13,362514ee
Premier League,Matchweek 37,L 1–3,361ca564,cd051869,1,90,0,0,0,0,1,0,0,0,89,4,0,0,0.1,0.1,0.0,0,0,71,79,89.9,3,56,0,0,0,2023-05-20,28ebbaf2
Premier League,Matchweek 38,W 4–1,361ca564,5bfb9659,1,90,0,0,0,0,1,0,0,0,66,1,1,2,0.2,0.2,0.3,1,0,40,52,76.9,2,31,0,0,0,2023-05-28,c9c73ddd
