comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–2,7c21e445,b8fd03ef,Y*,90,0,0,0,0,1,0,0,0,46,7,0,1,0.1,0.1,0.0,0,0,33,37,89.2,5,21,2,0,0,2022-08-07,ece62baf
Premier League,Matchweek 2,L 0–1,7c21e445,e4a775cb,Y*,90,0,0,0,1,0,0,1,0,62,3,1,0,0.8,0.0,0.0,1,0,46,54,85.2,4,29,6,1,1,2022-08-14,b1ebeda5
Premier League,Matchweek 3,L 0–2,7c21e445,d07537b9,Y*,90,0,0,0,0,1,0,0,0,80,0,3,1,0.0,0.0,0.1,4,0,55,67,82.1,7,46,1,1,0,2022-08-21,aa2a3517
Premier League,Matchweek 4,W 1–0,7c21e445,8602292d,Y*,90,0,1,0,0,1,0,0,0,66,1,1,4,0.0,0.0,0.1,3,1,47,55,85.5,2,27,1,1,0,2022-08-28,659b9113
Premier League,Matchweek 5,D 1–1,7c21e445,361ca564,Y*,90,0,0,0,0,2,1,0,0,74,4,1,0,0.1,0.1,0.2,4,0,62,66,93.9,12,55,1,1,0,2022-08-31,9f221621
Premier League,Matchweek 6,L 1–2,7c21e445,cff3d9bb,Y*,90,0,0,0,0,0,0,0,0,49,3,5,1,0.0,0.0,0.9,1,0,31,37,83.8,3,24,1,4,2,2022-09-03,d7642197
Premier League,Matchweek 8,L 0–1,7c21e445,d3fd31cc,Y*,90,0,0,0,0,0,0,0,0,61,3,1,1,0.0,0.0,0.1,2,0,51,56,91.1,14,41,5,0,0,2022-09-18,96e9dc0f
Premier League,Matchweek 9,W 2–0,7c21e445,8cec06e1,Y*,90,0,0,0,0,1,0,1,0,66,2,2,1,0.0,0.0,0.1,4,0,50,59,84.7,3,35,2,2,2,2022-10-01,89ff6cd8
Premier League,Matchweek 10,W 3–1,7c21e445,fd962109,Y*,90,0,0,0,0,0,0,0,0,81,2,3,0,0.0,0.0,0.0,3,1,63,71,88.7,10,50,6,2,2,2022-10-09,42e38f9d
Premier League,Matchweek 11,D 1–1,7c21e445,33c895d4,Y*,90,1,0,0,0,2,1,0,0,82,3,1,2,0.1,0.1,0.0,4,1,67,70,95.7,7,48,1,1,1,2022-10-16,2f5adfad
Premier League,Matchweek 12,L 0–1,7c21e445,822bd0ba,Y*,90,0,0,0,0,0,0,0,0,90,1,1,4,0.0,0.0,0.1,3,0,76,81,93.8,7,49,1,1,1,2022-10-19,dba5c5ec
Premier League,Matchweek 13,W 2–0,7c21e445,4ba7cbea,Y*,90,0,0,0,0,3,1,0,0,82,2,1,0,0.1,0.1,0.2,7,0,72,74,97.3,13,60,2,0,0,2022-10-24,e9d1a18b
Premier League,Matchweek 14,L 0–1,7c21e445,19538871,Y*,90,0,0,0,0,2,1,0,0,79,2,2,2,0.0,0.0,0.0,3,0,57,69,82.6,6,47,7,3,1,2022-10-30,cd0f59f6
Premier League,Matchweek 15,L 1–2,7c21e445,47c64c55,Y*,90,0,0,0,0,1,0,0,0,72,0,1,1,0.0,0.0,0.0,1,0,60,69,87.0,6,49,1,0,0,2022-11-06,2586fb04
Premier League,Matchweek 16,L 0–2,7c21e445,a2d435b3,Y*,90,0,0,0,0,3,0,0,0,87,3,1,2,0.2,0.2,0.0,5,0,65,72,90.3,11,58,2,3,0,2022-11-12,6e89557a
Premier League,Matchweek 17,L 1–3,7c21e445,18bb7c10,Y*,90,0,0,0,0,0,0,0,0,60,3,1,0,0.0,0.0,0.0,2,0,43,50,86.0,3,34,1,0,0,2022-12-26,3be32b8b
Premier League,Matchweek 18,L 0–2,7c21e445,cd051869,Y*,90,0,0,0,0,1,0,0,0,111,2,0,0,0.0,0.0,0.0,8,0,102,107,95.3,20,68,8,1,1,2022-12-30,56acbbbe
Premier League,Matchweek 19,D 2–2,7c21e445,5bfb9659,Y*,90,0,0,0,0,3,0,0,0,39,0,3,1,0.1,0.1,0.0,1,0,23,30,76.7,3,18,0,1,1,2023-01-04,068406dc
Premier League,Matchweek 20,L 0–1,7c21e445,8cec06e1,Y*,90,0,0,0,0,2,0,1,0,72,4,1,0,0.1,0.1,0.2,3,0,50,64,78.1,6,41,1,1,1,2023-01-14,20fbd1a1
