comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,D 2–2,822bd0ba,fd962109,1,58,0,0,0,0,0,0,0,0,42,1,1,2,0.0,0.0,0.0,1,0,29,37,78.4,2,21,0,0,0,2022-08-06,6713c1dc
Premier League,Matchweek 2,D 1–1,822bd0ba,47c64c55,1,90,0,0,0,0,0,0,0,0,131,3,2,2,0.0,0.0,0.1,5,0,116,124,93.5,15,95,1,0,0,2022-08-15,b3c6f709
Premier League,Matchweek 3,L 1–2,822bd0ba,19538871,0,32,0,0,0,0,1,1,0,0,21,1,0,0,0.1,0.1,0.0,0,0,17,18,94.4,0,14,0,0,0,2022-08-22,3c9a8f71
Premier League,Matchweek 4,W 9–0,822bd0ba,4ba7cbea,1,90,0,0,0,0,0,0,0,0,60,5,0,0,0.0,0.0,0.3,3,1,45,51,88.2,9,34,0,0,0,2022-08-27,de515487
Premier League,Matchweek 5,W 2–1,822bd0ba,b2b47a98,1,90,0,0,0,0,2,0,0,0,93,1,0,0,0.1,0.1,0.0,1,0,79,89,88.8,6,56,0,0,0,2022-08-31,ac6047cf
Premier League,Matchweek 6,D 0–0,822bd0ba,d3fd31cc,1,90,0,0,0,0,1,1,1,0,52,1,1,2,0.0,0.0,0.0,5,0,37,43,86.0,4,23,0,0,0,2022-09-03,073227b6
Premier League,Matchweek 9,D 3–3,822bd0ba,d07537b9,1,90,0,0,0,0,0,0,0,0,69,3,3,1,0.0,0.0,0.0,4,0,47,58,81.0,6,34,0,0,0,2022-10-01,aadd2e80
Premier League,Matchweek 10,L 2–3,822bd0ba,18bb7c10,0,22,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,12,83.3,0,9,0,1,0,2022-10-09,84a48413
Premier League,Matchweek 11,W 1–0,822bd0ba,b8fd03ef,1,72,0,0,0,0,0,0,1,0,36,2,2,0,0.0,0.0,0.0,1,0,23,27,85.2,3,15,0,1,1,2022-10-16,2ed4b79f
Premier League,Matchweek 12,W 1–0,822bd0ba,7c21e445,0,34,0,0,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,16,21,76.2,2,12,0,0,0,2022-10-19,dba5c5ec
Premier League,Matchweek 13,L 0–1,822bd0ba,e4a775cb,1,90,0,0,0,0,0,0,0,0,77,1,0,0,0.0,0.0,0.0,0,0,64,74,86.5,10,52,1,0,0,2022-10-22,f92b67c2
Premier League,Matchweek 14,L 1–2,822bd0ba,5bfb9659,1,59,0,0,0,0,0,0,0,0,65,2,3,4,0.0,0.0,0.0,0,0,43,50,86.0,8,30,0,1,0,2022-10-29,b5b1e744
Premier League,Matchweek 15,W 2–1,822bd0ba,361ca564,1,90,0,0,0,0,0,0,0,0,71,2,2,1,0.0,0.0,0.1,2,0,57,62,91.9,2,32,1,0,0,2022-11-06,2954504d
Premier League,Matchweek 16,W 3–1,822bd0ba,33c895d4,1,90,0,0,0,0,1,0,0,0,76,4,0,0,0.0,0.0,0.0,1,0,65,71,91.5,3,35,2,0,0,2022-11-12,1579d34b
Premier League,Matchweek 17,W 3–1,822bd0ba,8602292d,1,90,0,0,0,0,1,0,0,0,68,3,1,1,0.0,0.0,0.0,1,0,47,54,87.0,2,36,0,0,0,2022-12-26,ab7d4465
Premier League,Matchweek 19,L 1–3,822bd0ba,cd051869,1,90,0,0,0,0,1,1,0,0,82,2,1,4,0.0,0.0,0.0,3,1,63,69,91.3,3,45,2,0,0,2023-01-02,af6aa183
Premier League,Matchweek 20,L 0–3,822bd0ba,d07537b9,1,67,0,0,0,0,0,0,0,0,39,1,1,1,0.0,0.0,0.0,2,0,28,31,90.3,3,16,0,0,0,2023-01-14,cfc2a193
