comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 1–2,19538871,d07537b9,1,52,0,0,0,0,1,0,0,0,48,0,2,2,0.0,0.0,0.0,0,0,33,41,80.5,2,25,0,0,0,2022-08-07,8251694e
Premier League,Matchweek 2,L 0–4,19538871,cd051869,1,45,0,0,0,0,0,0,0,0,40,1,1,3,0.0,0.0,0.0,1,0,30,35,85.7,3,22,0,0,0,2022-08-13,04712d4e
Premier League,Matchweek 3,W 2–1,19538871,822bd0ba,0,20,0,0,0,0,0,0,0,0,12,3,0,0,0.0,0.0,0.0,0,0,5,10,50.0,1,5,0,0,0,2022-08-22,3c9a8f71
Premier League,Matchweek 4,W 1–0,19538871,33c895d4,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,0,0,2022-08-27,dff99b20
Premier League,Matchweek 5,W 1–0,19538871,a2d435b3,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,2022-09-01,c1f25d02
Premier League,Matchweek 6,W 3–1,19538871,18bb7c10,0,24,0,0,0,0,0,0,0,0,16,1,1,0,0.0,0.0,0.3,2,0,10,11,90.9,1,6,1,1,0,2022-09-04,61ddafa5
Premier League,Matchweek 9,L 3–6,19538871,b8fd03ef,0,21,0,0,0,0,1,1,0,0,15,1,0,0,0.1,0.1,0.0,3,1,13,13,100.0,0,7,0,0,0,2022-10-02,886e6108
Premier League,Matchweek 10,W 2–1,19538871,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-09,5d426690
Premier League,Matchweek 11,D 0–0,19538871,b2b47a98,1,90,0,0,0,0,4,0,0,0,75,0,2,2,0.2,0.2,0.0,5,0,53,62,85.5,10,42,1,1,0,2022-10-16,e0b9c72c
Premier League,Matchweek 12,W 2–0,19538871,361ca564,1,90,1,0,0,0,6,2,0,0,74,1,2,3,0.3,0.3,0.4,6,0,43,56,76.8,7,45,2,2,1,2022-10-19,eebe78c1
Premier League,Matchweek 13,D 1–1,19538871,cff3d9bb,0,39,0,0,0,0,1,0,1,0,29,1,0,2,0.0,0.0,0.0,3,1,15,21,71.4,3,16,1,1,0,2022-10-22,7ad85c8a
Premier League,Matchweek 14,W 1–0,19538871,7c21e445,0,12,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,1,3,33.3,0,4,0,0,0,2022-10-30,cd0f59f6
Premier League,Matchweek 15,L 1–3,19538871,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-06,6638574f
Premier League,Matchweek 16,W 2–1,19538871,fd962109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-13,af75b6b0
Premier League,Matchweek 17,W 3–0,19538871,e4a775cb,0,14,1,0,0,0,1,1,0,0,17,0,0,3,0.4,0.4,0.2,2,0,6,9,66.7,2,10,0,0,0,2022-12-27,b860f634
Premier League,Matchweek 18,W 1–0,19538871,8cec06e1,0,30,0,0,0,0,0,0,1,0,32,2,0,0,0.0,0.0,0.0,0,0,22,27,81.5,1,19,0,2,1,2022-12-31,8ef80305
Premier League,Matchweek 19,W 3–0,19538871,4ba7cbea,0,23,0,0,0,0,0,0,0,0,22,0,1,1,0.0,0.0,0.1,3,0,19,19,100.0,3,11,0,0,0,2023-01-03,63fc7f12
Premier League,Matchweek 20,W 2–1,19538871,b8fd03ef,1,90,0,0,0,0,0,0,1,0,44,3,1,2,0.0,0.0,0.0,2,0,32,35,91.4,1,18,0,2,2,2023-01-14,f0fd7541
