comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 1,L 1–4,33c895d4,361ca564,1,90,8,4,5,50.0,0,1.5,0,0,0,0,3,21,14.3,32,3,59.4,43.5,4,50.0,42.5,21,2,9.5,0,11.2,2022-08-06,09d8a999
Premier League,Matchweek 2,D 2–2,33c895d4,5bfb9659,1,90,5,2,3,60.0,0,1.9,0,0,0,0,4,17,23.5,24,4,50.0,40.0,6,83.3,63.5,10,0,0.0,5,25.6,2022-08-13,54b33a13
Premier League,Matchweek 3,W 2–1,33c895d4,a2d435b3,1,90,1,1,0,0.0,0,0.3,0,0,0,0,10,26,38.5,30,2,66.7,45.2,6,100.0,65.3,9,2,22.2,0,6.0,2022-08-20,02efd4d1
Premier League,Matchweek 4,L 0–1,33c895d4,19538871,1,90,4,1,3,75.0,0,1.2,0,0,0,0,10,24,41.7,29,4,72.4,46.3,4,75.0,58.8,8,0,0.0,5,24.0,2022-08-27,dff99b20
Premier League,Matchweek 5,W 2–1,33c895d4,cff3d9bb,1,90,4,1,3,75.0,0,2.1,0,0,0,0,12,32,37.5,34,3,82.4,48.4,4,100.0,69.5,16,1,6.3,0,5.3,2022-08-30,afd303a8
Premier League,Matchweek 6,L 0–1,33c895d4,8cec06e1,1,90,2,1,1,50.0,0,0.2,0,0,0,0,9,22,40.9,28,4,57.1,41.9,7,85.7,58.9,13,2,15.4,4,22.0,2022-09-03,13f50518
Premier League,Matchweek 8,L 0–1,33c895d4,8602292d,1,90,3,1,2,66.7,0,0.8,0,0,0,0,7,17,41.2,36,6,38.9,34.3,7,42.9,36.6,18,1,5.6,0,7.7,2022-09-16,1219daa1
Premier League,Matchweek 9,L 1–2,33c895d4,d3fd31cc,1,90,5,2,3,60.0,0,1.7,0,0,0,0,3,13,23.1,27,4,37.0,33.8,7,42.9,34.4,16,1,6.3,4,20.6,2022-10-01,06d00bcb
Premier League,Matchweek 10,L 0–4,33c895d4,b8fd03ef,1,90,8,4,4,50.0,0,1.3,0,0,0,0,10,33,30.3,57,8,43.9,34.5,12,66.7,50.5,15,2,13.3,0,9.2,2022-10-08,864294c0
Premier League,Matchweek 11,D 1–1,33c895d4,7c21e445,1,90,4,1,3,75.0,0,0.4,0,0,0,0,13,27,48.1,23,2,65.2,44.7,13,92.3,65.3,28,3,10.7,1,10.8,2022-10-16,2f5adfad
