comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Bundesliga,Matchweek 1,L 1–3,033ea6b8,32f3ee20,1,63,0,0,0,0,0,0,0,0,18,0,0,2,0.0,0.0,0.0,1,1,3,5,60.0,1,10,1,5,2,2022-08-06,aeed6604
Bundesliga,Matchweek 2,W 3–2,033ea6b8,b42c6323,0,29,0,0,0,0,1,1,0,0,18,0,0,2,0.0,0.0,0.2,5,0,4,8,50.0,1,12,4,4,1,2022-08-13,25d41fa1
Bundesliga,Matchweek 3,W 3–0,033ea6b8,c7a9f859,1,85,1,0,0,0,2,1,1,0,30,0,3,0,0.2,0.2,0.0,1,0,8,13,61.5,2,24,4,7,3,2022-08-20,10b88c11
Bundesliga,Matchweek 4,W 1–0,033ea6b8,0cdc4311,1,79,0,0,0,0,5,1,0,0,31,0,1,2,0.7,0.7,0.0,5,0,9,13,69.2,3,24,3,4,3,2022-08-27,7e4f3822
Bundesliga,Matchweek 5,L 0–1,033ea6b8,add600ae,1,85,0,0,0,0,3,1,0,0,31,2,0,0,0.2,0.2,0.0,1,0,11,16,68.8,1,16,1,4,0,2022-09-02,0d4e976a
Bundesliga,Matchweek 6,W 4–1,033ea6b8,a224b06a,1,90,0,1,0,0,2,2,0,0,31,1,0,3,0.2,0.2,1.5,5,2,11,15,73.3,3,19,2,4,2,2022-09-10,b08c7efd
Bundesliga,Matchweek 7,D 0–0,033ea6b8,a486e511,1,90,0,0,0,0,2,1,0,0,28,0,0,0,0.1,0.1,0.0,1,0,10,16,62.5,3,23,1,11,8,2022-09-18,62d3a5b6
Bundesliga,Matchweek 8,D 1–1,033ea6b8,2818f8bc,0,30,0,0,0,0,1,1,0,0,10,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,6,1,2,1,2022-10-02,446e82e7
Bundesliga,Matchweek 9,L 1–2,033ea6b8,62add3bf,0,25,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.4,2,0,3,3,100.0,1,7,2,4,3,2022-10-07,62ea6f05
Bundesliga,Matchweek 10,W 3–0,033ea6b8,c539e393,1,87,0,1,0,0,2,1,0,0,29,0,0,0,0.7,0.7,0.2,8,1,9,14,64.3,3,20,4,9,3,2022-10-14,6ecee775
