comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 2,L 0–3,c734e22f,27b20cea,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-08-28,9e2a1fe5
Premier League,Matchweek 3,L 2–3,c734e22f,946a30cb,1,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,2022-09-03,92eaa4ef
Premier League,Matchweek 4,W 1–0,c734e22f,c380c86e,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-09-11,fe58f897
Premier League,Matchweek 5,W 1–0,c734e22f,66edf0f3,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-10-02,9aeb7b58
Premier League,Matchweek 6,W 3–0,c734e22f,e5079dc4,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-10-09,d52d84b9
Premier League,Matchweek 7,L 1–3,c734e22f,e89d5a28,1,68,0,0,0,0,,,0,1,,,,,,,,,,,,,,,,,,2022-10-16,ecc0700f
Premier League,Matchweek 10,W 3–1,c734e22f,fde00a87,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-10-30,5090da39
Premier League,Matchweek 11,W 3–0,c734e22f,cdd0bbb6,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-11-06,33f87108
Premier League,Matchweek 12,W 3–1,c734e22f,797d38d2,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-11-10,dd804315
Premier League,Matchweek 13,D 0–0,c734e22f,6b62b007,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-11-13,74438fa1
Premier League,Matchweek 1,W 2–1,c734e22f,735899aa,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-11-17,9252f87d
Premier League,Matchweek 14,W 1–0,c734e22f,b4ddbf76,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-11-21,22a7b719
Premier League,Matchweek 15,D 0–0,c734e22f,34c5b654,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-11-26,5cbba45b
Premier League,Matchweek 8,W 3–0,c734e22f,7335c9f9,1,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,2022-11-30,10de0a73
Premier League,Matchweek 29,W 2–1,4ba7cbea,fd962109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-01,f64320c3
Premier League,Matchweek 7,L 0–2,4ba7cbea,d07537b9,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,2023-04-04,95a97dc6
Premier League,Matchweek 30,W 1–0,4ba7cbea,a2d435b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-08,72ca7930
Premier League,Matchweek 31,W 3–2,4ba7cbea,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-15,bfc49d95
Premier League,Matchweek 32,L 0–4,4ba7cbea,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-23,3306d30f
Premier League,Matchweek 33,W 1–0,4ba7cbea,33c895d4,0,23,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,4,0,0,0,2023-04-27,ccabe10f
Premier League,Matchweek 34,W 4–1,4ba7cbea,5bfb9659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-30,0b0733ce
Premier League,Matchweek 35,L 1–3,4ba7cbea,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-06,6116824f
Premier League,Matchweek 36,L 0–2,4ba7cbea,47c64c55,1,90,0,0,0,0,0,0,0,0,77,1,1,1,0.0,0.0,0.0,0,0,60,66,90.9,2,55,0,1,1,2023-05-13,a4ffd11f
Premier League,Matchweek 37,L 0–1,4ba7cbea,19538871,1,90,0,0,0,0,0,0,0,0,65,0,1,4,0.0,0.0,0.0,1,0,53,56,94.6,5,51,1,1,0,2023-05-20,ec496eca
Premier League,Matchweek 38,L 0–1,4ba7cbea,d3fd31cc,1,90,0,0,0,0,0,0,0,0,84,2,1,2,0.0,0.0,0.0,0,0,67,73,91.8,3,55,0,0,0,2023-05-28,94de848f
